model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
TAPB,human,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,40,5.0,4,1.0,36,4.0,True
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,fitted,61,9.0,6,2.0,55,7.0,True
TAPB,human,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,40,5.0,8,2.0,32,3.0,True
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,fitted,61,9.0,12,3.0,49,6.0,True
TAPB,human,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,37,4.0,4,1.0,33,3.0,True
TAPB,human,seed_4,target,base,0.9,0.1,0.2,test,fitted,51,6.0,5,1.0,46,5.0,True
TAPB,human,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,37,4.0,7,2.0,30,2.0,True
TAPB,human,seed_4,target,base,0.9,0.2,0.2,test,fitted,51,6.0,10,3.0,41,3.0,True
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,40,5.0,4,1.0,36,4.0,True
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,test,fitted,61,9.0,6,2.0,55,7.0,True
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,40,5.0,8,2.0,32,3.0,True
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,test,fitted,61,9.0,12,3.0,49,6.0,True
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,37,4.0,4,1.0,33,3.0,True
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,test,fitted,51,6.0,5,1.0,46,5.0,True
TAPB,human,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,37,4.0,7,1.0,30,3.0,True
TAPB,human,seed_4,drug,base,0.9,0.2,0.2,test,fitted,51,6.0,10,3.0,41,3.0,True
TAPB,human,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,42,4.0,4,0.0,38,4.0,True
TAPB,human,seed_5,target,base,0.8,0.1,0.2,test,fitted,93,23.0,9,6.0,84,17.0,True
TAPB,human,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,42,4.0,8,1.0,34,3.0,True
TAPB,human,seed_5,target,base,0.8,0.2,0.2,test,fitted,93,23.0,19,13.0,74,10.0,True
TAPB,human,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,37,3.0,4,0.0,33,3.0,True
TAPB,human,seed_5,target,base,0.9,0.1,0.2,test,fitted,81,15.0,8,5.0,73,10.0,True
TAPB,human,seed_5,target,base,0.9,0.2,0.2,validation,cross_fitted,37,3.0,7,1.0,30,2.0,True
TAPB,human,seed_5,target,base,0.9,0.2,0.2,test,fitted,81,15.0,16,7.0,65,8.0,True
TAPB,human,seed_5,drug,base,0.8,0.1,0.2,validation,cross_fitted,42,4.0,4,1.0,38,3.0,True
TAPB,human,seed_5,drug,base,0.8,0.1,0.2,test,fitted,93,23.0,9,6.0,84,17.0,True
TAPB,human,seed_5,drug,base,0.8,0.2,0.2,validation,cross_fitted,42,4.0,8,1.0,34,3.0,True
TAPB,human,seed_5,drug,base,0.8,0.2,0.2,test,fitted,93,23.0,19,13.0,74,10.0,True
TAPB,human,seed_5,drug,base,0.9,0.1,0.2,validation,cross_fitted,37,3.0,4,0.0,33,3.0,True
TAPB,human,seed_5,drug,base,0.9,0.1,0.2,test,fitted,81,15.0,8,5.0,73,10.0,True
TAPB,human,seed_5,drug,base,0.9,0.2,0.2,validation,cross_fitted,37,3.0,7,2.0,30,1.0,True
TAPB,human,seed_5,drug,base,0.9,0.2,0.2,test,fitted,81,15.0,16,7.0,65,8.0,True
TAPB,human,seed_6,target,base,0.8,0.1,0.2,validation,cross_fitted,41,4.0,4,0.0,37,4.0,True
TAPB,human,seed_6,target,base,0.8,0.1,0.2,test,fitted,76,15.0,8,2.0,68,13.0,True
TAPB,human,seed_6,target,base,0.8,0.2,0.2,validation,cross_fitted,41,4.0,8,1.0,33,3.0,True
TAPB,human,seed_6,target,base,0.8,0.2,0.2,test,fitted,76,15.0,15,5.0,61,10.0,True
TAPB,human,seed_6,target,base,0.9,0.1,0.2,validation,cross_fitted,38,4.0,4,1.0,34,3.0,True
TAPB,human,seed_6,target,base,0.9,0.1,0.2,test,fitted,69,13.0,7,3.0,62,10.0,True
TAPB,human,seed_6,target,base,0.9,0.2,0.2,validation,cross_fitted,38,4.0,8,1.0,30,3.0,True
TAPB,human,seed_6,target,base,0.9,0.2,0.2,test,fitted,69,13.0,14,4.0,55,9.0,True
TAPB,human,seed_6,drug,base,0.8,0.1,0.2,validation,cross_fitted,41,4.0,4,0.0,37,4.0,True
TAPB,human,seed_6,drug,base,0.8,0.1,0.2,test,fitted,76,15.0,8,2.0,68,13.0,True
TAPB,human,seed_6,drug,base,0.8,0.2,0.2,validation,cross_fitted,41,4.0,8,0.0,33,4.0,True
TAPB,human,seed_6,drug,base,0.8,0.2,0.2,test,fitted,76,15.0,15,5.0,61,10.0,True
TAPB,human,seed_6,drug,base,0.9,0.1,0.2,validation,cross_fitted,38,4.0,4,0.0,34,4.0,True
TAPB,human,seed_6,drug,base,0.9,0.1,0.2,test,fitted,69,13.0,7,3.0,62,10.0,True
TAPB,human,seed_6,drug,base,0.9,0.2,0.2,validation,cross_fitted,38,4.0,8,0.0,30,4.0,True
TAPB,human,seed_6,drug,base,0.9,0.2,0.2,test,fitted,69,13.0,14,4.0,55,9.0,True
TAPB,human,seed_7,target,base,0.8,0.1,0.2,validation,cross_fitted,53,10.0,5,2.0,48,8.0,True
TAPB,human,seed_7,target,base,0.8,0.1,0.2,test,fitted,109,30.0,11,8.0,98,22.0,True
TAPB,human,seed_7,target,base,0.8,0.2,0.2,validation,cross_fitted,53,10.0,11,4.0,42,6.0,True
TAPB,human,seed_7,target,base,0.8,0.2,0.2,test,fitted,109,30.0,22,11.0,87,19.0,True
TAPB,human,seed_7,target,base,0.9,0.1,0.2,validation,cross_fitted,51,8.0,5,0.0,46,8.0,True
TAPB,human,seed_7,target,base,0.9,0.1,0.2,test,fitted,105,26.0,10,5.0,95,21.0,True
TAPB,human,seed_7,target,base,0.9,0.2,0.2,validation,cross_fitted,51,8.0,10,2.0,41,6.0,True
TAPB,human,seed_7,target,base,0.9,0.2,0.2,test,fitted,105,26.0,21,9.0,84,17.0,True
TAPB,human,seed_7,drug,base,0.8,0.1,0.2,validation,cross_fitted,53,10.0,5,3.0,48,7.0,True
TAPB,human,seed_7,drug,base,0.8,0.1,0.2,test,fitted,109,30.0,11,8.0,98,22.0,True
TAPB,human,seed_7,drug,base,0.8,0.2,0.2,validation,cross_fitted,53,10.0,11,5.0,42,5.0,True
TAPB,human,seed_7,drug,base,0.8,0.2,0.2,test,fitted,109,30.0,22,11.0,87,19.0,True
TAPB,human,seed_7,drug,base,0.9,0.1,0.2,validation,cross_fitted,51,8.0,5,2.0,46,6.0,True
TAPB,human,seed_7,drug,base,0.9,0.1,0.2,test,fitted,105,26.0,10,5.0,95,21.0,True
TAPB,human,seed_7,drug,base,0.9,0.2,0.2,validation,cross_fitted,51,8.0,10,3.0,41,5.0,True
TAPB,human,seed_7,drug,base,0.9,0.2,0.2,test,fitted,105,26.0,21,9.0,84,17.0,True
TAPB,human,seed_8,target,base,0.8,0.1,0.2,validation,cross_fitted,47,7.0,5,2.0,42,5.0,True
TAPB,human,seed_8,target,base,0.8,0.1,0.2,test,fitted,103,24.0,10,1.0,93,23.0,True
TAPB,human,seed_8,target,base,0.8,0.2,0.2,validation,cross_fitted,47,7.0,9,3.0,38,4.0,True
TAPB,human,seed_8,target,base,0.8,0.2,0.2,test,fitted,103,24.0,21,6.0,82,18.0,True
TAPB,human,seed_8,target,base,0.9,0.1,0.2,validation,cross_fitted,45,7.0,4,3.0,41,4.0,True
TAPB,human,seed_8,target,base,0.9,0.1,0.2,test,fitted,101,24.0,10,1.0,91,23.0,True
TAPB,human,seed_8,target,base,0.9,0.2,0.2,validation,cross_fitted,45,7.0,9,3.0,36,4.0,True
TAPB,human,seed_8,target,base,0.9,0.2,0.2,test,fitted,101,24.0,20,7.0,81,17.0,True
TAPB,human,seed_8,drug,base,0.8,0.1,0.2,validation,cross_fitted,47,7.0,5,0.0,42,7.0,True
TAPB,human,seed_8,drug,base,0.8,0.1,0.2,test,fitted,103,24.0,10,1.0,93,23.0,True
TAPB,human,seed_8,drug,base,0.8,0.2,0.2,validation,cross_fitted,47,7.0,9,3.0,38,4.0,True
TAPB,human,seed_8,drug,base,0.8,0.2,0.2,test,fitted,103,24.0,21,6.0,82,18.0,True
TAPB,human,seed_8,drug,base,0.9,0.1,0.2,validation,cross_fitted,45,7.0,4,1.0,41,6.0,True
TAPB,human,seed_8,drug,base,0.9,0.1,0.2,test,fitted,101,24.0,10,1.0,91,23.0,True
TAPB,human,seed_8,drug,base,0.9,0.2,0.2,validation,cross_fitted,45,7.0,9,3.0,36,4.0,True
TAPB,human,seed_8,drug,base,0.9,0.2,0.2,test,fitted,101,24.0,20,7.0,81,17.0,True
