model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
TAPB,human,seed_4,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.569444444444,0.215613537448,3,36,4.0,0.111111111111,0.6640625,0.288194444444,7,2.0,0.285714285714,2.571428571429,0.5,0.6,0.931034482759,0.04214559387,uncertainty,True,uncertainty_selected,uncertainty_support,0.666666666667,0.5,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,32,3.0,0.09375,0.632183908046,0.364583333333,6,2.0,0.333333333333,3.555555555556,0.666666666667,0.8,0.961538461538,0.055288461538,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_4,target,base,0.9,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.530303030303,0.262868963226,3,33,3.0,0.090909090909,0.644444444444,0.530303030303,7,2.0,0.285714285714,3.142857142857,0.666666666667,0.75,0.961538461538,0.052447552448,uncertainty,True,uncertainty_selected,uncertainty,0.530303030303,0.267434067077,0.0
TAPB,human,seed_4,target,base,0.9,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,30,2.0,0.066666666667,0.5,0.533333333333,6,1.0,0.166666666667,2.5,0.5,0.75,0.958333333333,0.025,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_4,drug,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,36,4.0,0.111111111111,0.5703125,0.235714285714,7,1.0,0.142857142857,1.285714285714,0.25,0.4,0.896551724138,0.007662835249,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_4,drug,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,32,3.0,0.09375,0.48275862069,0.119343891403,6,0.0,0.0,0.0,0.0,0.4,0.884615384615,-0.021634615385,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_4,drug,base,0.9,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,33,3.0,0.090909090909,0.466666666667,0.111111111111,7,0.0,0.0,0.0,0.0,0.25,0.884615384615,-0.024475524476,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_4,drug,base,0.9,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,30,3.0,0.1,0.518518518519,0.141666666667,6,1.0,0.166666666667,1.666666666667,0.333333333333,0.5,0.916666666667,0.016666666667,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_5,target,base,0.8,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,38,4.0,0.105263157895,0.529411764706,0.189484126984,8,2.0,0.25,2.375,0.5,0.5,0.933333333333,0.038596491228,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_5,target,base,0.8,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,34,3.0,0.088235294118,0.440860215054,0.171346618357,7,1.0,0.142857142857,1.619047619048,0.333333333333,0.5,0.925925925926,0.014161220044,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_5,target,base,0.9,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,33,3.0,0.090909090909,0.466666666667,0.395894428152,7,1.0,0.142857142857,1.571428571429,0.333333333333,0.333333333333,0.923076923077,0.013986013986,uncertainty,True,no_finite_group_cv_candidate,,,,
TAPB,human,seed_5,target,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,1.0,0.0,2,30,2.0,0.066666666667,0.857142857143,0.6,6,1.0,0.166666666667,2.5,0.5,0.666666666667,0.958333333333,0.025,uncertainty_support,False,one_standard_error,uncertainty_support,1.0,1.0,0.911111111111
