model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
PACE,biosnap,seed_4,drug,base,test,combined_empirical_support,,0.194378,1.652534,0.052329
PACE,biosnap,seed_4,drug,base,test,empirical_support,,0.285457,1.855485,0.059097
PACE,biosnap,seed_4,drug,base,test,empirical_support_after_prior,,0.229781,1.388014,0.044687
PACE,biosnap,seed_4,drug,base,test,fit_support,,0.243239,1.744647,0.055192
PACE,biosnap,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.164296,1.015614,0.032379
PACE,biosnap,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.157883,1.355728,0.043413
PACE,biosnap,seed_4,drug,base,test,general_target_joint_support,,0.064048,0.393474,0.012612
PACE,biosnap,seed_4,drug,base,test,legacy_empirical_support,,0.201183,1.518605,0.048068
PACE,biosnap,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,-0.042057,-0.226042,-0.007125
PACE,biosnap,seed_4,drug,base,test,legacy_support_after_native,,-0.091079,-0.202951,-0.006767
PACE,biosnap,seed_4,drug,base,test,native_source_domain_support,,0.127574,0.499757,0.015683
PACE,biosnap,seed_4,drug,base,test,native_source_domain_support_after_fit,,0.042218,0.110838,0.003904
PACE,biosnap,seed_4,drug,base,test,native_support_after_legacy,,-0.006805,0.133929,0.004262
PACE,biosnap,seed_4,drug,base,test,prior,,0.079759,0.410268,0.01285
PACE,biosnap,seed_4,drug,base,test,prior_after_empirical_support,,0.024082,-0.057203,-0.001559
PACE,biosnap,seed_4,drug,base,test,source_domain_support,,0.036887,0.502991,0.015689
PACE,biosnap,seed_4,drug,base,test,target_sequence_support,,0.027784,0.04444,0.001429
PACE,biosnap,seed_4,drug,base,validation,combined_empirical_support,0.21029,0.193554,1.405256,0.053343
PACE,biosnap,seed_4,drug,base,validation,empirical_support,0.230554,0.20332,1.508075,0.057187
PACE,biosnap,seed_4,drug,base,validation,empirical_support_after_prior,0.085,0.078008,0.530936,0.020141
PACE,biosnap,seed_4,drug,base,validation,fit_support,0.227889,0.204095,1.548315,0.058549
PACE,biosnap,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,0.110731,0.096991,0.726737,0.027469
PACE,biosnap,seed_4,drug,base,validation,fit_support_after_native_source_domain,0.102712,0.086125,0.65521,0.024771
PACE,biosnap,seed_4,drug,base,validation,general_target_joint_support,0.003412,0.009533,0.056583,0.002326
PACE,biosnap,seed_4,drug,base,validation,legacy_empirical_support,0.197855,0.181297,1.343323,0.050907
PACE,biosnap,seed_4,drug,base,validation,legacy_source_domain_support_after_fit,-0.030034,-0.022799,-0.204992,-0.007643
PACE,biosnap,seed_4,drug,base,validation,legacy_support_after_native,-0.020264,-0.009766,-0.102819,-0.003844
PACE,biosnap,seed_4,drug,base,validation,native_source_domain_support,0.127842,0.117195,0.852865,0.032416
PACE,biosnap,seed_4,drug,base,validation,native_source_domain_support_after_fit,0.002664,-0.000775,-0.04024,-0.001362
PACE,biosnap,seed_4,drug,base,validation,native_support_after_legacy,0.012435,0.012258,0.061934,0.002436
PACE,biosnap,seed_4,drug,base,validation,prior,0.123654,0.112118,0.904928,0.034492
PACE,biosnap,seed_4,drug,base,validation,prior_after_empirical_support,-0.0219,-0.013194,-0.07221,-0.002554
PACE,biosnap,seed_4,drug,base,validation,source_domain_support,0.087124,0.084305,0.616585,0.023437
PACE,biosnap,seed_4,drug,base,validation,target_sequence_support,-0.004197,0.003734,-0.119923,-0.004669
PACE,biosnap,seed_4,target,base,test,combined_empirical_support,,0.188439,1.53733,0.049109
PACE,biosnap,seed_4,target,base,test,empirical_support,,0.256874,1.554124,0.049348
PACE,biosnap,seed_4,target,base,test,empirical_support_after_prior,,0.200298,0.998486,0.032933
PACE,biosnap,seed_4,target,base,test,fit_support,,0.224441,1.5515,0.049318
PACE,biosnap,seed_4,target,base,test,fit_support_after_legacy_source_domain,,0.150372,0.977745,0.031837
PACE,biosnap,seed_4,target,base,test,fit_support_after_native_source_domain,,0.129576,0.982995,0.031897
PACE,biosnap,seed_4,target,base,test,general_target_joint_support,,0.068754,0.504312,0.016517
PACE,biosnap,seed_4,target,base,test,legacy_empirical_support,,0.186774,1.459386,0.046455
PACE,biosnap,seed_4,target,base,test,legacy_source_domain_support_after_fit,,-0.037667,-0.092113,-0.002863
PACE,biosnap,seed_4,target,base,test,legacy_support_after_native,,-0.068435,-0.016795,-0.000238
PACE,biosnap,seed_4,target,base,test,native_source_domain_support,,0.127299,0.57113,0.017451
PACE,biosnap,seed_4,target,base,test,native_source_domain_support_after_fit,,0.032433,0.002625,3e-05
PACE,biosnap,seed_4,target,base,test,native_support_after_legacy,,0.001666,0.077943,0.002654
PACE,biosnap,seed_4,target,base,test,prior,,0.083502,0.543484,0.01626
PACE,biosnap,seed_4,target,base,test,prior_after_empirical_support,,0.026927,-0.012154,-0.000154
PACE,biosnap,seed_4,target,base,test,source_domain_support,,0.036402,0.481641,0.014618
PACE,biosnap,seed_4,target,base,test,target_sequence_support,,0.011245,0.077335,0.002679
PACE,biosnap,seed_4,target,base,validation,combined_empirical_support,0.011132,0.032111,0.231416,0.008443
PACE,biosnap,seed_4,target,base,validation,empirical_support,0.044845,0.052806,0.293119,0.010603
PACE,biosnap,seed_4,target,base,validation,empirical_support_after_prior,-0.081265,-0.087367,-0.696013,-0.027025
PACE,biosnap,seed_4,target,base,validation,fit_support,0.036214,0.035159,0.255875,0.00963
PACE,biosnap,seed_4,target,base,validation,fit_support_after_legacy_source_domain,-0.012579,-0.009426,-0.153521,-0.00591
PACE,biosnap,seed_4,target,base,validation,fit_support_after_native_source_domain,-0.062662,-0.065289,-0.48684,-0.019086
PACE,biosnap,seed_4,target,base,validation,general_target_joint_support,-0.019152,-0.010163,-0.063984,-0.00252
PACE,biosnap,seed_4,target,base,validation,legacy_empirical_support,0.056978,0.075475,0.495031,0.018796
PACE,biosnap,seed_4,target,base,validation,legacy_source_domain_support_after_fit,0.020764,0.040316,0.239156,0.009166
PACE,biosnap,seed_4,target,base,validation,legacy_support_after_native,-0.033713,-0.020695,-0.061703,-0.00216
PACE,biosnap,seed_4,target,base,validation,native_source_domain_support,0.107508,0.118095,0.779959,0.029689
PACE,biosnap,seed_4,target,base,validation,native_source_domain_support_after_fit,0.008631,0.017647,0.037244,0.000973
PACE,biosnap,seed_4,target,base,validation,native_support_after_legacy,-0.045846,-0.043365,-0.263615,-0.010354
PACE,biosnap,seed_4,target,base,validation,prior,0.118443,0.133065,0.985319,0.037836
PACE,biosnap,seed_4,target,base,validation,prior_after_empirical_support,-0.007668,-0.007108,-0.003812,0.000208
PACE,biosnap,seed_4,target,base,validation,source_domain_support,0.069557,0.084901,0.648552,0.024706
PACE,biosnap,seed_4,target,base,validation,target_sequence_support,-0.002063,-0.010461,-0.019792,-0.000271
