split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
test,drug,combined_empirical_support,delta_error_detection_auprc,1,1,0.194378,1.0,0.194378,0.194378
test,drug,combined_empirical_support,delta_review_lift,1,1,1.652534,1.0,1.652534,1.652534
test,drug,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,1,1,0.052329,1.0,0.052329,0.052329
test,drug,empirical_support,delta_error_detection_auprc,1,1,0.285457,1.0,0.285457,0.285457
test,drug,empirical_support,delta_review_lift,1,1,1.855485,1.0,1.855485,1.855485
test,drug,empirical_support,delta_retained_accuracy_gain_vs_residual,1,1,0.059097,1.0,0.059097,0.059097
test,drug,empirical_support_after_prior,delta_error_detection_auprc,1,1,0.229781,1.0,0.229781,0.229781
test,drug,empirical_support_after_prior,delta_review_lift,1,1,1.388014,1.0,1.388014,1.388014
test,drug,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,1,1,0.044687,1.0,0.044687,0.044687
test,drug,fit_support,delta_error_detection_auprc,1,1,0.243239,1.0,0.243239,0.243239
test,drug,fit_support,delta_review_lift,1,1,1.744647,1.0,1.744647,1.744647
test,drug,fit_support,delta_retained_accuracy_gain_vs_residual,1,1,0.055192,1.0,0.055192,0.055192
test,drug,fit_support_after_legacy_source_domain,delta_error_detection_auprc,1,1,0.164296,1.0,0.164296,0.164296
test,drug,fit_support_after_legacy_source_domain,delta_review_lift,1,1,1.015614,1.0,1.015614,1.015614
test,drug,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,1,1,0.032379,1.0,0.032379,0.032379
test,drug,fit_support_after_native_source_domain,delta_error_detection_auprc,1,1,0.157883,1.0,0.157883,0.157883
test,drug,fit_support_after_native_source_domain,delta_review_lift,1,1,1.355728,1.0,1.355728,1.355728
test,drug,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,1,1,0.043413,1.0,0.043413,0.043413
test,drug,general_target_joint_support,delta_error_detection_auprc,1,1,0.064048,1.0,0.064048,0.064048
test,drug,general_target_joint_support,delta_review_lift,1,1,0.393474,1.0,0.393474,0.393474
test,drug,general_target_joint_support,delta_retained_accuracy_gain_vs_residual,1,1,0.012612,1.0,0.012612,0.012612
test,drug,legacy_empirical_support,delta_error_detection_auprc,1,1,0.201183,1.0,0.201183,0.201183
test,drug,legacy_empirical_support,delta_review_lift,1,1,1.518605,1.0,1.518605,1.518605
test,drug,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,1,1,0.048068,1.0,0.048068,0.048068
test,drug,legacy_source_domain_support_after_fit,delta_error_detection_auprc,1,1,-0.042057,0.0,-0.042057,-0.042057
test,drug,legacy_source_domain_support_after_fit,delta_review_lift,1,1,-0.226042,0.0,-0.226042,-0.226042
test,drug,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,1,1,-0.007125,0.0,-0.007125,-0.007125
test,drug,legacy_support_after_native,delta_error_detection_auprc,1,1,-0.091079,0.0,-0.091079,-0.091079
test,drug,legacy_support_after_native,delta_review_lift,1,1,-0.202951,0.0,-0.202951,-0.202951
test,drug,legacy_support_after_native,delta_retained_accuracy_gain_vs_residual,1,1,-0.006767,0.0,-0.006767,-0.006767
test,drug,native_source_domain_support,delta_error_detection_auprc,1,1,0.127574,1.0,0.127574,0.127574
test,drug,native_source_domain_support,delta_review_lift,1,1,0.499757,1.0,0.499757,0.499757
test,drug,native_source_domain_support,delta_retained_accuracy_gain_vs_residual,1,1,0.015683,1.0,0.015683,0.015683
test,drug,native_source_domain_support_after_fit,delta_error_detection_auprc,1,1,0.042218,1.0,0.042218,0.042218
test,drug,native_source_domain_support_after_fit,delta_review_lift,1,1,0.110838,1.0,0.110838,0.110838
test,drug,native_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,1,1,0.003904,1.0,0.003904,0.003904
test,drug,native_support_after_legacy,delta_error_detection_auprc,1,1,-0.006805,0.0,-0.006805,-0.006805
test,drug,native_support_after_legacy,delta_review_lift,1,1,0.133929,1.0,0.133929,0.133929
test,drug,native_support_after_legacy,delta_retained_accuracy_gain_vs_residual,1,1,0.004262,1.0,0.004262,0.004262
test,drug,prior,delta_error_detection_auprc,1,1,0.079759,1.0,0.079759,0.079759
test,drug,prior,delta_review_lift,1,1,0.410268,1.0,0.410268,0.410268
test,drug,prior,delta_retained_accuracy_gain_vs_residual,1,1,0.01285,1.0,0.01285,0.01285
test,drug,prior_after_empirical_support,delta_error_detection_auprc,1,1,0.024082,1.0,0.024082,0.024082
test,drug,prior_after_empirical_support,delta_review_lift,1,1,-0.057203,0.0,-0.057203,-0.057203
test,drug,prior_after_empirical_support,delta_retained_accuracy_gain_vs_residual,1,1,-0.001559,0.0,-0.001559,-0.001559
test,drug,source_domain_support,delta_error_detection_auprc,1,1,0.036887,1.0,0.036887,0.036887
test,drug,source_domain_support,delta_review_lift,1,1,0.502991,1.0,0.502991,0.502991
test,drug,source_domain_support,delta_retained_accuracy_gain_vs_residual,1,1,0.015689,1.0,0.015689,0.015689
test,drug,target_sequence_support,delta_error_detection_auprc,1,1,0.027784,1.0,0.027784,0.027784
test,drug,target_sequence_support,delta_review_lift,1,1,0.04444,1.0,0.04444,0.04444
test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,1,1,0.001429,1.0,0.001429,0.001429
test,target,combined_empirical_support,delta_error_detection_auprc,1,1,0.188439,1.0,0.188439,0.188439
test,target,combined_empirical_support,delta_review_lift,1,1,1.53733,1.0,1.53733,1.53733
test,target,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,1,1,0.049109,1.0,0.049109,0.049109
test,target,empirical_support,delta_error_detection_auprc,1,1,0.256874,1.0,0.256874,0.256874
test,target,empirical_support,delta_review_lift,1,1,1.554124,1.0,1.554124,1.554124
