split,group_axis,model,dataset,measure,num_independent_runs,mean,run_win_rate,min,max
test,drug,PACE,biosnap,delta_error_detection_auprc,1,0.064048,1.0,0.064048,0.064048
test,drug,PACE,biosnap,delta_review_lift,1,0.393474,1.0,0.393474,0.393474
test,drug,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,1,0.012612,1.0,0.012612,0.012612
test,target,PACE,biosnap,delta_error_detection_auprc,1,0.068754,1.0,0.068754,0.068754
test,target,PACE,biosnap,delta_review_lift,1,0.504312,1.0,0.504312,0.504312
test,target,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,1,0.016517,1.0,0.016517,0.016517
validation,drug,PACE,biosnap,delta_validation_fold_mean_auprc,1,0.003412,1.0,0.003412,0.003412
validation,drug,PACE,biosnap,delta_error_detection_auprc,1,0.009533,1.0,0.009533,0.009533
validation,drug,PACE,biosnap,delta_review_lift,1,0.056583,1.0,0.056583,0.056583
validation,drug,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,1,0.002326,1.0,0.002326,0.002326
validation,target,PACE,biosnap,delta_validation_fold_mean_auprc,1,-0.019152,0.0,-0.019152,-0.019152
validation,target,PACE,biosnap,delta_error_detection_auprc,1,-0.010163,0.0,-0.010163,-0.010163
validation,target,PACE,biosnap,delta_review_lift,1,-0.063984,0.0,-0.063984,-0.063984
validation,target,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,1,-0.00252,0.0,-0.00252,-0.00252
