dataset,group_axis,review_fraction,rows,mean_pause_review_error_rate_gain,mean_oracle_review_error_rate_headroom,mean_pause_fraction_of_oracle_rate_headroom,mean_pause_review_error_rate_gap_to_oracle,mean_pause_error_recall_gain,mean_oracle_error_recall_headroom,mean_pause_fraction_of_oracle_recall_headroom,mean_pause_error_recall_gap_to_oracle
bindingdb,drug,0.05,60,0.28703916033454546,0.6978580131988864,0.3342893217892277,0.41081885286425,0.1285280299130682,0.24341257482808862,0.33428932178968496,0.11488454491506589
bindingdb,drug,0.1,60,0.2280980743446591,0.6594746162702196,0.32864944399019386,0.4313765419254924,0.16718902806236363,0.4027165842391781,0.32864944399072193,0.23552755617685994
bindingdb,drug,0.2,60,0.1825526882945,0.5481286346308692,0.35745478947868786,0.3655759463362101,0.23872643343445457,0.5877013384900818,0.3574547894789539,0.34897490505567275
bindingdb,target,0.05,60,0.08835261960261363,0.6978580131988864,0.10227272727270628,0.60950539359625,0.05289969142020454,0.24341257482808862,0.1022727272724092,0.19051288340779315
bindingdb,target,0.1,60,0.05128883294643182,0.6594746162702196,0.0843344155843257,0.6081857833237196,0.043717725252477274,0.4027165842391781,0.08433441558453546,0.35899885898676903
bindingdb,target,0.2,60,0.03934096348702273,0.5481286346308692,0.09789375399025911,0.5087876711438238,0.056453776253613634,0.5877013384900818,0.0978937539903045,0.5312475622364909
biosnap,drug,0.05,60,0.25147727272723336,0.7391480278981111,0.35095238095226394,0.4876707551707611,0.10502263426811667,0.40692017452373935,0.3509523809525278,0.3018975402557894
biosnap,drug,0.1,60,0.22262921907810002,0.6218246231753249,0.3433105320604372,0.39919540409709164,0.18699803039296667,0.6300232117984571,0.34331053206050005,0.4430251814054404
biosnap,drug,0.2,60,0.14603219917920002,0.3506375977588367,0.3685135100537573,0.20460539857968663,0.22959040910214998,0.6152825889249104,0.3685135100537519,0.38569217982266035
biosnap,target,0.05,60,0.08577681577678332,0.7391480278981111,0.11340608465602328,0.6533712121212445,0.0362479353171,0.40692017452373935,0.1134060846562969,0.37067223920668935
biosnap,target,0.1,60,0.0517908183148,0.6218246231753249,0.07144163706660905,0.5700338048604917,0.048648027038183335,0.6300232117984571,0.07144163706671906,0.5813751847603403
biosnap,target,0.2,60,0.03860055994883334,0.3506375977588367,0.1026701126817528,0.3120370378100033,0.07105258926658334,0.6152825889249104,0.10267011268166963,0.544229999658327
human,drug,0.05,60,0.018367346938775512,0.602040816326551,0.03472222222223786,0.5836734693877755,0.0029273426600816333,0.24188424301183545,0.034013605442128995,0.23895690035177425
human,drug,0.1,60,0.024360220278571428,0.5944687398769194,0.03547133138966274,0.5701085195983071,0.010410653561591838,0.44176900745419817,0.03547133138966374,0.43135835389260635
human,drug,0.2,60,0.0037571829825306124,0.39970757814323055,-0.0034013605442656408,0.3959503951605979,0.0020618658105306126,0.5263311668666397,-0.003401360544218651,0.52426930105615
human,target,0.05,60,0.05136054421769388,0.602040816326551,0.03993055555554861,0.5506802721088571,0.016392807828938774,0.24188424301183545,0.03911564625846301,0.2254914351828763
human,target,0.1,60,0.007717849044387755,0.5944687398769194,-0.02410106899900478,0.5867508908325519,0.0030918064427142857,0.44176900745419817,-0.02410106899906599,0.4386772010115043
human,target,0.2,60,0.011336356404897961,0.39970757814323055,-0.008527696792950847,0.3883712217383121,0.012253553204285715,0.5263311668666397,-0.008527696793015332,0.5140776136623745
