model,dataset,test_run,group_axis,review_fraction,mean_universe_n,mean_universe_error_count,mean_reviewed_n,mean_uncertainty_review_error_rate_at_k,mean_oracle_review_error_rate_at_k,mean_max_possible_review_error_rate_gain_over_uncertainty,mean_uncertainty_error_recall_at_k,mean_oracle_error_recall_at_k,mean_max_possible_error_recall_gain_over_uncertainty,mean_max_possible_review_error_count_gain_over_uncertainty,mean_uncertainty_fraction_of_oracle_error_count
DrugBAN,bindingdb,seed_4,drug,0.05,196.25,75.0,9.75,0.37430555555575,1.0,0.62569444444425,0.04861963493825,0.13154299968324357,0.08292336474499358,6.0,0.37430555555555556
DrugBAN,bindingdb,seed_4,drug,0.1,196.25,75.0,19.75,0.48685515873025,1.0,0.51314484126975,0.1289437823355,0.266134779854292,0.13719099751879205,10.0,0.4868551587301587
DrugBAN,bindingdb,seed_4,drug,0.2,196.25,75.0,39.25,0.51543239192825,1.0,0.48456760807175,0.27290874775625,0.5296653930419174,0.25675664528566744,19.0,0.5154323919284025
DrugBAN,bindingdb,seed_4,target,0.05,196.25,75.0,9.75,0.37430555555575,1.0,0.62569444444425,0.04861963493825,0.13154299968324357,0.08292336474499358,6.0,0.37430555555555556
DrugBAN,bindingdb,seed_4,target,0.1,196.25,75.0,19.75,0.48685515873025,1.0,0.51314484126975,0.1289437823355,0.266134779854292,0.13719099751879205,10.0,0.4868551587301587
DrugBAN,bindingdb,seed_4,target,0.2,196.25,75.0,39.25,0.51543239192825,1.0,0.48456760807175,0.27290874775625,0.5296653930419174,0.25675664528566744,19.0,0.5154323919284025
DrugBAN,bindingdb,seed_5,drug,0.05,179.5,32.75,9.0,0.16309523809525,1.0,0.83690476190475,0.04345881069275,0.28543235133660666,0.24197354064385665,7.5,0.1630952380952381
DrugBAN,bindingdb,seed_5,drug,0.1,179.5,32.75,18.0,0.25740563784025,1.0,0.7425943621597499,0.1442853246045,0.5694558101472995,0.4251704855427995,13.25,0.2574056378404205
DrugBAN,bindingdb,seed_5,drug,0.2,179.5,32.75,35.75,0.25375098567025,0.8884459036898061,0.6346949180195561,0.284661756683,0.9946808510638298,0.7100190943808298,23.25,0.28616499442586396
DrugBAN,bindingdb,seed_5,target,0.05,179.5,32.75,9.0,0.16309523809525,1.0,0.83690476190475,0.04345881069275,0.28543235133660666,0.24197354064385665,7.5,0.1630952380952381
DrugBAN,bindingdb,seed_5,target,0.1,179.5,32.75,18.0,0.25740563784025,1.0,0.7425943621597499,0.1442853246045,0.5694558101472995,0.4251704855427995,13.25,0.2574056378404205
DrugBAN,bindingdb,seed_5,target,0.2,179.5,32.75,35.75,0.25375098567025,0.8884459036898061,0.6346949180195561,0.284661756683,0.9946808510638298,0.7100190943808298,23.25,0.28616499442586396
DrugBAN,bindingdb,seed_6,drug,0.05,133.25,15.5,6.75,0.11904761904774999,1.0,0.8809523809522499,0.050148809524,0.43416491596638657,0.38401610644238654,6.0,0.11904761904761904
DrugBAN,bindingdb,seed_6,drug,0.1,133.25,15.5,13.5,0.0825424575425,1.0,0.9174575424575,0.06800595238099999,0.867139355742297,0.7991334033612969,12.5,0.08254245754245754
DrugBAN,bindingdb,seed_6,drug,0.2,133.25,15.5,26.75,0.10746443598475,0.5821278300941695,0.4746633941094195,0.18209033613449999,1.0,0.8179096638655,12.75,0.18209033613445377
DrugBAN,bindingdb,seed_6,target,0.05,133.25,15.5,6.75,0.11904761904774999,1.0,0.8809523809522499,0.050148809524,0.43416491596638657,0.38401610644238654,6.0,0.11904761904761904
DrugBAN,bindingdb,seed_6,target,0.1,133.25,15.5,13.5,0.0825424575425,1.0,0.9174575424575,0.06800595238099999,0.867139355742297,0.7991334033612969,12.5,0.08254245754245754
DrugBAN,bindingdb,seed_6,target,0.2,133.25,15.5,26.75,0.10746443598475,0.5821278300941695,0.4746633941094195,0.18209033613449999,1.0,0.8179096638655,12.75,0.18209033613445377
DrugBAN,bindingdb,seed_7,drug,0.05,176.75,39.0,9.0,0.329788961039,1.0,0.670211038961,0.078292945085,0.23338463292293662,0.15509168783793661,6.25,0.32978896103896105
DrugBAN,bindingdb,seed_7,drug,0.1,176.75,39.0,17.75,0.32170625427175,1.0,0.67829374572825,0.15035665428975,0.46095531235750115,0.31059865806775117,12.25,0.32170625427204375
DrugBAN,bindingdb,seed_7,drug,0.2,176.75,39.0,35.25,0.3441973130645,1.0,0.6558026869355,0.31815516904425,0.91546967624259,0.59731450719834,23.5,0.34419731306452983
DrugBAN,bindingdb,seed_7,target,0.05,176.75,39.0,9.0,0.329788961039,1.0,0.670211038961,0.078292945085,0.23338463292293662,0.15509168783793661,6.25,0.32978896103896105
DrugBAN,bindingdb,seed_7,target,0.1,176.75,39.0,17.75,0.32170625427175,1.0,0.67829374572825,0.15035665428975,0.46095531235750115,0.31059865806775117,12.25,0.32170625427204375
DrugBAN,bindingdb,seed_7,target,0.2,176.75,39.0,35.25,0.3441973130645,1.0,0.6558026869355,0.31815516904425,0.91546967624259,0.59731450719834,23.5,0.34419731306452983
DrugBAN,bindingdb,seed_8,drug,0.05,7.25,1.0,0.0,,,,,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.1,7.25,1.0,0.0,,,,,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.2,7.25,1.0,0.0,,,,,0.0,,,
DrugBAN,bindingdb,seed_8,target,0.05,7.25,1.0,0.0,,,,,0.0,,,
DrugBAN,bindingdb,seed_8,target,0.1,7.25,1.0,0.0,,,,,0.0,,,
DrugBAN,bindingdb,seed_8,target,0.2,7.25,1.0,0.0,,,,,0.0,,,
DrugBAN,biosnap,seed_4,drug,0.05,117.0,18.0,5.75,0.35476190476175,1.0,0.6452380952382499,0.12767232767225,0.34977522477522477,0.22210289710297476,3.75,0.3547619047619048
DrugBAN,biosnap,seed_4,drug,0.1,117.0,18.0,11.75,0.36105561105524997,1.0,0.6389443889447499,0.25307192807175,0.7037712287712288,0.45069930069947883,7.5,0.36105561105561107
DrugBAN,biosnap,seed_4,drug,0.2,117.0,18.0,23.25,0.31209273182950004,0.7503884711779448,0.43829573934844485,0.40979020979,1.0,0.59020979021,10.5,0.4097902097902098
DrugBAN,biosnap,seed_4,target,0.05,117.0,18.0,5.75,0.35476190476175,1.0,0.6452380952382499,0.12767232767225,0.34977522477522477,0.22210289710297476,3.75,0.3547619047619048
DrugBAN,biosnap,seed_4,target,0.1,117.0,18.0,11.75,0.36105561105524997,1.0,0.6389443889447499,0.25307192807175,0.7037712287712288,0.45069930069947883,7.5,0.36105561105561107
DrugBAN,biosnap,seed_4,target,0.2,117.0,18.0,23.25,0.31209273182950004,0.7503884711779448,0.43829573934844485,0.40979020979,1.0,0.59020979021,10.5,0.4097902097902098
DrugBAN,biosnap,seed_5,drug,0.05,148.25,28.25,7.0,0.29464285714274996,1.0,0.70535714285725,0.07628223703275,0.25094175601274993,0.17465951897999993,5.0,0.29464285714285715
DrugBAN,biosnap,seed_5,drug,0.1,148.25,28.25,15.0,0.40301659125175004,1.0,0.59698340874825,0.2169781705785,0.5383825944170773,0.3214044238385772,9.0,0.4030165912518854
DrugBAN,biosnap,seed_5,drug,0.2,148.25,28.25,29.5,0.3710433244915,0.9435897435897436,0.5725464190982437,0.388353617309,0.9926470588235294,0.6042934415145295,17.0,0.3908045977011494
DrugBAN,biosnap,seed_5,target,0.05,148.25,28.25,7.0,0.29464285714274996,1.0,0.70535714285725,0.07628223703275,0.25094175601274993,0.17465951897999993,5.0,0.29464285714285715
DrugBAN,biosnap,seed_5,target,0.1,148.25,28.25,15.0,0.40301659125175004,1.0,0.59698340874825,0.2169781705785,0.5383825944170773,0.3214044238385772,9.0,0.4030165912518854
DrugBAN,biosnap,seed_5,target,0.2,148.25,28.25,29.5,0.3710433244915,0.9435897435897436,0.5725464190982437,0.388353617309,0.9926470588235294,0.6042934415145295,17.0,0.3908045977011494
DrugBAN,biosnap,seed_6,drug,0.05,163.5,29.5,8.0,0.2118055555555,1.0,0.7881944444444999,0.05518353174625,0.275974025974026,0.22079049422777597,6.25,0.21180555555555555
DrugBAN,biosnap,seed_6,drug,0.1,163.5,29.5,16.5,0.23684901592225,1.0,0.76315098407775,0.13065927128425,0.5667049963924964,0.43604572510824635,12.5,0.23684901592215835
