model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,universe_n,universe_error_count,reviewed_n,uncertainty_review_error_rate_at_k,uncertainty_error_recall_at_k,oracle_review_error_rate_at_k,oracle_error_recall_at_k,max_possible_review_error_count_gain_over_uncertainty,max_possible_review_error_rate_gain_over_uncertainty,max_possible_error_recall_gain_over_uncertainty,uncertainty_fraction_of_oracle_error_count
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.05,237,96.0,12,0.416666666667,0.052083333333,1.0,0.125,7.0,0.583333333333,0.072916666667,0.4166666666666667
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.1,237,96.0,24,0.541666666667,0.135416666667,1.0,0.25,11.0,0.45833333333299997,0.114583333333,0.5416666666666666
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,237,96.0,47,0.510638297872,0.25,1.0,0.4895833333333333,23.0,0.489361702128,0.23958333333333331,0.5106382978723404
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.05,210,82.0,10,0.4,0.048780487805,1.0,0.12195121951219512,6.0,0.6,0.07317073170719512,0.4
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.1,210,82.0,21,0.52380952381,0.134146341463,1.0,0.25609756097560976,10.0,0.47619047619,0.12195121951260976,0.5238095238095238
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,210,82.0,42,0.547619047619,0.280487804878,1.0,0.5121951219512195,19.0,0.45238095238099996,0.2317073170732195,0.5476190476190477
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.05,179,66.0,9,0.555555555556,0.075757575758,1.0,0.13636363636363635,4.0,0.444444444444,0.06060606060563635,0.5555555555555556
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.1,179,66.0,18,0.444444444444,0.121212121212,1.0,0.2727272727272727,10.0,0.555555555556,0.1515151515152727,0.4444444444444444
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,179,66.0,36,0.472222222222,0.257575757576,1.0,0.5454545454545454,19.0,0.527777777778,0.28787878787854543,0.4722222222222222
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.05,159,56.0,8,0.125,0.017857142857,1.0,0.14285714285714285,7.0,0.875,0.12500000000014286,0.125
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.1,159,56.0,16,0.4375,0.125,1.0,0.2857142857142857,9.0,0.5625,0.1607142857142857,0.4375
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,159,56.0,32,0.53125,0.303571428571,1.0,0.5714285714285714,15.0,0.46875,0.2678571428575714,0.53125
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,237,96.0,12,0.416666666667,0.052083333333,1.0,0.125,7.0,0.583333333333,0.072916666667,0.4166666666666667
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.1,237,96.0,24,0.541666666667,0.135416666667,1.0,0.25,11.0,0.45833333333299997,0.114583333333,0.5416666666666666
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,237,96.0,47,0.510638297872,0.25,1.0,0.4895833333333333,23.0,0.489361702128,0.23958333333333331,0.5106382978723404
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.05,210,82.0,10,0.4,0.048780487805,1.0,0.12195121951219512,6.0,0.6,0.07317073170719512,0.4
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.1,210,82.0,21,0.52380952381,0.134146341463,1.0,0.25609756097560976,10.0,0.47619047619,0.12195121951260976,0.5238095238095238
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,210,82.0,42,0.547619047619,0.280487804878,1.0,0.5121951219512195,19.0,0.45238095238099996,0.2317073170732195,0.5476190476190477
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.05,179,66.0,9,0.555555555556,0.075757575758,1.0,0.13636363636363635,4.0,0.444444444444,0.06060606060563635,0.5555555555555556
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.1,179,66.0,18,0.444444444444,0.121212121212,1.0,0.2727272727272727,10.0,0.555555555556,0.1515151515152727,0.4444444444444444
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,179,66.0,36,0.472222222222,0.257575757576,1.0,0.5454545454545454,19.0,0.527777777778,0.28787878787854543,0.4722222222222222
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.05,159,56.0,8,0.125,0.017857142857,1.0,0.14285714285714285,7.0,0.875,0.12500000000014286,0.125
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.1,159,56.0,16,0.4375,0.125,1.0,0.2857142857142857,9.0,0.5625,0.1607142857142857,0.4375
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,159,56.0,32,0.53125,0.303571428571,1.0,0.5714285714285714,15.0,0.46875,0.2678571428575714,0.53125
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,0.05,231,47.0,12,0.166666666667,0.042553191489,1.0,0.2553191489361702,10.0,0.833333333333,0.2127659574471702,0.16666666666666666
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,0.1,231,47.0,23,0.304347826087,0.148936170213,1.0,0.48936170212765956,16.0,0.6956521739129999,0.3404255319146595,0.30434782608695654
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,0.2,231,47.0,46,0.282608695652,0.276595744681,1.0,0.9787234042553191,33.0,0.717391304348,0.7021276595743191,0.2826086956521739
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,0.05,206,39.0,10,0.2,0.051282051282,1.0,0.2564102564102564,8.0,0.8,0.20512820512825639,0.2
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,0.1,206,39.0,21,0.238095238095,0.128205128205,1.0,0.5384615384615384,16.0,0.761904761905,0.4102564102565385,0.23809523809523808
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,0.2,206,39.0,41,0.268292682927,0.282051282051,0.9512195121951219,1.0,28.0,0.6829268292681219,0.7179487179490001,0.28205128205128205
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,0.05,149,25.0,7,0.285714285714,0.08,1.0,0.28,5.0,0.714285714286,0.2,0.2857142857142857
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,0.1,149,25.0,15,0.333333333333,0.2,1.0,0.6,10.0,0.666666666667,0.39999999999999997,0.3333333333333333
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,0.2,149,25.0,30,0.233333333333,0.28,0.8333333333333334,1.0,18.0,0.6000000000003334,0.72,0.28
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,0.05,132,20.0,7,0.0,0.0,1.0,0.35,7.0,1.0,0.35,0.0
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,0.1,132,20.0,13,0.153846153846,0.1,1.0,0.65,11.0,0.846153846154,0.55,0.15384615384615385
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,0.2,132,20.0,26,0.230769230769,0.3,0.7692307692307693,1.0,14.0,0.5384615384617693,0.7,0.3
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.05,231,47.0,12,0.166666666667,0.042553191489,1.0,0.2553191489361702,10.0,0.833333333333,0.2127659574471702,0.16666666666666666
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.1,231,47.0,23,0.304347826087,0.148936170213,1.0,0.48936170212765956,16.0,0.6956521739129999,0.3404255319146595,0.30434782608695654
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,231,47.0,46,0.282608695652,0.276595744681,1.0,0.9787234042553191,33.0,0.717391304348,0.7021276595743191,0.2826086956521739
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.05,206,39.0,10,0.2,0.051282051282,1.0,0.2564102564102564,8.0,0.8,0.20512820512825639,0.2
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.1,206,39.0,21,0.238095238095,0.128205128205,1.0,0.5384615384615384,16.0,0.761904761905,0.4102564102565385,0.23809523809523808
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,206,39.0,41,0.268292682927,0.282051282051,0.9512195121951219,1.0,28.0,0.6829268292681219,0.7179487179490001,0.28205128205128205
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.05,149,25.0,7,0.285714285714,0.08,1.0,0.28,5.0,0.714285714286,0.2,0.2857142857142857
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.1,149,25.0,15,0.333333333333,0.2,1.0,0.6,10.0,0.666666666667,0.39999999999999997,0.3333333333333333
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,149,25.0,30,0.233333333333,0.28,0.8333333333333334,1.0,18.0,0.6000000000003334,0.72,0.28
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.05,132,20.0,7,0.0,0.0,1.0,0.35,7.0,1.0,0.35,0.0
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.1,132,20.0,13,0.153846153846,0.1,1.0,0.65,11.0,0.846153846154,0.55,0.15384615384615385
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.2,132,20.0,26,0.230769230769,0.3,0.7692307692307693,1.0,14.0,0.5384615384617693,0.7,0.3
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.1,0.05,155,17.0,8,0.0,0.0,1.0,0.47058823529411764,8.0,1.0,0.47058823529411764,0.0
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.1,0.1,155,17.0,16,0.0,0.0,1.0,0.9411764705882353,16.0,1.0,0.9411764705882353,0.0
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.1,0.2,155,17.0,31,0.064516129032,0.117647058824,0.5483870967741935,1.0,15.0,0.4838709677421935,0.882352941176,0.11764705882352941
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.2,0.05,138,16.0,7,0.142857142857,0.0625,1.0,0.4375,6.0,0.857142857143,0.375,0.14285714285714285
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.2,0.1,138,16.0,14,0.071428571429,0.0625,1.0,0.875,13.0,0.9285714285710001,0.8125,0.07142857142857142
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.2,0.2,138,16.0,28,0.071428571429,0.125,0.5714285714285714,1.0,14.0,0.4999999999995714,0.875,0.125
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.1,0.05,127,15.0,6,0.166666666667,0.066666666667,1.0,0.4,5.0,0.833333333333,0.333333333333,0.16666666666666666
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.1,0.1,127,15.0,13,0.076923076923,0.066666666667,1.0,0.8666666666666667,12.0,0.923076923077,0.7999999999996668,0.07692307692307693
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.1,0.2,127,15.0,25,0.12,0.2,0.6,1.0,12.0,0.48,0.8,0.2
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.2,0.05,113,14.0,6,0.166666666667,0.071428571429,1.0,0.42857142857142855,5.0,0.833333333333,0.35714285714242855,0.16666666666666666
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.2,0.1,113,14.0,11,0.181818181818,0.142857142857,1.0,0.7857142857142857,9.0,0.818181818182,0.6428571428572857,0.18181818181818182
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.2,0.2,113,14.0,23,0.173913043478,0.285714285714,0.6086956521739131,1.0,10.0,0.4347826086959131,0.714285714286,0.2857142857142857
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.05,155,17.0,8,0.0,0.0,1.0,0.47058823529411764,8.0,1.0,0.47058823529411764,0.0
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.1,155,17.0,16,0.0,0.0,1.0,0.9411764705882353,16.0,1.0,0.9411764705882353,0.0
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.2,155,17.0,31,0.064516129032,0.117647058824,0.5483870967741935,1.0,15.0,0.4838709677421935,0.882352941176,0.11764705882352941
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.05,138,16.0,7,0.142857142857,0.0625,1.0,0.4375,6.0,0.857142857143,0.375,0.14285714285714285
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.1,138,16.0,14,0.071428571429,0.0625,1.0,0.875,13.0,0.9285714285710001,0.8125,0.07142857142857142
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.2,138,16.0,28,0.071428571429,0.125,0.5714285714285714,1.0,14.0,0.4999999999995714,0.875,0.125
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,0.05,127,15.0,6,0.166666666667,0.066666666667,1.0,0.4,5.0,0.833333333333,0.333333333333,0.16666666666666666
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,0.1,127,15.0,13,0.076923076923,0.066666666667,1.0,0.8666666666666667,12.0,0.923076923077,0.7999999999996668,0.07692307692307693
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,0.2,127,15.0,25,0.12,0.2,0.6,1.0,12.0,0.48,0.8,0.2
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,0.05,113,14.0,6,0.166666666667,0.071428571429,1.0,0.42857142857142855,5.0,0.833333333333,0.35714285714242855,0.16666666666666666
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,0.1,113,14.0,11,0.181818181818,0.142857142857,1.0,0.7857142857142857,9.0,0.818181818182,0.6428571428572857,0.18181818181818182
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,0.2,113,14.0,23,0.173913043478,0.285714285714,0.6086956521739131,1.0,10.0,0.4347826086959131,0.714285714286,0.2857142857142857
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.1,0.05,217,51.0,11,0.272727272727,0.058823529412,1.0,0.21568627450980393,8.0,0.727272727273,0.15686274509780393,0.2727272727272727
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.1,0.1,217,51.0,22,0.272727272727,0.117647058824,1.0,0.43137254901960786,16.0,0.727272727273,0.31372549019560786,0.2727272727272727
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.1,0.2,217,51.0,43,0.279069767442,0.235294117647,1.0,0.8431372549019608,31.0,0.720930232558,0.6078431372549608,0.27906976744186046
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.2,0.05,193,43.0,10,0.1,0.023255813953,1.0,0.23255813953488372,9.0,0.9,0.20930232558188372,0.1
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.2,0.1,193,43.0,19,0.210526315789,0.093023255814,1.0,0.4418604651162791,15.0,0.789473684211,0.34883720930227907,0.21052631578947367
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.2,0.2,193,43.0,39,0.282051282051,0.255813953488,1.0,0.9069767441860465,28.0,0.7179487179490001,0.6511627906980464,0.28205128205128205
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.1,0.05,157,34.0,8,0.375,0.088235294118,1.0,0.23529411764705882,5.0,0.625,0.1470588235290588,0.375
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.1,0.1,157,34.0,16,0.375,0.176470588235,1.0,0.47058823529411764,10.0,0.625,0.29411764705911764,0.375
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.1,0.2,157,34.0,31,0.387096774194,0.352941176471,1.0,0.9117647058823529,19.0,0.612903225806,0.5588235294113529,0.3870967741935484
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.2,0.05,140,28.0,7,0.571428571429,0.142857142857,1.0,0.25,3.0,0.42857142857099995,0.10714285714300001,0.5714285714285714
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.2,0.1,140,28.0,14,0.428571428571,0.214285714286,1.0,0.5,8.0,0.5714285714289999,0.28571428571400004,0.42857142857142855
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.2,0.2,140,28.0,28,0.428571428571,0.428571428571,1.0,1.0,16.0,0.5714285714289999,0.5714285714289999,0.42857142857142855
DrugBAN,bindingdb,seed_7,target,base,0.8,0.1,0.05,217,51.0,11,0.272727272727,0.058823529412,1.0,0.21568627450980393,8.0,0.727272727273,0.15686274509780393,0.2727272727272727
DrugBAN,bindingdb,seed_7,target,base,0.8,0.1,0.1,217,51.0,22,0.272727272727,0.117647058824,1.0,0.43137254901960786,16.0,0.727272727273,0.31372549019560786,0.2727272727272727
DrugBAN,bindingdb,seed_7,target,base,0.8,0.1,0.2,217,51.0,43,0.279069767442,0.235294117647,1.0,0.8431372549019608,31.0,0.720930232558,0.6078431372549608,0.27906976744186046
DrugBAN,bindingdb,seed_7,target,base,0.8,0.2,0.05,193,43.0,10,0.1,0.023255813953,1.0,0.23255813953488372,9.0,0.9,0.20930232558188372,0.1
DrugBAN,bindingdb,seed_7,target,base,0.8,0.2,0.1,193,43.0,19,0.210526315789,0.093023255814,1.0,0.4418604651162791,15.0,0.789473684211,0.34883720930227907,0.21052631578947367
DrugBAN,bindingdb,seed_7,target,base,0.8,0.2,0.2,193,43.0,39,0.282051282051,0.255813953488,1.0,0.9069767441860465,28.0,0.7179487179490001,0.6511627906980464,0.28205128205128205
DrugBAN,bindingdb,seed_7,target,base,0.9,0.1,0.05,157,34.0,8,0.375,0.088235294118,1.0,0.23529411764705882,5.0,0.625,0.1470588235290588,0.375
DrugBAN,bindingdb,seed_7,target,base,0.9,0.1,0.1,157,34.0,16,0.375,0.176470588235,1.0,0.47058823529411764,10.0,0.625,0.29411764705911764,0.375
DrugBAN,bindingdb,seed_7,target,base,0.9,0.1,0.2,157,34.0,31,0.387096774194,0.352941176471,1.0,0.9117647058823529,19.0,0.612903225806,0.5588235294113529,0.3870967741935484
DrugBAN,bindingdb,seed_7,target,base,0.9,0.2,0.05,140,28.0,7,0.571428571429,0.142857142857,1.0,0.25,3.0,0.42857142857099995,0.10714285714300001,0.5714285714285714
DrugBAN,bindingdb,seed_7,target,base,0.9,0.2,0.1,140,28.0,14,0.428571428571,0.214285714286,1.0,0.5,8.0,0.5714285714289999,0.28571428571400004,0.42857142857142855
DrugBAN,bindingdb,seed_7,target,base,0.9,0.2,0.2,140,28.0,28,0.428571428571,0.428571428571,1.0,1.0,16.0,0.5714285714289999,0.5714285714289999,0.42857142857142855
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,0.05,15,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,0.1,15,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,0.2,15,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,0.05,14,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,0.1,14,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,0.2,14,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.05,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.1,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.2,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.05,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.1,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.2,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.05,15,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.1,15,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.2,15,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.05,14,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.1,14,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.2,14,2.0,0,,,,0.0,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.05,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.1,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.2,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.05,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.1,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.2,0,0.0,0,,,,,,,,
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.05,142,26.0,7,0.285714285714,0.076923076923,1.0,0.2692307692307692,5.0,0.714285714286,0.19230769230776923,0.2857142857142857
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.1,142,26.0,14,0.285714285714,0.153846153846,1.0,0.5384615384615384,10.0,0.714285714286,0.38461538461553846,0.2857142857142857
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,142,26.0,28,0.357142857143,0.384615384615,0.9285714285714286,1.0,16.0,0.5714285714284286,0.615384615385,0.38461538461538464
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.05,126,22.0,6,0.333333333333,0.090909090909,1.0,0.2727272727272727,4.0,0.666666666667,0.1818181818182727,0.3333333333333333
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.1,126,22.0,13,0.461538461538,0.272727272727,1.0,0.5909090909090909,7.0,0.538461538462,0.31818181818209096,0.46153846153846156
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.2,126,22.0,25,0.4,0.454545454545,0.88,1.0,12.0,0.48,0.5454545454549999,0.45454545454545453
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.05,106,14.0,5,0.4,0.142857142857,1.0,0.35714285714285715,3.0,0.6,0.21428571428585716,0.4
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.1,106,14.0,11,0.363636363636,0.285714285714,1.0,0.7857142857142857,7.0,0.636363636364,0.5000000000002858,0.36363636363636365
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.2,106,14.0,21,0.333333333333,0.5,0.6666666666666666,1.0,7.0,0.3333333333336666,0.5,0.5
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.05,94,10.0,5,0.4,0.2,1.0,0.5,3.0,0.6,0.3,0.4
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.1,94,10.0,9,0.333333333333,0.3,1.0,0.9,6.0,0.666666666667,0.6000000000000001,0.3333333333333333
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.2,94,10.0,19,0.157894736842,0.3,0.5263157894736842,1.0,7.0,0.3684210526316842,0.7,0.3
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,142,26.0,7,0.285714285714,0.076923076923,1.0,0.2692307692307692,5.0,0.714285714286,0.19230769230776923,0.2857142857142857
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.1,142,26.0,14,0.285714285714,0.153846153846,1.0,0.5384615384615384,10.0,0.714285714286,0.38461538461553846,0.2857142857142857
