model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_profile,selection_reason,review_error_count,review_error_rate,review_recall_of_residual_errors,delta_review_error_rate_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,universe_n,universe_error_count,reviewed_n,uncertainty_review_error_rate_at_k,uncertainty_error_recall_at_k,oracle_review_error_rate_at_k,oracle_error_recall_at_k,max_possible_review_error_count_gain_over_uncertainty,max_possible_review_error_rate_gain_over_uncertainty,max_possible_error_recall_gain_over_uncertainty,uncertainty_fraction_of_oracle_error_count,pause_fraction_of_oracle_rate_headroom,pause_fraction_of_oracle_recall_headroom,pause_review_error_rate_gap_to_oracle,pause_error_recall_gap_to_oracle
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,prior,one_standard_error,6.0,0.5,0.157894736842,0.166666666667,0.052631578947,250,38.0,12,0.333333333333,0.105263157895,1.0,0.3157894736842105,8.0,0.666666666667,0.2105263157892105,0.3333333333333333,0.250000000000375,0.24999999999856254,0.5,0.1578947368422105
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,prior,one_standard_error,12.0,0.48,0.315789473684,0.08,0.052631578947,250,38.0,25,0.4,0.263157894737,1.0,0.6578947368421053,15.0,0.6,0.3947368421051053,0.4,0.13333333333333333,0.1333333333324533,0.52,0.3421052631581053
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,prior,one_standard_error,17.0,0.34,0.447368421053,0.06,0.078947368421,250,38.0,50,0.28,0.368421052632,0.76,1.0,24.0,0.48,0.631578947368,0.3684210526315789,0.125,0.125,0.42,0.552631578947
PACE,biosnap,seed_4,target,base,0.8,0.2,0.05,prior,one_standard_error,4.0,0.363636363636,0.142857142857,0.181818181818,0.071428571429,222,28.0,11,0.181818181818,0.071428571429,1.0,0.3928571428571428,9.0,0.818181818182,0.3214285714281428,0.1818181818181818,0.22222222222195062,0.22222222222385188,0.636363636364,0.2500000000001428
PACE,biosnap,seed_4,target,base,0.8,0.2,0.1,prior,one_standard_error,7.0,0.318181818182,0.25,0.136363636364,0.107142857143,222,28.0,22,0.181818181818,0.142857142857,1.0,0.7857142857142857,18.0,0.818181818182,0.6428571428572857,0.1818181818181818,0.16666666666707408,0.16666666666685184,0.681818181818,0.5357142857142857
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,prior,one_standard_error,11.0,0.25,0.392857142857,0.022727272727,0.035714285714,222,28.0,44,0.227272727273,0.357142857143,0.6363636363636364,1.0,18.0,0.4090909090906364,0.642857142857,0.3571428571428571,0.055555555554925924,0.05555555555512346,0.38636363636363635,0.607142857143
PACE,biosnap,seed_4,target,base,0.9,0.1,0.05,prior,one_standard_error,5.0,0.454545454545,0.178571428571,0.272727272727,0.107142857143,219,28.0,11,0.181818181818,0.071428571429,1.0,0.3928571428571428,9.0,0.818181818182,0.3214285714281428,0.1818181818181818,0.3333333333329259,0.33333333333422227,0.5454545454549999,0.2142857142861428
PACE,biosnap,seed_4,target,base,0.9,0.1,0.1,prior,one_standard_error,7.0,0.318181818182,0.25,0.0,0.0,219,28.0,22,0.318181818182,0.25,1.0,0.7857142857142857,15.0,0.681818181818,0.5357142857142857,0.3181818181818182,0.0,0.0,0.681818181818,0.5357142857142857
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,prior,one_standard_error,11.0,0.25,0.392857142857,0.022727272727,0.035714285714,219,28.0,44,0.227272727273,0.357142857143,0.6363636363636364,1.0,18.0,0.4090909090906364,0.642857142857,0.3571428571428571,0.055555555554925924,0.05555555555512346,0.38636363636363635,0.607142857143
PACE,biosnap,seed_4,target,base,0.9,0.2,0.05,prior,one_standard_error,3.0,0.3,0.142857142857,0.0,0.0,194,21.0,10,0.3,0.142857142857,1.0,0.4761904761904761,7.0,0.7,0.3333333333334761,0.3,0.0,0.0,0.7,0.33333333333347615
