model,dataset,test_run,group_axis,n_test,mean_high_conf_positive,min_high_conf_positive,max_high_conf_positive,mean_residual_candidates,min_residual_candidates,max_residual_candidates,mean_residual_errors,min_residual_errors,max_residual_errors,mean_residual_error_prevalence,min_residual_error_prevalence,max_residual_error_prevalence
DrugBAN,bindingdb,seed_4,drug,1779,231.0,199,263,196.25,159,237,75.0,56.0,96.0,0.3791139558189872,0.3522012578616352,0.4050632911392405
DrugBAN,bindingdb,seed_4,target,1779,231.0,199,263,196.25,159,237,75.0,56.0,96.0,0.3791139558189872,0.3522012578616352,0.4050632911392405
DrugBAN,bindingdb,seed_5,drug,1779,211.0,165,257,179.5,132,231,32.75,20.0,47.0,0.1780209945567996,0.15151515151515152,0.20346320346320346
DrugBAN,bindingdb,seed_5,target,1779,211.0,165,257,179.5,132,231,32.75,20.0,47.0,0.1780209945567996,0.15151515151515152,0.20346320346320346
DrugBAN,bindingdb,seed_6,drug,1779,156.5,141,172,133.25,113,155,15.5,14.0,17.0,0.11690587246763823,0.10967741935483871,0.12389380530973451
DrugBAN,bindingdb,seed_6,target,1779,156.5,141,172,133.25,113,155,15.5,14.0,17.0,0.11690587246763823,0.10967741935483871,0.12389380530973451
DrugBAN,bindingdb,seed_7,drug,1779,208.0,175,241,176.75,140,217,39.0,28.0,51.0,0.2185953696224836,0.2,0.2350230414746544
DrugBAN,bindingdb,seed_7,target,1779,208.0,175,241,176.75,140,217,39.0,28.0,51.0,0.2185953696224836,0.2,0.2350230414746544
DrugBAN,bindingdb,seed_8,drug,1779,8.5,0,17,7.25,0,15,1.0,0.0,2.0,0.1380952380952381,0.13333333333333333,0.14285714285714285
DrugBAN,bindingdb,seed_8,target,1779,8.5,0,17,7.25,0,15,1.0,0.0,2.0,0.1380952380952381,0.13333333333333333,0.14285714285714285
DrugBAN,biosnap,seed_4,drug,907,138.0,118,158,117.0,94,142,18.0,10.0,26.0,0.14904005414349697,0.10638297872340426,0.18309859154929578
DrugBAN,biosnap,seed_4,target,907,138.0,118,158,117.0,94,142,18.0,10.0,26.0,0.14904005414349697,0.10638297872340426,0.18309859154929578
DrugBAN,biosnap,seed_5,drug,907,174.5,163,186,148.25,130,167,28.25,21.0,34.0,0.18926026498939158,0.16153846153846155,0.20359281437125748
DrugBAN,biosnap,seed_5,target,907,174.5,163,186,148.25,130,167,28.25,21.0,34.0,0.18926026498939158,0.16153846153846155,0.20359281437125748
DrugBAN,biosnap,seed_6,drug,907,192.5,175,210,163.5,140,189,29.5,22.0,36.0,0.179109796784956,0.15714285714285714,0.19047619047619047
DrugBAN,biosnap,seed_6,target,907,192.5,175,210,163.5,140,189,29.5,22.0,36.0,0.179109796784956,0.15714285714285714,0.19047619047619047
DrugBAN,biosnap,seed_7,drug,907,159.5,136,183,135.5,109,165,38.75,29.0,51.0,0.2833272477794674,0.26605504587155965,0.3090909090909091
DrugBAN,biosnap,seed_7,target,907,159.5,136,183,135.5,109,165,38.75,29.0,51.0,0.2833272477794674,0.26605504587155965,0.3090909090909091
DrugBAN,biosnap,seed_8,drug,907,183.0,173,193,155.5,138,174,22.25,17.0,28.0,0.1419976824774426,0.12318840579710146,0.16091954022988506
DrugBAN,biosnap,seed_8,target,907,183.0,173,193,155.5,138,174,22.25,17.0,28.0,0.1419976824774426,0.12318840579710146,0.16091954022988506
DrugBAN,human,seed_4,drug,311,11.5,6,17,9.75,5,15,0.5,0.0,1.0,0.034523809523809526,0.0,0.07142857142857142
DrugBAN,human,seed_4,target,311,11.5,6,17,9.75,5,15,0.5,0.0,1.0,0.034523809523809526,0.0,0.07142857142857142
