model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,n_test,n_high_conf_positive,deferred_n,n_residual_candidates,n_residual_errors,residual_error_prevalence,candidate_error_count
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,1779,263,26,237,96.0,0.4050632911392405,110.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,1779,263,53,210,82.0,0.3904761904761905,110.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,1779,199,20,179,66.0,0.3687150837988827,77.0
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,1779,199,40,159,56.0,0.3522012578616352,77.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,1779,263,26,237,96.0,0.4050632911392405,110.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,1779,263,53,210,82.0,0.3904761904761905,110.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,1779,199,20,179,66.0,0.3687150837988827,77.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,1779,199,40,159,56.0,0.3522012578616352,77.0
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,0.2,1779,257,26,231,47.0,0.20346320346320346,56.0
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,0.2,1779,257,51,206,39.0,0.18932038834951456,56.0
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,0.2,1779,165,16,149,25.0,0.16778523489932887,28.0
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,0.2,1779,165,33,132,20.0,0.15151515151515152,28.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,1779,257,26,231,47.0,0.20346320346320346,56.0
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,1779,257,51,206,39.0,0.18932038834951456,56.0
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,0.2,1779,165,16,149,25.0,0.16778523489932887,28.0
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,0.2,1779,165,33,132,20.0,0.15151515151515152,28.0
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.1,0.2,1779,172,17,155,17.0,0.10967741935483871,23.0
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.2,0.2,1779,172,34,138,16.0,0.11594202898550725,23.0
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.1,0.2,1779,141,14,127,15.0,0.11811023622047244,17.0
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.2,0.2,1779,141,28,113,14.0,0.12389380530973451,17.0
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,0.2,1779,172,17,155,17.0,0.10967741935483871,23.0
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,0.2,1779,172,34,138,16.0,0.11594202898550725,23.0
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,0.2,1779,141,14,127,15.0,0.11811023622047244,17.0
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,0.2,1779,141,28,113,14.0,0.12389380530973451,17.0
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.1,0.2,1779,241,24,217,51.0,0.2350230414746544,61.0
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.2,0.2,1779,241,48,193,43.0,0.22279792746113988,61.0
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.1,0.2,1779,175,18,157,34.0,0.21656050955414013,39.0
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.2,0.2,1779,175,35,140,28.0,0.2,39.0
DrugBAN,bindingdb,seed_7,target,base,0.8,0.1,0.2,1779,241,24,217,51.0,0.2350230414746544,61.0
DrugBAN,bindingdb,seed_7,target,base,0.8,0.2,0.2,1779,241,48,193,43.0,0.22279792746113988,61.0
DrugBAN,bindingdb,seed_7,target,base,0.9,0.1,0.2,1779,175,18,157,34.0,0.21656050955414013,39.0
DrugBAN,bindingdb,seed_7,target,base,0.9,0.2,0.2,1779,175,35,140,28.0,0.2,39.0
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,0.2,1779,17,2,15,2.0,0.13333333333333333,4.0
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,0.2,1779,17,3,14,2.0,0.14285714285714285,4.0
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.2,1779,0,0,0,0.0,,0.0
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.2,1779,0,0,0,0.0,,0.0
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.2,1779,17,2,15,2.0,0.13333333333333333,4.0
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.2,1779,17,3,14,2.0,0.14285714285714285,4.0
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.2,1779,0,0,0,0.0,,0.0
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.2,1779,0,0,0,0.0,,0.0
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,907,158,16,142,26.0,0.18309859154929578,32.0
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.2,907,158,32,126,22.0,0.1746031746031746,32.0
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.2,907,118,12,106,14.0,0.1320754716981132,19.0
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.2,907,118,24,94,10.0,0.10638297872340426,19.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,907,158,16,142,26.0,0.18309859154929578,32.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,907,158,32,126,22.0,0.1746031746031746,32.0
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,907,118,12,106,14.0,0.1320754716981132,19.0
