scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
overall,U2 - U,U2 - U,ok,error_detection_auprc,297,297,360,63,0.309764,0.283337,0.312242,-0.024326,-0.024326,-0.251277,0.075311,,,
overall,U2 - U,U2 - U,ok,error_detection_auroc,297,297,360,63,0.333333,0.640425,0.67755,-0.030173,-0.030173,-0.454652,0.131233,,,
overall,U2 - U,U2 - U,ok,review_lift,301,301,360,59,0.063123,1.601016,1.803771,-0.186269,-0.186269,-2.288095,0.275421,,,
overall,U2 - U,U2 - U,ok,review_recall_of_residual_errors,301,301,360,59,0.063123,0.320246,0.361074,-0.037194,-0.037194,-0.464286,0.054887,,,
overall,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,301,301,360,59,0.063123,0.022249,0.029573,-0.00678,-0.00678,-0.074916,0.014239,,,
grouping,U2 - U,U2 - U,ok,error_detection_auprc,147,147,180,33,0.333333,0.280386,0.312242,-0.025396,-0.025396,-0.248258,0.067378,drug,,
grouping,U2 - U,U2 - U,ok,error_detection_auroc,147,147,180,33,0.319728,0.637384,0.67755,-0.031283,-0.031283,-0.506037,0.126332,drug,,
grouping,U2 - U,U2 - U,ok,review_lift,149,149,180,31,0.067114,1.596207,1.803771,-0.178618,-0.178618,-1.737729,0.259007,drug,,
grouping,U2 - U,U2 - U,ok,review_recall_of_residual_errors,149,149,180,31,0.067114,0.31925,0.361074,-0.035572,-0.035572,-0.343956,0.051383,drug,,
grouping,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,149,149,180,31,0.067114,0.022398,0.029573,-0.006267,-0.006267,-0.072222,0.014138,drug,,
grouping,U2 - U,U2 - U,ok,error_detection_auprc,150,150,180,30,0.286667,0.28623,0.312242,-0.023278,-0.023278,-0.268509,0.076133,target,,
grouping,U2 - U,U2 - U,ok,error_detection_auroc,150,150,180,30,0.346667,0.643406,0.67755,-0.029085,-0.029085,-0.432544,0.117871,target,,
grouping,U2 - U,U2 - U,ok,review_lift,152,152,180,28,0.059211,1.605731,1.803771,-0.193769,-0.193769,-2.448333,0.301915,target,,
grouping,U2 - U,U2 - U,ok,review_recall_of_residual_errors,152,152,180,28,0.059211,0.321222,0.361074,-0.038784,-0.038784,-0.5,0.060357,target,,
grouping,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,152,152,180,28,0.059211,0.022104,0.029573,-0.007282,-0.007282,-0.078109,0.012457,target,,
dataset,U2 - U,U2 - U,ok,error_detection_auprc,92,92,120,28,0.336957,0.299481,0.314661,-0.01518,-0.01518,-0.24923,0.069733,,bindingdb,
dataset,U2 - U,U2 - U,ok,error_detection_auroc,92,92,120,28,0.358696,0.6115,0.623592,-0.012092,-0.012092,-0.141767,0.083651,,bindingdb,
dataset,U2 - U,U2 - U,ok,review_lift,96,96,120,24,0.125,1.198294,1.282056,-0.083762,-0.083762,-1.586538,0.327214,,bindingdb,
dataset,U2 - U,U2 - U,ok,review_recall_of_residual_errors,96,96,120,24,0.125,0.240935,0.257793,-0.016858,-0.016858,-0.323718,0.066071,,bindingdb,
dataset,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,96,96,120,24,0.125,0.013559,0.018759,-0.005199,-0.005199,-0.078798,0.019997,,bindingdb,
dataset,U2 - U,U2 - U,ok,error_detection_auprc,120,120,120,0,0.383333,0.242611,0.241877,0.000734,0.000734,-0.06684,0.061708,,biosnap,
dataset,U2 - U,U2 - U,ok,error_detection_auroc,120,120,120,0,0.375,0.668171,0.663639,0.004533,0.004533,-0.030718,0.089503,,biosnap,
dataset,U2 - U,U2 - U,ok,review_lift,120,120,120,0,0.033333,1.779974,1.825407,-0.045433,-0.045433,-0.510982,0.17776,,biosnap,
dataset,U2 - U,U2 - U,ok,review_recall_of_residual_errors,120,120,120,0,0.033333,0.355496,0.364618,-0.009122,-0.009122,-0.101447,0.035714,,biosnap,
dataset,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,120,120,120,0,0.033333,0.022977,0.023986,-0.001009,-0.001009,-0.011822,0.005714,,biosnap,
dataset,U2 - U,U2 - U,ok,error_detection_auprc,85,85,120,35,0.176471,0.323359,0.388366,-0.069606,-0.069606,-0.399,0.080732,,human,
dataset,U2 - U,U2 - U,ok,error_detection_auroc,85,85,120,35,0.247059,0.632561,0.738972,-0.098738,-0.098738,-0.657058,0.203846,,human,
dataset,U2 - U,U2 - U,ok,review_lift,85,85,120,35,0.035294,1.80321,2.227775,-0.50087,-0.50087,-4.016667,0.303529,,human,
dataset,U2 - U,U2 - U,ok,review_recall_of_residual_errors,85,85,120,35,0.035294,0.360056,0.445803,-0.099793,-0.099793,-0.786667,0.06,,human,
dataset,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,85,85,120,35,0.035294,0.031038,0.044829,-0.01671,-0.01671,-0.105918,0.013043,,human,
model,U2 - U,U2 - U,ok,error_detection_auprc,84,84,120,36,0.380952,0.322593,0.32735,0.001411,0.001411,-0.068158,0.061002,,,DrugBAN
model,U2 - U,U2 - U,ok,error_detection_auroc,84,84,120,36,0.416667,0.670768,0.686174,0.000611,0.000611,-0.071724,0.032729,,,DrugBAN
model,U2 - U,U2 - U,ok,review_lift,84,84,120,36,0.047619,1.593516,1.675993,-0.030512,-0.030512,-0.74026,0.335912,,,DrugBAN
model,U2 - U,U2 - U,ok,review_recall_of_residual_errors,84,84,120,36,0.047619,0.319033,0.336017,-0.005959,-0.005959,-0.142857,0.068344,,,DrugBAN
model,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,84,84,120,36,0.047619,0.027961,0.029797,-0.001223,-0.001223,-0.021739,0.01377,,,DrugBAN
model,U2 - U,U2 - U,ok,error_detection_auprc,109,109,120,11,0.247706,0.289709,0.314345,-0.019744,-0.019744,-0.240988,0.069088,,,PACE
model,U2 - U,U2 - U,ok,error_detection_auroc,109,109,120,11,0.284404,0.698692,0.718075,-0.01548,-0.01548,-0.138101,0.040641,,,PACE
model,U2 - U,U2 - U,ok,review_lift,113,113,120,7,0.044248,1.876606,2.000704,-0.096904,-0.096904,-1.571282,0.194839,,,PACE
model,U2 - U,U2 - U,ok,review_recall_of_residual_errors,113,113,120,7,0.044248,0.375319,0.400573,-0.019497,-0.019497,-0.312821,0.039098,,,PACE
model,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,113,113,120,7,0.044248,0.027907,0.03335,-0.004596,-0.004596,-0.075586,0.006571,,,PACE
model,U2 - U,U2 - U,ok,error_detection_auprc,104,104,120,16,0.317308,0.244953,0.29487,-0.049917,-0.049917,-0.366158,0.079123,,,TAPB
model,U2 - U,U2 - U,ok,error_detection_auroc,104,104,120,16,0.317308,0.554849,0.625285,-0.070436,-0.070436,-0.648241,0.203846,,,TAPB
model,U2 - U,U2 - U,ok,review_lift,104,104,120,16,0.096154,1.307636,1.716808,-0.409172,-0.409172,-3.7,0.287685,,,TAPB
model,U2 - U,U2 - U,ok,review_recall_of_residual_errors,104,104,120,16,0.096154,0.261387,0.343038,-0.081651,-0.081651,-0.723333,0.057143,,,TAPB
model,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,104,104,120,16,0.096154,0.011488,0.025128,-0.01364,-0.01364,-0.095515,0.019068,,,TAPB
overall,U+E2 - U,U+E2 - U,ok,error_detection_auprc,297,297,360,63,0.717172,0.362968,0.312242,0.055304,0.055304,-0.232324,0.311649,,,
overall,U+E2 - U,U+E2 - U,ok,error_detection_auroc,297,297,360,63,0.754209,0.708106,0.67755,0.037509,0.037509,-0.317123,0.280907,,,
overall,U+E2 - U,U+E2 - U,ok,review_lift,301,301,360,59,0.561462,2.074693,1.803771,0.287408,0.287408,-1.908929,2.464286,,,
overall,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,301,301,360,59,0.561462,0.415028,0.361074,0.057588,0.057588,-0.3875,0.5,,,
overall,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,301,301,360,59,0.561462,0.036867,0.029573,0.007838,0.007838,-0.07152,0.072537,,,
grouping,U+E2 - U,U+E2 - U,ok,error_detection_auprc,147,147,180,33,0.741497,0.373247,0.312242,0.067466,0.067466,-0.171212,0.310648,drug,,
grouping,U+E2 - U,U+E2 - U,ok,error_detection_auroc,147,147,180,33,0.768707,0.722745,0.67755,0.054079,0.054079,-0.259469,0.280692,drug,,
grouping,U+E2 - U,U+E2 - U,ok,review_lift,149,149,180,31,0.583893,2.136599,1.803771,0.361774,0.361774,-1.342489,2.45,drug,,
grouping,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,149,149,180,31,0.583893,0.427358,0.361074,0.072535,0.072535,-0.260714,0.5,drug,,
