scope,profile,n_runs,error_detection_auroc_mean,error_detection_auroc_sd,error_detection_auprc_mean,error_detection_auprc_sd,review_error_rate_mean,review_error_rate_sd,review_lift_mean,review_lift_sd,review_recall_of_residual_errors_mean,review_recall_of_residual_errors_sd,combined_recall_of_candidate_errors_mean,combined_recall_of_candidate_errors_sd,retained_accuracy_after_review_mean,retained_accuracy_after_review_sd,retained_accuracy_gain_vs_residual_mean,retained_accuracy_gain_vs_residual_sd,model,dataset,group_axis
overall,validation_selected_v2,360,0.714453,0.116951,0.34853,0.152985,0.298953,0.159375,2.046975,0.925091,0.409683,0.18565,0.576029,0.17439,0.8852,0.079036,0.036781,0.028021,,,
by_model,validation_selected_v2,120,0.737316,0.085604,0.387675,0.14582,0.340999,0.17427,1.967993,0.933818,0.394404,0.188045,0.571253,0.177241,0.872605,0.079393,0.042599,0.029016,DrugBAN,,
by_model,validation_selected_v2,120,0.742319,0.12079,0.339273,0.1576,0.26675,0.139393,2.283485,0.997436,0.457262,0.200042,0.609823,0.1957,0.916184,0.055833,0.036582,0.028016,PACE,,
by_model,validation_selected_v2,120,0.661579,0.122941,0.319355,0.148173,0.291208,0.155931,1.865195,0.772895,0.372482,0.154326,0.543295,0.136983,0.863721,0.089943,0.030962,0.025924,TAPB,,
by_dataset,validation_selected_v2,120,0.660701,0.107586,0.38585,0.177871,0.331595,0.193498,1.622134,0.887192,0.32612,0.179681,0.475278,0.181426,0.828482,0.097023,0.03214,0.032466,,bindingdb,
by_dataset,validation_selected_v2,120,0.747693,0.086677,0.297914,0.120669,0.261917,0.121484,2.29758,0.674316,0.458924,0.135018,0.610113,0.118544,0.917217,0.053748,0.035769,0.018273,,biosnap,
by_dataset,validation_selected_v2,120,0.723306,0.137023,0.37298,0.148326,0.310655,0.156266,2.142619,1.061495,0.42855,0.212933,0.625868,0.183888,0.899511,0.056138,0.041845,0.03174,,human,
by_group_axis,validation_selected_v2,180,0.725933,0.106395,0.360425,0.16135,0.307517,0.156873,2.114848,0.903757,0.423477,0.181983,0.58466,0.171885,0.887376,0.07675,0.038957,0.025887,,,drug
by_group_axis,validation_selected_v2,180,0.702973,0.125921,0.336636,0.143657,0.290388,0.161863,1.979101,0.943817,0.39589,0.188793,0.567398,0.176964,0.883024,0.081435,0.034606,0.029925,,,target
by_model_dataset,validation_selected_v2,40,0.690813,0.08516,0.397399,0.165541,0.381324,0.196056,1.790969,0.807238,0.359613,0.162248,0.515161,0.141712,0.828339,0.092463,0.042046,0.035074,DrugBAN,bindingdb,
by_model_dataset,validation_selected_v2,40,0.788835,0.025191,0.412904,0.085859,0.388785,0.088395,2.150441,0.507498,0.429572,0.102518,0.56243,0.116131,0.861377,0.055305,0.049924,0.015492,DrugBAN,biosnap,
by_model_dataset,validation_selected_v2,40,0.723507,0.103074,0.339133,0.177291,0.235901,0.188046,1.939085,1.367451,0.389583,0.275833,0.645387,0.243643,0.936439,0.040143,0.034064,0.032715,DrugBAN,human,
by_model_dataset,validation_selected_v2,40,0.637155,0.133696,0.315513,0.216942,0.198551,0.144749,1.476113,1.140966,0.298896,0.232797,0.444149,0.245266,0.883976,0.076484,0.016792,0.026604,PACE,bindingdb,
by_model_dataset,validation_selected_v2,40,0.779941,0.049259,0.282382,0.080047,0.22626,0.064321,2.765665,0.606128,0.552466,0.120765,0.687366,0.0966,0.950974,0.025585,0.035409,0.011992,PACE,biosnap,
by_model_dataset,validation_selected_v2,40,0.788829,0.110211,0.415173,0.131087,0.368618,0.133177,2.52794,0.704614,0.504586,0.141539,0.681386,0.113393,0.910381,0.032469,0.055568,0.028334,PACE,human,
by_model_dataset,validation_selected_v2,40,0.646929,0.090989,0.46231,0.082754,0.456569,0.128062,1.587911,0.4464,0.316718,0.088401,0.462149,0.098327,0.745458,0.070406,0.040301,0.028508,TAPB,bindingdb,
by_model_dataset,validation_selected_v2,40,0.674304,0.107407,0.198456,0.081828,0.170706,0.082075,1.976633,0.640236,0.394734,0.128242,0.580542,0.103491,0.939301,0.015318,0.021975,0.015305,TAPB,biosnap,
by_model_dataset,validation_selected_v2,40,0.657643,0.152266,0.35448,0.135708,0.312494,0.124988,1.920126,0.993526,0.383688,0.198231,0.554736,0.165939,0.859098,0.060987,0.034346,0.030219,TAPB,human,
