model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_v2_profile,selection_metric,validation_metric,validation_gain_vs_U,fallback_reason,u_validation_error_detection_auprc,u2_validation_error_detection_auprc,ue2_validation_error_detection_auprc,u2e2_validation_error_detection_auprc,min_validation_gain,selection_reason
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.34429,0.085625,,0.258666,0.210254,0.32912,0.34429,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.322242,0.101485,,0.220757,0.187021,0.309887,0.322242,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.324026,0.088321,,0.235705,0.175304,0.324026,0.288389,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.357167,0.10429,,0.252877,0.199853,0.357167,0.353981,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.323109,0.071817,,0.251293,0.243824,0.310881,0.323109,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.354566,0.135816,,0.21875,0.23991,0.315899,0.354566,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.361069,0.144617,,0.216452,0.213965,0.313972,0.361069,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.373405,0.130958,,0.242448,0.215606,0.373405,0.368456,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.252393,0.088999,,0.163394,0.150007,0.252393,0.229883,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.153223,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.153223,0.079767,0.119736,0.104539,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.150443,0.027126,,0.123316,0.116953,0.140894,0.150443,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.164989,0.040295,,0.124695,0.090982,0.161307,0.164989,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.219952,0.061752,,0.1582,0.150866,0.214326,0.219952,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.166193,0.049067,,0.117126,0.113276,0.154973,0.166193,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.184297,0.062658,,0.121639,0.123186,0.162464,0.184297,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.171563,0.064847,,0.106716,0.119999,0.171563,0.16661,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.227209,0.008421,,0.218788,0.191106,0.227209,0.198908,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.200844,0.02639,,0.174454,0.195741,0.200844,0.196528,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.211233,0.024757,,0.186476,0.160644,0.211233,0.196607,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.142157,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.142157,0.090139,0.118292,0.102127,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.231567,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.231567,0.200615,0.216763,0.214102,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.207805,0.026264,,0.181541,0.165453,0.207805,0.206418,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.15722,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.15722,0.14961,0.1619,0.161367,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.136112,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.136112,0.114123,0.122945,0.123454,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.18388,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.18388,0.138406,0.160364,0.151923,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.149893,0.015343,,0.13455,0.138014,0.149893,0.144463,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_7,target,base,0.9,0.1,0.2,U2,validation_error_detection_auprc,0.126039,0.01111,,0.11493,0.126039,0.117605,0.11715,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_7,target,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.126279,0.017766,,0.108513,0.124611,0.126279,0.117485,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_7,drug,base,0.8,0.1,0.2,U+E2,validation_error_detection_auprc,0.189486,0.027699,,0.161787,0.170344,0.189486,0.173237,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_7,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.138917,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.138917,0.123608,0.140652,0.131068,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_7,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.129249,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.129249,0.09902,0.108445,0.103635,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,biosnap,seed_7,drug,base,0.9,0.2,0.2,U2,validation_error_detection_auprc,0.150008,0.021083,,0.128925,0.150008,0.134023,0.133932,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,target,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.232781,0.034149,,0.198632,0.174673,0.229117,0.232781,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.30427,0.05918,,0.24509,0.227523,0.30427,0.292512,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,target,base,0.9,0.1,0.2,U+E2,validation_error_detection_auprc,0.242434,0.039062,,0.203371,0.186186,0.242434,0.226271,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,target,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.145804,0.027785,,0.118019,0.098476,0.145804,0.12283,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.254733,0.082198,,0.172535,0.178943,0.243367,0.254733,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,drug,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.288016,0.083631,,0.204385,0.187807,0.288016,0.265835,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.277718,0.079444,,0.198275,0.19174,0.27269,0.277718,0.005,validation_gain_vs_U_meets_threshold
PACE,biosnap,seed_8,drug,base,0.9,0.2,0.2,U+E2,validation_error_detection_auprc,0.187824,0.086072,,0.101752,0.135323,0.187824,0.166282,0.005,validation_gain_vs_U_meets_threshold
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,U2,validation_error_detection_auprc,0.303937,0.080976,,0.222961,0.303937,0.172929,0.2649,0.005,validation_gain_vs_U_meets_threshold
