scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,320,320,360,40,0.378125,0.34853,0.408314,-0.059783,-0.059783,-0.426806,0.15891,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,320,320,360,40,0.428125,0.714453,0.744891,-0.030439,-0.030439,-0.296154,0.164731,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,306,306,360,54,0.339869,2.046975,2.3488,-0.264315,-0.264315,-2.381302,1.352404,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,306,306,360,54,0.310458,0.409683,0.470022,-0.053216,-0.053216,-0.481617,0.26875,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,306,306,360,54,0.382353,0.036781,0.047595,-0.010194,-0.010194,-0.083348,0.044606,,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,160,160,180,20,0.2625,0.360425,0.461851,-0.101426,-0.101426,-0.426806,0.103279,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,160,160,180,20,0.29375,0.725933,0.784627,-0.058694,-0.058694,-0.260467,0.125367,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,153,153,180,27,0.235294,2.114848,2.626471,-0.477403,-0.477403,-1.922291,0.71948,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,153,153,180,27,0.176471,0.423477,0.525685,-0.095728,-0.095728,-0.383217,0.142857,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,153,153,180,27,0.30719,0.038957,0.057722,-0.018261,-0.018261,-0.080694,0.026229,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,160,160,180,20,0.49375,0.336636,0.354777,-0.018141,-0.018141,-0.421202,0.253543,target,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,160,160,180,20,0.5625,0.702973,0.705156,-0.002183,-0.002183,-0.402128,0.184575,target,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,153,153,180,27,0.444444,1.979101,2.071128,-0.051227,-0.051227,-2.429524,1.934364,target,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,153,153,180,27,0.444444,0.39589,0.414359,-0.010704,-0.010704,-0.5,0.386383,target,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,153,153,180,27,0.457516,0.034606,0.037469,-0.002128,-0.002128,-0.086207,0.062506,target,,
dataset,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,92,92,120,28,0.336957,0.38585,0.4693,-0.083449,-0.083449,-0.666667,0.258209,,bindingdb,
dataset,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,92,92,120,28,0.315217,0.660701,0.729787,-0.069086,-0.069086,-0.298976,0.154329,,bindingdb,
