scope,profile,n_runs,error_detection_auroc_mean,error_detection_auroc_sd,error_detection_auprc_mean,error_detection_auprc_sd,review_error_rate_mean,review_error_rate_sd,review_lift_mean,review_lift_sd,review_recall_of_residual_errors_mean,review_recall_of_residual_errors_sd,combined_recall_of_candidate_errors_mean,combined_recall_of_candidate_errors_sd,retained_accuracy_after_review_mean,retained_accuracy_after_review_sd,retained_accuracy_gain_vs_residual_mean,retained_accuracy_gain_vs_residual_sd,model,dataset,group_axis,selector_name
overall,validation_selected_v2,360,0.775443,0.122338,0.456203,0.184345,0.367162,0.180069,2.56093,1.067973,0.512574,0.215263,0.64779,0.183296,0.902164,0.07637,0.053828,0.032357,,,,selector_A_E_only_add_on
by_model,validation_selected_v2,120,0.792539,0.107615,0.497539,0.212122,0.425633,0.223239,2.418428,1.069138,0.484544,0.216048,0.636057,0.17964,0.89303,0.076309,0.063626,0.041212,DrugBAN,,,selector_A_E_only_add_on
by_model,validation_selected_v2,120,0.79701,0.131197,0.447397,0.181474,0.317616,0.130536,2.815968,1.168159,0.564352,0.236527,0.680858,0.208951,0.92897,0.054779,0.049368,0.025462,PACE,,,selector_A_E_only_add_on
by_model,validation_selected_v2,120,0.73512,0.117388,0.42435,0.148082,0.362831,0.161805,2.421708,0.892371,0.483391,0.177424,0.622864,0.149553,0.881574,0.088282,0.048816,0.026492,TAPB,,,selector_A_E_only_add_on
by_dataset,validation_selected_v2,120,0.773474,0.119971,0.524349,0.195437,0.441224,0.187751,2.355362,1.182175,0.473695,0.242444,0.571489,0.219403,0.854251,0.101818,0.059304,0.03324,,bindingdb,,selector_A_E_only_add_on
by_dataset,validation_selected_v2,120,0.837106,0.086685,0.472587,0.180482,0.360679,0.179829,3.122819,0.735694,0.623421,0.146296,0.727464,0.12022,0.941829,0.042688,0.060381,0.03153,,biosnap,,selector_A_E_only_add_on
by_dataset,validation_selected_v2,120,0.708606,0.123474,0.379947,0.149799,0.31195,0.15155,2.131437,1.012473,0.42644,0.203552,0.626461,0.174047,0.899877,0.052795,0.042211,0.029428,,human,,selector_A_E_only_add_on
by_group_axis,validation_selected_v2,180,0.80005,0.109062,0.483414,0.173056,0.386157,0.182428,2.700603,1.031911,0.540451,0.207821,0.667376,0.178424,0.906945,0.074865,0.05858,0.032146,,,drug,selector_A_E_only_add_on
by_group_axis,validation_selected_v2,180,0.750836,0.130054,0.428992,0.191681,0.348168,0.176191,2.421257,1.088152,0.484697,0.219565,0.628203,0.186534,0.897383,0.077782,0.049076,0.031963,,,target,selector_A_E_only_add_on
by_model_dataset,validation_selected_v2,40,0.770499,0.110547,0.55029,0.218721,0.480308,0.189857,2.37193,0.996861,0.475902,0.203967,0.586479,0.166559,0.847628,0.103863,0.065783,0.039237,DrugBAN,bindingdb,,selector_A_E_only_add_on
