model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selector_name,selected_v2_profile,validation_metric,validation_gain_vs_U,validation_gain_U_E_E2_vs_U_E,selection_reason,fallback_reason,validation_gain_U_P_E_E2_vs_best_formal,formal_selected_validation_metric,u_p_e_validation_metric,u_p_e_e2_validation_metric
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E2,0.32912,0.070455,0.06213,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.371028,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.064693,0.371028,0.254065,0.306335
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.335383,0.114626,0.044197,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.386686,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.046519,0.386686,0.291933,0.340167
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E2,0.324026,0.088321,0.014798,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.360465,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.062211,0.360465,0.289401,0.298254
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E2,0.357167,0.10429,-0.017085,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.357844,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.037601,0.357844,0.289306,0.320243
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.480816,0.229524,0.042756,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.477022,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.030448,0.43806,0.446574,0.477022
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.430123,0.211374,0.006991,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.423132,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.001653,0.423132,0.394727,0.421479
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.441985,0.225533,0.005069,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.436916,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.005298,0.436916,0.439153,0.433855
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.501532,0.259084,0.041728,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.481351,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.021547,0.459804,0.424683,0.481351
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,selector_A_E_only_add_on,U+E2,0.252393,0.088999,0.033631,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.227897,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.05389,0.160652,0.174007,0.227897
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.169901,0.016678,0.012409,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,selector_B_formal_plus_E2,formal_selected,0.186823,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.02603,0.186823,0.160348,0.160793
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,selector_A_E_only_add_on,U+E+E2,0.163907,0.040591,0.016276,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,selector_B_formal_plus_E2,formal_selected,0.192037,,,fallback_to_formal_selected_gain_below_threshold_or_unavailable,fallback_to_formal_selected_gain_below_threshold_or_unavailable,-0.032319,0.192037,0.142041,0.159718
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,selector_A_E_only_add_on,U+E+E2,0.178182,0.053488,0.042975,validation_gain_vs_U_meets_threshold,,,,,
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,selector_B_formal_plus_E2,U+P+E+E2,0.17719,,,u_p_e_e2_gain_vs_formal_baseline_meets_threshold,,0.007684,0.169506,0.1436,0.17719
