scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
overall,U+E2 - U,U+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.340083,0.257242,0.082841,0.082841,0.036039,0.12971,,,
overall,U+E2 - U,U+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.785897,0.681809,0.104088,0.104088,0.092714,0.118811,,,
overall,U+E2 - U,U+E2 - U,ok,review_lift,4,4,4,0,1.0,2.264725,1.710724,0.554001,0.554001,0.355885,0.78356,,,
overall,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.453008,0.342105,0.110902,0.110902,0.071429,0.156767,,,
overall,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,1.0,0.041373,0.023368,0.018005,0.018005,0.01125,0.029202,,,
grouping,U+E2 - U,U+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.340083,0.257242,0.082841,0.082841,0.036039,0.12971,drug,,
grouping,U+E2 - U,U+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.785897,0.681809,0.104088,0.104088,0.092714,0.118811,drug,,
grouping,U+E2 - U,U+E2 - U,ok,review_lift,4,4,4,0,1.0,2.264725,1.710724,0.554001,0.554001,0.355885,0.78356,drug,,
grouping,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.453008,0.342105,0.110902,0.110902,0.071429,0.156767,drug,,
grouping,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,1.0,0.041373,0.023368,0.018005,0.018005,0.01125,0.029202,drug,,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.340083,0.257242,0.082841,0.082841,0.036039,0.12971,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.785897,0.681809,0.104088,0.104088,0.092714,0.118811,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,review_lift,4,4,4,0,1.0,2.264725,1.710724,0.554001,0.554001,0.355885,0.78356,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.453008,0.342105,0.110902,0.110902,0.071429,0.156767,,biosnap,
dataset,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,1.0,0.041373,0.023368,0.018005,0.018005,0.01125,0.029202,,biosnap,
model,U+E2 - U,U+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.340083,0.257242,0.082841,0.082841,0.036039,0.12971,,,PACE
model,U+E2 - U,U+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.785897,0.681809,0.104088,0.104088,0.092714,0.118811,,,PACE
model,U+E2 - U,U+E2 - U,ok,review_lift,4,4,4,0,1.0,2.264725,1.710724,0.554001,0.554001,0.355885,0.78356,,,PACE
model,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.453008,0.342105,0.110902,0.110902,0.071429,0.156767,,,PACE
model,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,1.0,0.041373,0.023368,0.018005,0.018005,0.01125,0.029202,,,PACE
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,,,
overall,U+E+E2 - U+E,U+E+E2 - U+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,,,
grouping,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,drug,,
grouping,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,drug,,
grouping,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,drug,,
grouping,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,drug,,
grouping,U+E+E2 - U+E,U+E+E2 - U+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,drug,,
dataset,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,,biosnap,
dataset,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,,biosnap,
dataset,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,,biosnap,
dataset,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,,biosnap,
dataset,U+E+E2 - U+E,U+E+E2 - U+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,,biosnap,
model,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,,,PACE
model,U+E+E2 - U+E,U+E+E2 - U+E,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,,,PACE
model,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,,,PACE
model,U+E+E2 - U+E,U+E+E2 - U+E,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,,,PACE
model,U+E+E2 - U+E,U+E+E2 - U+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,,,PACE
overall,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auprc,4,4,4,0,0.75,0.625583,0.566781,0.058802,0.058802,0.003202,0.089682,,,
overall,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auroc,4,4,4,0,1.0,0.908542,0.89312,0.015422,0.015422,0.005832,0.022473,,,
overall,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_lift,4,4,4,0,0.75,3.761981,3.509006,0.252974,0.252974,0.013332,0.465246,,,
overall,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.752663,0.702068,0.050595,0.050595,0.002679,0.093452,,,
overall,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.088369,0.080906,0.007463,0.007463,0.000429,0.012778,,,
grouping,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auprc,4,4,4,0,0.75,0.625583,0.566781,0.058802,0.058802,0.003202,0.089682,drug,,
grouping,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auroc,4,4,4,0,1.0,0.908542,0.89312,0.015422,0.015422,0.005832,0.022473,drug,,
grouping,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_lift,4,4,4,0,0.75,3.761981,3.509006,0.252974,0.252974,0.013332,0.465246,drug,,
grouping,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.752663,0.702068,0.050595,0.050595,0.002679,0.093452,drug,,
grouping,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.088369,0.080906,0.007463,0.007463,0.000429,0.012778,drug,,
dataset,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auprc,4,4,4,0,0.75,0.625583,0.566781,0.058802,0.058802,0.003202,0.089682,,biosnap,
dataset,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auroc,4,4,4,0,1.0,0.908542,0.89312,0.015422,0.015422,0.005832,0.022473,,biosnap,
dataset,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_lift,4,4,4,0,0.75,3.761981,3.509006,0.252974,0.252974,0.013332,0.465246,,biosnap,
dataset,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.752663,0.702068,0.050595,0.050595,0.002679,0.093452,,biosnap,
dataset,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.088369,0.080906,0.007463,0.007463,0.000429,0.012778,,biosnap,
model,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auprc,4,4,4,0,0.75,0.625583,0.566781,0.058802,0.058802,0.003202,0.089682,,,PACE
model,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,error_detection_auroc,4,4,4,0,1.0,0.908542,0.89312,0.015422,0.015422,0.005832,0.022473,,,PACE
model,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_lift,4,4,4,0,0.75,3.761981,3.509006,0.252974,0.252974,0.013332,0.465246,,,PACE
model,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.752663,0.702068,0.050595,0.050595,0.002679,0.093452,,,PACE
model,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.088369,0.080906,0.007463,0.007463,0.000429,0.012778,,,PACE
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,drug,,
