model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,comparison,metric,delta,selected_v2_profile
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.049703,
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.014966,
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.008561,
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.032147,
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.055102,
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.022024,
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.008582,
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.026357,
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.102521,
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.058854,
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.084458,
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.120376,
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.008418,
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.084938,
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.003433,
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,-0.000104,
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,-0.00321,
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.0,
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,6.4e-05,
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,phase1_5_U2 - U,error_detection_auprc,0.010202,
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,phase1_5_U2 - U,error_detection_auprc,0.149981,
