scope,profile,n_runs,error_detection_auroc_mean,error_detection_auroc_sd,error_detection_auprc_mean,error_detection_auprc_sd,review_error_rate_mean,review_error_rate_sd,review_lift_mean,review_lift_sd,review_recall_of_residual_errors_mean,review_recall_of_residual_errors_sd,combined_recall_of_candidate_errors_mean,combined_recall_of_candidate_errors_sd,retained_accuracy_after_review_mean,retained_accuracy_after_review_sd,retained_accuracy_gain_vs_residual_mean,retained_accuracy_gain_vs_residual_sd,model,dataset,group_axis,selector_name
overall,validation_selected_v2,4,0.905248,0.006168,0.599731,0.032397,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,,,,selector_A_E_only_add_on
by_model,validation_selected_v2,4,0.905248,0.006168,0.599731,0.032397,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,PACE,,,selector_A_E_only_add_on
by_dataset,validation_selected_v2,4,0.905248,0.006168,0.599731,0.032397,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,,biosnap,,selector_A_E_only_add_on
by_group_axis,validation_selected_v2,4,0.905248,0.006168,0.599731,0.032397,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,,,drug,selector_A_E_only_add_on
by_model_dataset,validation_selected_v2,4,0.905248,0.006168,0.599731,0.032397,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,PACE,biosnap,,selector_A_E_only_add_on
overall,validation_selected_v2,4,0.900993,0.01253,0.568452,0.068668,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,,,,selector_B_formal_plus_E2
by_model,validation_selected_v2,4,0.900993,0.01253,0.568452,0.068668,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,PACE,,,selector_B_formal_plus_E2
by_dataset,validation_selected_v2,4,0.900993,0.01253,0.568452,0.068668,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,,biosnap,,selector_B_formal_plus_E2
by_group_axis,validation_selected_v2,4,0.900993,0.01253,0.568452,0.068668,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,,,drug,selector_B_formal_plus_E2
by_model_dataset,validation_selected_v2,4,0.900993,0.01253,0.568452,0.068668,0.476247,0.056523,3.717541,0.212965,0.743734,0.04513,0.811765,0.053109,0.958384,0.010772,0.086941,0.010054,PACE,biosnap,,selector_B_formal_plus_E2
