scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
overall,U2 - U,U2 - U,ok,error_detection_auprc,4,4,4,0,0.5,0.253416,0.257242,-0.003826,-0.003826,-0.051614,0.026033,,,
overall,U2 - U,U2 - U,ok,error_detection_auroc,4,4,4,0,0.0,0.677448,0.681809,-0.00436,-0.00436,-0.007374,-0.001987,,,
overall,U2 - U,U2 - U,ok,review_lift,4,4,4,0,0.5,1.820953,1.710724,0.110229,0.110229,0.0,0.256753,,,
overall,U2 - U,U2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.364192,0.342105,0.022086,0.022086,0.0,0.051363,,,
overall,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.027297,0.023368,0.003929,0.003929,0.0,0.009679,,,
grouping,U2 - U,U2 - U,ok,error_detection_auprc,4,4,4,0,0.5,0.253416,0.257242,-0.003826,-0.003826,-0.051614,0.026033,drug,,
grouping,U2 - U,U2 - U,ok,error_detection_auroc,4,4,4,0,0.0,0.677448,0.681809,-0.00436,-0.00436,-0.007374,-0.001987,drug,,
grouping,U2 - U,U2 - U,ok,review_lift,4,4,4,0,0.5,1.820953,1.710724,0.110229,0.110229,0.0,0.256753,drug,,
grouping,U2 - U,U2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.364192,0.342105,0.022086,0.022086,0.0,0.051363,drug,,
grouping,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.027297,0.023368,0.003929,0.003929,0.0,0.009679,drug,,
dataset,U2 - U,U2 - U,ok,error_detection_auprc,4,4,4,0,0.5,0.253416,0.257242,-0.003826,-0.003826,-0.051614,0.026033,,biosnap,
dataset,U2 - U,U2 - U,ok,error_detection_auroc,4,4,4,0,0.0,0.677448,0.681809,-0.00436,-0.00436,-0.007374,-0.001987,,biosnap,
dataset,U2 - U,U2 - U,ok,review_lift,4,4,4,0,0.5,1.820953,1.710724,0.110229,0.110229,0.0,0.256753,,biosnap,
dataset,U2 - U,U2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.364192,0.342105,0.022086,0.022086,0.0,0.051363,,biosnap,
dataset,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.027297,0.023368,0.003929,0.003929,0.0,0.009679,,biosnap,
model,U2 - U,U2 - U,ok,error_detection_auprc,4,4,4,0,0.5,0.253416,0.257242,-0.003826,-0.003826,-0.051614,0.026033,,,PACE
model,U2 - U,U2 - U,ok,error_detection_auroc,4,4,4,0,0.0,0.677448,0.681809,-0.00436,-0.00436,-0.007374,-0.001987,,,PACE
model,U2 - U,U2 - U,ok,review_lift,4,4,4,0,0.5,1.820953,1.710724,0.110229,0.110229,0.0,0.256753,,,PACE
model,U2 - U,U2 - U,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.364192,0.342105,0.022086,0.022086,0.0,0.051363,,,PACE
model,U2 - U,U2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.027297,0.023368,0.003929,0.003929,0.0,0.009679,,,PACE
overall,U+E2 - U,U+E2 - U,ok,error_detection_auprc,4,4,4,0,1.0,0.340083,0.257242,0.082841,0.082841,0.036039,0.12971,,,
overall,U+E2 - U,U+E2 - U,ok,error_detection_auroc,4,4,4,0,1.0,0.785897,0.681809,0.104088,0.104088,0.092714,0.118811,,,
overall,U+E2 - U,U+E2 - U,ok,review_lift,4,4,4,0,1.0,2.264725,1.710724,0.554001,0.554001,0.355885,0.78356,,,
overall,U+E2 - U,U+E2 - U,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.453008,0.342105,0.110902,0.110902,0.071429,0.156767,,,
overall,U+E2 - U,U+E2 - U,ok,retained_accuracy_gain_vs_residual,4,4,4,0,1.0,0.041373,0.023368,0.018005,0.018005,0.01125,0.029202,,,
