scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.0,0.343738,0.542699,-0.198961,-0.198961,-0.252236,-0.176229,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.0,0.780756,0.895195,-0.114439,-0.114439,-0.122282,-0.104817,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,4,4,4,0,0.0,2.075944,3.566209,-1.490265,-1.490265,-1.773458,-1.323699,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.0,0.415414,0.713346,-0.297932,-0.297932,-0.351786,-0.264849,,,
overall,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.0,0.034814,0.082465,-0.047651,-0.047651,-0.055716,-0.039235,,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.0,0.343738,0.542699,-0.198961,-0.198961,-0.252236,-0.176229,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.0,0.780756,0.895195,-0.114439,-0.114439,-0.122282,-0.104817,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,4,4,4,0,0.0,2.075944,3.566209,-1.490265,-1.490265,-1.773458,-1.323699,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.0,0.415414,0.713346,-0.297932,-0.297932,-0.351786,-0.264849,drug,,
grouping,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.0,0.034814,0.082465,-0.047651,-0.047651,-0.055716,-0.039235,drug,,
dataset,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.0,0.343738,0.542699,-0.198961,-0.198961,-0.252236,-0.176229,,biosnap,
dataset,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.0,0.780756,0.895195,-0.114439,-0.114439,-0.122282,-0.104817,,biosnap,
dataset,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,4,4,4,0,0.0,2.075944,3.566209,-1.490265,-1.490265,-1.773458,-1.323699,,biosnap,
dataset,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.0,0.415414,0.713346,-0.297932,-0.297932,-0.351786,-0.264849,,biosnap,
dataset,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.0,0.034814,0.082465,-0.047651,-0.047651,-0.055716,-0.039235,,biosnap,
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.0,0.343738,0.542699,-0.198961,-0.198961,-0.252236,-0.176229,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.0,0.780756,0.895195,-0.114439,-0.114439,-0.122282,-0.104817,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_lift,4,4,4,0,0.0,2.075944,3.566209,-1.490265,-1.490265,-1.773458,-1.323699,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.0,0.415414,0.713346,-0.297932,-0.297932,-0.351786,-0.264849,,,PACE
model,v2_selected - formal_selected,v2_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.0,0.034814,0.082465,-0.047651,-0.047651,-0.055716,-0.039235,,,PACE
