transfer_type,held_out_domain,model,dataset,test_run,group_axis,transferred_profile,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_4,drug,uncertainty_support,0.0831405,0.08230175,0.03538975,0.02060925,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_4,target,prior,0.04609625,0.04015225,0.0175325,0.010065,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_5,drug,uncertainty_support,0.16771475,0.1659455,0.15178575,0.041269,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_5,target,prior,-0.077412,-0.11822475,-0.10267875,-0.0293195,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_6,drug,uncertainty_support,0.34798275,0.209625,0.28069025,0.0526265,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_6,target,prior,0.04322175,0.0287265,0.036445,0.00732325,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_7,drug,uncertainty_support,0.39764175,0.35842475,0.254729,0.0892865,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_7,target,prior,0.07351625,0.1017115,0.073035,0.02528275,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_8,drug,uncertainty_support,0.6291665,,,,,,,
leave_one_dataset_out,bindingdb,DrugBAN,bindingdb,seed_8,target,prior,-0.0375005,,,,,,,
leave_one_dataset_out,bindingdb,PACE,bindingdb,seed_4,drug,uncertainty_support,0.20610725,0.22884625,0.21747975,0.05714725,,,,
leave_one_dataset_out,bindingdb,PACE,bindingdb,seed_4,target,prior,0.050868,0.00931375,0.010569,0.00235525,,,,
leave_one_dataset_out,bindingdb,PACE,bindingdb,seed_5,drug,uncertainty_support,0.51694625,0.1862045,0.26126125,0.0471015,,,,
