model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,uncertainty_error_detection_auprc,uncertainty_review_error_rate,uncertainty_combined_recall_of_candidate_errors,uncertainty_retained_accuracy_gain_vs_residual,uncertainty_deduplicated_error_detection_auprc,uncertainty_deduplicated_review_error_rate,uncertainty_deduplicated_combined_recall_of_candidate_errors,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,transfer_type,held_out_domain,transferred_profile,delta_error_detection_auprc_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,193,36.0,0.186528,0.598195,0.298772,39,7.0,0.179487,0.962251,0.194444,0.292683,0.811688,-0.001783,,,,,,,,,,,,,,0.212465,0.179487,0.292683,-0.001783,,,,,leave_one_dataset_out,bindingdb,prior,0.086307,,0.0,,0.0,,0.0,
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,172,31.0,0.180233,0.610387,0.297879,34,5.0,0.147059,0.815939,0.16129,0.365854,0.811594,-0.008173,,,,,,,,,,,,,,0.197782,0.176471,0.390244,-0.000927,,,,,leave_one_dataset_out,bindingdb,prior,0.100097,,-0.029412,,-0.02439,,-0.007246,
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,85,13.0,0.152941,0.547009,0.251121,17,4.0,0.235294,1.538462,0.307692,0.4,0.867647,0.020588,,,,,,,,,,,,,,0.208258,0.235294,0.4,0.020588,,,,,leave_one_dataset_out,bindingdb,prior,0.042863,,0.0,,0.0,,0.0,
PACE,bindingdb,seed_4,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,75,10.0,0.133333,0.535385,0.198334,15,3.0,0.2,1.5,0.3,0.533333,0.883333,0.016667,,,,,,,,,,,,,,0.224129,0.133333,0.466667,0.0,,,,,leave_one_dataset_out,bindingdb,prior,-0.025795,,0.066667,,0.066666,,0.016667,
PACE,bindingdb,seed_5,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_support_probability,168,35.0,0.208333,0.584318,0.236975,34,6.0,0.176471,0.847059,0.171429,0.216216,0.783582,-0.008085,,,,,,,,,,,,,,0.225594,0.205882,0.243243,-0.000622,,,,,leave_one_dataset_out,bindingdb,prior,0.011381,,-0.029411,,-0.027027,,-0.007463,
PACE,bindingdb,seed_5,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_support_probability,150,33.0,0.22,0.603471,0.272284,30,10.0,0.333333,1.515152,0.30303,0.378378,0.808333,0.028333,,,,,,,,,,,,,,0.291475,0.3,0.351351,0.02,,,,,leave_one_dataset_out,bindingdb,prior,-0.019191,,0.033333,,0.027027,,0.008333,
PACE,bindingdb,seed_5,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,34,2.0,0.058824,0.765625,0.1625,7,0.0,0.0,0.0,0.0,0.333333,0.925926,-0.015251,,,,,,,,,,,,,,0.222222,0.142857,0.666667,0.021786,,,,,leave_one_dataset_out,bindingdb,prior,-0.059722,,-0.142857,,-0.333334,,-0.037037,
PACE,bindingdb,seed_5,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,30,1.0,0.033333,0.724138,0.111111,6,0.0,0.0,0.0,0.0,0.666667,0.958333,-0.008333,,,,,,,,,,,,,,0.071429,0.0,0.666667,-0.008333,,,,,leave_one_dataset_out,bindingdb,prior,0.039682,,0.0,,0.0,,0.0,
PACE,bindingdb,seed_6,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_support_probability,48,6.0,0.125,0.666667,0.281445,10,3.0,0.3,2.4,0.5,0.5,0.921053,0.046053,,,,,,,,,,,,,,0.370213,0.3,0.5,0.046053,,,,,leave_one_dataset_out,bindingdb,prior,-0.088768,,0.0,,0.0,,0.0,
PACE,bindingdb,seed_6,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_support_probability,42,4.0,0.095238,0.677632,0.233333,8,2.0,0.25,2.625,0.5,0.666667,0.941176,0.036415,,,,,,,,,,,,,,0.220429,0.125,0.5,0.007003,,,,,leave_one_dataset_out,bindingdb,prior,0.012904,,0.125,,0.166667,,0.029412,
PACE,bindingdb,seed_6,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,4,0.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
PACE,bindingdb,seed_6,target,base,0.9,0.2,0.2,prior,True,1,insufficient_residual_n,,0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
PACE,bindingdb,seed_7,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_support_probability,68,16.0,0.235294,0.765625,0.579205,14,8.0,0.571429,2.428571,0.5,0.578947,0.851852,0.087146,,,,,,,,,,,,,,0.552033,0.571429,0.578947,0.087146,,,,,leave_one_dataset_out,bindingdb,prior,0.027172,,0.0,,0.0,,0.0,
PACE,bindingdb,seed_7,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_support_probability,61,13.0,0.213115,0.764423,0.540665,12,6.0,0.5,2.346154,0.461538,0.631579,0.857143,0.070258,,,,,,,,,,,,,,0.587148,0.583333,0.684211,0.090666,,,,,leave_one_dataset_out,bindingdb,prior,-0.046483,,-0.083333,,-0.052632,,-0.020408,
PACE,bindingdb,seed_7,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,11,0.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
PACE,bindingdb,seed_7,target,base,0.9,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,10,0.0,0.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave_one_dataset_out,bindingdb,prior,,,,,,,,
PACE,bindingdb,seed_8,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,167,37.0,0.221557,0.619751,0.343817,33,11.0,0.333333,1.504505,0.297297,0.35,0.80597,0.027527,,,,,,,,,,,,,,0.408853,0.393939,0.4,0.042452,,,,,leave_one_dataset_out,bindingdb,prior,-0.065036,,-0.060606,,-0.05,,-0.014925,
PACE,bindingdb,seed_8,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,148,28.0,0.189189,0.588095,0.254661,30,7.0,0.233333,1.233333,0.25,0.475,0.822034,0.011223,,,,,,,,,,,,,,0.24702,0.233333,0.475,0.011223,,,,,leave_one_dataset_out,bindingdb,prior,0.007641,,0.0,,0.0,,0.0,
PACE,bindingdb,seed_8,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,38,3.0,0.078947,0.609524,0.163492,8,1.0,0.125,1.583333,0.333333,0.6,0.933333,0.012281,,,,,,,,,,,,,,0.203175,0.125,0.6,0.012281,,,,,leave_one_dataset_out,bindingdb,prior,-0.039683,,0.0,,0.0,,0.0,
