transfer_type,held_out_domain,group_axis,transferred_profile,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
leave_one_dataset_out,bindingdb,drug,uncertainty_support,delta_error_detection_auprc_vs_uncertainty,0.246120326923,0.138682943056,0.358113866667,13,0.923076923077
leave_one_dataset_out,bindingdb,drug,uncertainty_support,delta_review_error_rate_vs_uncertainty,0.168730229167,0.089136376667,0.244967110937,12,0.916666666667
leave_one_dataset_out,bindingdb,drug,uncertainty_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.1553,0.096335120521,0.210711375,12,0.916666666667
leave_one_dataset_out,bindingdb,drug,uncertainty_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.042231354167,0.022535280104,0.061018416667,12,0.916666666667
leave_one_dataset_out,bindingdb,target,prior,delta_error_detection_auprc_vs_uncertainty,0.023689673077,-0.01440373,0.09524009,13,0.538461538462
leave_one_dataset_out,bindingdb,target,prior,delta_review_error_rate_vs_uncertainty,0.026217083333,-0.0167213675,0.08208775,12,0.75
leave_one_dataset_out,bindingdb,target,prior,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.015626270833,-0.019667410833,0.051130736111,12,0.75
leave_one_dataset_out,bindingdb,target,prior,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.006493333333,-0.0042055625,0.020536513889,12,0.75
leave_one_dataset_out,biosnap,drug,uncertainty_support,delta_error_detection_auprc_vs_uncertainty,0.23121255,0.16502069875,0.29757475,15,0.933333333333
leave_one_dataset_out,biosnap,drug,uncertainty_support,delta_review_error_rate_vs_uncertainty,0.161534766667,0.089872487083,0.2537024825,15,1.0
leave_one_dataset_out,biosnap,drug,uncertainty_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.196329816667,0.152440125417,0.246441559583,15,1.0
leave_one_dataset_out,biosnap,drug,uncertainty_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.040276816667,0.02238047875,0.062996284167,15,1.0
leave_one_dataset_out,biosnap,target,uncertainty_prior_support,delta_error_detection_auprc_vs_uncertainty,0.21630285,0.152699196667,0.280712045833,15,1.0
leave_one_dataset_out,biosnap,target,uncertainty_prior_support,delta_review_error_rate_vs_uncertainty,0.161250983333,0.086459057917,0.2605226775,15,1.0
leave_one_dataset_out,biosnap,target,uncertainty_prior_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.19762775,0.150743095417,0.248967497083,15,1.0
leave_one_dataset_out,biosnap,target,uncertainty_prior_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.040226916667,0.021486640833,0.065061583333,15,1.0
leave_one_dataset_out,human,drug,uncertainty_support,delta_error_detection_auprc_vs_uncertainty,0.048692814103,-0.058145676528,0.16904462625,13,0.615384615385
leave_one_dataset_out,human,drug,uncertainty_support,delta_review_error_rate_vs_uncertainty,0.021858423077,-0.043556115417,0.089312185,13,0.615384615385
leave_one_dataset_out,human,drug,uncertainty_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.018545820513,-0.03705017,0.076856133194,13,0.538461538462
leave_one_dataset_out,human,drug,uncertainty_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.005645307692,-0.010218288889,0.022631277083,13,0.615384615385
leave_one_dataset_out,human,drug,uncertainty_support,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.012532833333,-0.104489497778,0.144239660556,13,0.461538461538
leave_one_dataset_out,human,drug,uncertainty_support,delta_deduplicated_review_error_rate_vs_uncertainty,0.013110275641,-0.0689776,0.102287005556,13,0.461538461538
leave_one_dataset_out,human,drug,uncertainty_support,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.008378205128,-0.052989655556,0.072218295417,13,0.461538461538
leave_one_dataset_out,human,drug,uncertainty_support,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.003254115385,-0.017266522222,0.024937595833,13,0.461538461538
leave_one_dataset_out,human,target,prior,delta_error_detection_auprc_vs_uncertainty,0.006214673077,-0.056016024444,0.1060537275,13,0.307692307692
leave_one_dataset_out,human,target,prior,delta_review_error_rate_vs_uncertainty,-0.017650730769,-0.12679505125,0.082521084583,13,0.230769230769
leave_one_dataset_out,human,target,prior,delta_combined_recall_of_candidate_errors_vs_uncertainty,-0.035378115385,-0.165988970972,0.06163795,13,0.230769230769
leave_one_dataset_out,human,target,prior,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,-0.004579096154,-0.032107219583,0.021160380833,13,0.230769230769
leave_one_dataset_out,human,target,prior,delta_deduplicated_error_detection_auprc_vs_uncertainty,-0.012018288462,-0.075815496111,0.083584255,13,0.307692307692
leave_one_dataset_out,human,target,prior,delta_deduplicated_review_error_rate_vs_uncertainty,-0.014724923077,-0.122062916667,0.10360942875,13,0.230769230769
leave_one_dataset_out,human,target,prior,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,-0.032600846154,-0.155952416667,0.0632235,13,0.230769230769
leave_one_dataset_out,human,target,prior,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,-0.003714115385,-0.030540980833,0.025591315,13,0.230769230769
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_error_detection_auprc_vs_uncertainty,0.263447846154,0.100872166667,0.365785272917,13,0.923076923077
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_review_error_rate_vs_uncertainty,0.176092729167,0.007828305556,0.270266675,12,0.833333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.1470411875,0.003968166667,0.222182925625,12,0.833333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.0440205625,0.002317583333,0.067050109479,12,0.833333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_error_detection_auprc_vs_uncertainty,0.09021975,-0.0663025,0.18935025,3,0.666666666667
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_review_error_rate_vs_uncertainty,0.033101833333,-0.01875,0.1180555,3,0.333333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.01785725,-0.01785725,0.071429,3,0.333333333333
leave_one_model_out,DrugBAN,drug,uncertainty_support,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.0078875,-0.005476,0.0291385,3,0.333333333333
