model,dataset,test_run,group_axis,delta_validation_auprc,finite_policy_n_delta_validation_auprc,delta_validation_fold_mean_auprc,finite_policy_n_delta_validation_fold_mean_auprc,delta_test_auprc,finite_policy_n_delta_test_auprc,delta_test_deduplicated_auprc,finite_policy_n_delta_test_deduplicated_auprc,validation_positive,test_positive,same_direction,both_positive,dedup_minus_ordinary_delta
DrugBAN,bindingdb,seed_4,drug,0.255323521375,4,0.250445526636,4,0.269830383843,4,,0,True,True,1.0,1.0,
DrugBAN,bindingdb,seed_4,target,-0.068004239649,4,-0.085628950605,4,0.332987794168,4,,0,False,True,0.0,0.0,
DrugBAN,bindingdb,seed_5,drug,0.287875433636,4,0.265723838583,4,0.295784345122,4,,0,True,True,1.0,1.0,
DrugBAN,bindingdb,seed_5,target,-0.058681717968,4,-0.020708390142,4,0.534921564642,4,,0,False,True,0.0,0.0,
DrugBAN,bindingdb,seed_6,drug,-0.024277290494,4,0.018296888672,4,0.069144428369,4,,0,False,True,0.0,0.0,
DrugBAN,bindingdb,seed_6,target,-0.045234854244,1,0.2481771473,1,0.431442088167,4,,0,False,True,0.0,0.0,
DrugBAN,bindingdb,seed_7,drug,0.145785669557,4,0.131337060955,4,0.154506354014,4,,0,True,True,1.0,1.0,
DrugBAN,bindingdb,seed_7,target,-0.000833971476,4,0.037264644624,4,0.386612285269,4,,0,False,True,0.0,0.0,
DrugBAN,bindingdb,seed_8,drug,-0.310097127567,2,-0.413150236703,2,-0.375,2,,0,False,False,1.0,0.0,
DrugBAN,bindingdb,seed_8,target,-0.085791942819,2,-0.173646281581,2,0.504166666666,2,,0,False,True,0.0,0.0,
DrugBAN,biosnap,seed_4,drug,-0.061627541848,4,-0.073419599407,4,-0.098919981403,4,,0,False,False,1.0,0.0,
DrugBAN,biosnap,seed_4,target,0.033574575571,4,0.042163940656,4,0.067187148549,4,,0,True,True,1.0,1.0,
DrugBAN,biosnap,seed_5,drug,-0.032006536455,4,-0.039522585875,4,0.008738729468,4,,0,False,True,0.0,0.0,
DrugBAN,biosnap,seed_5,target,-0.079950521722,4,-0.09406234611,4,0.264543824613,4,,0,False,True,0.0,0.0,
DrugBAN,biosnap,seed_6,drug,-0.044501339658,4,-0.041727504426,4,-0.018234150561,4,,0,False,False,1.0,0.0,
DrugBAN,biosnap,seed_6,target,0.023552364707,4,0.024678131624,4,0.164071750363,4,,0,True,True,1.0,1.0,
DrugBAN,biosnap,seed_7,drug,-0.056007197458,4,-0.072482137947,4,0.04586616272,4,,0,False,True,0.0,0.0,
DrugBAN,biosnap,seed_7,target,-0.068158032584,4,-0.073715865287,4,0.291634109612,4,,0,False,True,0.0,0.0,
DrugBAN,biosnap,seed_8,drug,-0.000750826412,4,0.006981807542,4,0.045880217366,4,,0,False,True,0.0,0.0,
DrugBAN,biosnap,seed_8,target,0.051125601492,4,0.055114478529,4,0.332803745884,4,,0,True,True,1.0,1.0,
DrugBAN,human,seed_4,drug,,0,,0,,0,,0,,,,,
DrugBAN,human,seed_4,target,,0,,0,,0,,0,,,,,
DrugBAN,human,seed_5,drug,,0,,0,-0.137353635212,2,-0.122818175579,2,,False,,,0.014535459633
DrugBAN,human,seed_5,target,,0,,0,-0.137353635212,2,-0.122818175579,2,,False,,,0.014535459633
DrugBAN,human,seed_6,drug,,0,,0,,0,,0,,,,,
DrugBAN,human,seed_6,target,,0,,0,,0,,0,,,,,
DrugBAN,human,seed_7,drug,,0,,0,-0.101960784314,2,-0.102124935996,2,,False,,,-0.000164151682
DrugBAN,human,seed_7,target,-0.366666666667,1,-0.583333333334,1,-0.101960784314,2,-0.102124935996,2,False,False,1.0,0.0,-0.000164151682
DrugBAN,human,seed_8,drug,-0.047065423826,2,-0.154589752568,2,-0.132431961167,4,-0.136956652869,4,False,False,1.0,0.0,-0.004524691703
DrugBAN,human,seed_8,target,-0.480661881977,1,-0.684523809524,1,-0.232711197928,4,-0.235342624259,4,False,False,1.0,0.0,-0.002631426331
PACE,bindingdb,seed_4,drug,0.109978865212,4,0.116687237346,4,0.172108068965,4,,0,True,True,1.0,1.0,
PACE,bindingdb,seed_4,target,-0.076125626521,4,-0.030728810168,4,0.355199755458,4,,0,False,True,0.0,0.0,
PACE,bindingdb,seed_5,drug,0.013370200949,4,-0.016071521488,4,0.030412162248,4,,0,True,True,1.0,1.0,
PACE,bindingdb,seed_5,target,-0.153738907684,4,-0.124661992226,4,0.415566062575,4,,0,False,True,0.0,0.0,
PACE,bindingdb,seed_6,drug,0.263102354968,2,0.193416068774,2,-0.049401548744,2,,0,True,False,0.0,0.0,
PACE,bindingdb,seed_6,target,0.005407132613,2,0.196804841556,2,0.196200803554,2,,0,True,True,1.0,1.0,
PACE,bindingdb,seed_7,drug,-0.261966906886,3,-0.311017685189,3,0.023507073968,2,,0,False,True,0.0,0.0,
