model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,selected_profile,pause_validation_auprc,pause_validation_fold_mean_auprc,hgb_validation_status,hgb_validation_auprc,hgb_validation_fold_mean_auprc,hgb_test_status,hgb_test_auprc,hgb_test_deduplicated_auprc,pause_test_auprc,pause_test_deduplicated_auprc,delta_validation_auprc,delta_validation_fold_mean_auprc,delta_test_auprc,delta_test_deduplicated_auprc
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,uncertainty_prior_support,0.585748055544,0.593600807163,complete,0.824271720712,0.826872111423,complete,0.812980503435,,0.634334974154,,0.238523665168,0.23327130426,0.178645529281,
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,prior,0.522808168915,0.532149415315,complete,0.836666378271,0.844901598196,complete,0.867555408086,,0.506288328042,,0.313858209356,0.312752182881,0.361267080044,
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,prior,0.521840402987,0.540584419248,complete,0.762874049016,0.760446728388,complete,0.870303565205,,0.550363644008,,0.241033646029,0.21986230914,0.319939921197,
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,uncertainty_prior_support,0.547392411865,0.552203667764,complete,0.775270976812,0.788099978029,complete,0.797075519319,,0.577606514468,,0.227878564947,0.235896310265,0.219469004851,
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,uncertainty,0.467318062819,0.512386239003,complete,0.430632538944,0.43002254784,complete,0.876427580773,,0.502836743211,,-0.036685523875,-0.082363691163,0.373590837562,
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,prior,0.547438774628,0.53799878836,complete,0.448625752303,0.477870881307,complete,0.873385567482,,0.525680749821,,-0.098813022325,-0.060127907053,0.347704817661,
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,prior,0.618116925837,0.625163863069,complete,0.425152105087,0.426542238321,complete,0.831117275879,,0.530989764211,,-0.19296482075,-0.198621624748,0.300127511668,
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,uncertainty,0.332514697331,0.375864859835,complete,0.388961105686,0.374462280377,complete,0.770807993362,,0.460279983579,,0.056446408355,-0.001402579458,0.310528009783,
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.1,prior,0.395387878282,0.416266355165,complete,0.808457039758,0.810822617631,complete,0.79463839014,,0.427152683667,,0.413069161476,0.394556262466,0.367485706473,
DrugBAN,bindingdb,seed_5,drug,base,0.8,0.2,uncertainty_support,0.478050126557,0.488358379711,complete,0.786233878773,0.792725279478,complete,0.808667871268,,0.44340201175,,0.308183752216,0.304366899767,0.365265859518,
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.1,uncertainty_support,0.404886503064,0.438012241076,complete,0.555349408803,0.565149519189,complete,0.562546262925,,0.442267522225,,0.150462905739,0.127137278113,0.1202787407,
DrugBAN,bindingdb,seed_5,drug,base,0.9,0.2,uncertainty_support,0.361645058003,0.424251896378,complete,0.641430973117,0.661086810362,complete,0.702624836677,,0.372517762879,,0.279785915114,0.236834913984,0.330107073798,
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,prior,0.528773932511,0.498645317407,complete,0.216151727197,0.328281653593,complete,0.787955626828,,0.206916711096,,-0.312622205314,-0.170363663814,0.581038915732,
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,prior,0.51218220795,0.573296149168,complete,0.365664774291,0.41687017505,complete,0.762949604094,,0.194769498312,,-0.146517433659,-0.156425974118,0.568180105782,
DrugBAN,bindingdb,seed_5,target,base,0.9,0.1,uncertainty,0.158115567747,0.379416151516,complete,0.242595953486,0.425181279169,complete,0.761763225674,,0.265650668014,,0.084480385739,0.045765127653,0.49611255766,
DrugBAN,bindingdb,seed_5,target,base,0.9,0.2,uncertainty,0.168397446916,0.227515517297,complete,0.308329828278,0.425706467006,complete,0.708071968982,,0.213717289589,,0.139932381362,0.198190949709,0.494354679393,
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.1,uncertainty_support,0.389221988426,0.369953908912,complete,0.473511726499,0.49916952573,complete,0.684761082704,,0.551615694034,,0.084289738073,0.129215616818,0.13314538867,
DrugBAN,bindingdb,seed_6,drug,base,0.8,0.2,uncertainty_support,0.235355557931,0.269669494077,complete,0.321449614487,0.34345483039,complete,0.644506446422,,0.483839745853,,0.086094056556,0.073785336313,0.160666700569,
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.1,uncertainty_support,0.445693333578,0.427711134379,complete,0.231988916666,0.290129300722,complete,0.430976318673,,0.452516333249,,-0.213704416912,-0.137581833657,-0.021540014576,
DrugBAN,bindingdb,seed_6,drug,base,0.9,0.2,uncertainty_support,0.344786476772,0.347902218562,complete,0.290997937078,0.355670653774,complete,0.484020739372,,0.479715100559,,-0.053788539694,0.007768435212,0.004305638813,
DrugBAN,bindingdb,seed_6,target,base,0.8,0.1,uncertainty,0.173923917711,0.197797164689,complete,0.128689063467,0.445974311989,complete,0.790214624082,,0.11185337302,,-0.045234854244,0.2481771473,0.678361251062,
DrugBAN,bindingdb,seed_6,target,base,0.8,0.2,uncertainty,0.189574494459,,group_cv_unavailable,,,complete,0.611608487866,,0.136377152008,,,,0.475231335858,
DrugBAN,bindingdb,seed_6,target,base,0.9,0.1,uncertainty,0.230907434827,,group_cv_unavailable,,,complete,0.494772414724,,0.150489413546,,,,0.344283001178,
DrugBAN,bindingdb,seed_6,target,base,0.9,0.2,uncertainty,0.191148729758,,group_cv_unavailable,,,complete,0.404929509532,,0.177036744961,,,,0.227892764571,
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.1,uncertainty_prior_support,0.652243009217,0.653936398244,complete,0.803779599757,0.795668584323,complete,0.885854140055,,0.632930253253,,0.15153659054,0.141732186079,0.252923886802,
DrugBAN,bindingdb,seed_7,drug,base,0.8,0.2,uncertainty_support,0.604271207245,0.609698952982,complete,0.786111750555,0.801626052461,complete,0.889442511485,,0.756388131917,,0.18184054331,0.191927099479,0.133054379568,
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.1,uncertainty_support,0.586488171129,0.627845246176,complete,0.734592004358,0.741849467319,complete,0.894317200499,,0.784503945001,,0.148103833229,0.114004221143,0.109813255498,
DrugBAN,bindingdb,seed_7,drug,base,0.9,0.2,uncertainty_support,0.593536963125,0.623314336502,complete,0.695198674275,0.700999073619,complete,0.846299477067,,0.724065582881,,0.10166171115,0.077684737117,0.122233894186,
DrugBAN,bindingdb,seed_7,target,base,0.8,0.1,uncertainty,0.300683456424,0.415285680277,complete,0.43221446557,0.535749190876,complete,0.645654445263,,0.325718958553,,0.131531009146,0.120463510599,0.31993548671,
DrugBAN,bindingdb,seed_7,target,base,0.8,0.2,uncertainty,0.301665394615,0.379610112806,complete,0.134635229883,0.300592010554,complete,0.601869363539,,0.272491767345,,-0.167030164732,-0.079018102252,0.329377596194,
DrugBAN,bindingdb,seed_7,target,base,0.9,0.1,uncertainty,0.248793328605,0.461774008788,complete,0.374632910545,0.512483598459,complete,0.854298126422,,0.38174625305,,0.12583958194,0.050709589671,0.472551873372,
DrugBAN,bindingdb,seed_7,target,base,0.9,0.2,uncertainty,0.34232423661,0.354207665081,complete,0.248647924353,0.41111124556,complete,0.773541260555,,0.348957075754,,-0.093676312257,0.056903580479,0.424584184801,
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.1,uncertainty_support,0.449548006676,0.629732270367,complete,0.292914438503,0.291316526611,complete,0.666666666667,,1.0,,-0.156633568173,-0.338415743756,-0.333333333333,
DrugBAN,bindingdb,seed_8,drug,base,0.8,0.2,uncertainty_support,0.72886680941,0.755858585859,complete,0.265306122449,0.267973856209,complete,0.583333333333,,1.0,,-0.463560686961,-0.48788472965,-0.416666666667,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,uncertainty,0.386213323713,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,uncertainty,0.502182539683,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,uncertainty,0.240267171418,0.261690919375,complete,0.259259259259,0.286819172113,complete,0.833333333333,,0.325,,0.018992087841,0.025128252738,0.508333333333,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,prior,0.476290259192,0.6933694325,complete,0.285714285714,0.320948616601,complete,0.833333333333,,0.333333333333,,-0.190575973478,-0.372420815899,0.5,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,uncertainty,0.386213323713,0.488888888889,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,uncertainty,0.502182539683,,insufficient_residual_n,,,insufficient_residual_n,,,,,,,,
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,uncertainty_support,0.544812099121,0.560351507467,complete,0.481496216713,0.504607160284,complete,0.470060300279,,0.562777911914,,-0.063315882408,-0.055744347183,-0.092717611635,
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,uncertainty_support,0.551928175597,0.559097235279,complete,0.454553577459,0.470058592705,complete,0.481760571679,,0.63456424428,,-0.097374598138,-0.089038642574,-0.152803672601,
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,uncertainty_support,0.566364472273,0.60876181836,complete,0.454611154197,0.480326192665,complete,0.527756338983,,0.538068848229,,-0.111753318076,-0.128435625695,-0.010312509246,
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,uncertainty_support,0.4946362147,0.581935085035,complete,0.520569845931,0.561475302858,complete,0.422408557626,,0.562254689755,,0.025933631231,-0.020459782177,-0.139846132129,
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,uncertainty_support,0.394935475054,0.462538651402,complete,0.381566041306,0.466173586452,complete,0.473018650004,,0.518819687995,,-0.013369433748,0.00363493505,-0.045801037991,
