group_axis,held_out_type,held_out,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
drug,dataset,bindingdb,delta_validation_auprc,-0.186601658086,-0.424986077031,-0.024500939221,23,0.130434782609
drug,dataset,bindingdb,delta_test_auprc,-0.027805321144,-0.115186994536,0.048070733413,28,0.464285714286
target,dataset,bindingdb,delta_validation_auprc,-0.198094558835,-0.396807761552,-0.078695090774,26,0.115384615385
target,dataset,bindingdb,delta_test_auprc,0.040599261355,-0.12025390473,0.172872753275,28,0.571428571429
drug,dataset,biosnap,delta_validation_auprc,-0.140724327172,-0.40807163756,0.076446724763,21,0.47619047619
drug,dataset,biosnap,delta_test_auprc,-0.010893665288,-0.113756731321,0.115360194858,26,0.5
target,dataset,biosnap,delta_validation_auprc,-0.224878441882,-0.401387709981,-0.095138451772,24,0.041666666667
target,dataset,biosnap,delta_test_auprc,0.076718527592,-0.114078377899,0.271892557787,26,0.5
drug,dataset,human,delta_validation_auprc,0.023734099256,-0.0281982492,0.099733015908,28,0.464285714286
drug,dataset,human,delta_test_auprc,0.075960512362,0.01787958497,0.154721181232,28,0.785714285714
target,dataset,human,delta_validation_auprc,-0.049635853152,-0.075866229389,-0.022792896189,28,0.142857142857
target,dataset,human,delta_test_auprc,0.258228349174,0.191105877757,0.340569022059,28,0.964285714286
drug,model,DrugBAN,delta_validation_auprc,-0.136155938182,-0.411361995403,0.055215936822,25,0.4
drug,model,DrugBAN,delta_test_auprc,0.018096604288,-0.073464860096,0.132137268784,28,0.607142857143
target,model,DrugBAN,delta_validation_auprc,-0.178627452749,-0.342956517471,-0.049939301633,27,0.037037037037
target,model,DrugBAN,delta_test_auprc,0.083663644487,-0.059729185727,0.235636585923,28,0.642857142857
drug,model,PACE,delta_validation_auprc,-0.075366424126,-0.287200830579,0.07588014711,23,0.391304347826
drug,model,PACE,delta_test_auprc,0.016861119608,-0.091256078709,0.133605278092,26,0.576923076923
target,model,PACE,delta_validation_auprc,-0.127887271667,-0.296838315247,-0.028040619457,25,0.12
target,model,PACE,delta_test_auprc,0.14696210962,-0.053138117895,0.310197827819,26,0.730769230769
drug,model,TAPB,delta_validation_auprc,-0.060215334082,-0.298511217737,0.047767818306,24,0.291666666667
drug,model,TAPB,delta_test_auprc,0.00428628667,-0.078058245858,0.071940124003,28,0.571428571429
target,model,TAPB,delta_validation_auprc,-0.150662384894,-0.361032777971,-0.044156275369,26,0.153846153846
target,model,TAPB,delta_test_auprc,0.14993778273,-0.044433705912,0.300210779561,28,0.678571428571
