group_axis,stratum_type,stratum,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
drug,model,DrugBAN,delta_validation_auprc,0.010241030986,-0.065606628241,0.100973898012,11,0.272727272727
drug,model,DrugBAN,delta_test_auprc,0.001988469865,-0.123368607559,0.117845605463,13,0.538461538462
drug,model,PACE,delta_validation_auprc,-0.119832258371,-0.532816665475,0.068700941368,13,0.307692307692
drug,model,PACE,delta_test_auprc,0.006277727901,-0.089289191561,0.081164791951,15,0.6
drug,model,TAPB,delta_validation_auprc,-0.153839924645,-0.530709651246,0.123779785219,12,0.5
drug,model,TAPB,delta_test_auprc,0.03173376935,-0.140764124566,0.215353526562,13,0.615384615385
target,model,DrugBAN,delta_validation_auprc,-0.095477607278,-0.40466507177,-0.004976946882,12,0.25
target,model,DrugBAN,delta_test_auprc,0.218334258498,-0.145544255519,0.42947601044,13,0.769230769231
target,model,PACE,delta_validation_auprc,-0.19796362285,-0.470968938115,-0.055321008525,14,0.071428571429
target,model,PACE,delta_test_auprc,0.090660837065,-0.12329968018,0.252495642791,15,0.6
target,model,TAPB,delta_validation_auprc,-0.157803884948,-0.334160533624,-0.026420953187,13,0.0
target,model,TAPB,delta_test_auprc,0.075589960742,-0.165556144614,0.267131980831,13,0.692307692308
drug,dataset,bindingdb,delta_validation_auprc,0.076968540174,-0.019596016298,0.167909275186,13,0.769230769231
drug,dataset,bindingdb,delta_test_auprc,0.10085415541,0.001719473236,0.22403872924,13,0.846153846154
drug,dataset,biosnap,delta_validation_auprc,-0.022402416206,-0.042077622249,0.003409079701,15,0.2
drug,dataset,biosnap,delta_test_auprc,0.05438602172,-0.004703288952,0.116529116251,15,0.733333333333
drug,dataset,human,delta_validation_auprc,-0.49447523661,-0.656039780171,-0.047065423826,8,0.0
drug,dataset,human,delta_test_auprc,-0.122641485986,-0.185135034102,-0.068168508089,13,0.153846153846
target,dataset,bindingdb,delta_validation_auprc,-0.062939537066,-0.099391801111,-0.027284538366,13,0.076923076923
target,dataset,bindingdb,delta_test_auprc,0.311088314475,0.186799992468,0.431713760565,13,0.923076923077
target,dataset,biosnap,delta_validation_auprc,-0.03810599376,-0.067796093214,-0.002642158109,15,0.2
target,dataset,biosnap,delta_test_auprc,0.212416379247,0.165437470198,0.257656385653,15,1.0
target,dataset,human,delta_validation_auprc,-0.416260783936,-0.535208701391,-0.322311341622,11,0.0
target,dataset,human,delta_test_auprc,-0.15765125929,-0.218420452896,-0.102813380113,13,0.076923076923
drug,test_run,seed_4,delta_validation_auprc,-0.058347289941,-0.280370228726,0.109134550685,6,0.333333333333
drug,test_run,seed_4,delta_test_auprc,-0.034753916883,-0.183203068503,0.113795619446,7,0.428571428571
drug,test_run,seed_5,delta_validation_auprc,-0.095694395587,-0.360221414742,0.109929708607,8,0.5
drug,test_run,seed_5,delta_test_auprc,0.061767818132,-0.04474720219,0.1616643774,9,0.777777777778
drug,test_run,seed_6,delta_validation_auprc,-0.182912374155,-0.460070139417,0.067519875639,7,0.285714285714
drug,test_run,seed_6,delta_test_auprc,0.01741065865,-0.058167792735,0.099796523089,7,0.428571428571
drug,test_run,seed_7,delta_validation_auprc,-0.077148258746,-0.194638900003,0.032410229513,7,0.285714285714
drug,test_run,seed_7,delta_test_auprc,0.052900338648,-0.022424548757,0.129140039532,9,0.777777777778
drug,test_run,seed_8,delta_validation_auprc,-0.044397972383,-0.157817999207,0.060527467116,8,0.375
drug,test_run,seed_8,delta_test_auprc,-0.04200617501,-0.148469843181,0.051041405322,9,0.444444444444
target,test_run,seed_4,delta_validation_auprc,-0.188166770717,-0.38738099543,-0.042557453304,7,0.142857142857
target,test_run,seed_4,delta_test_auprc,0.102315872909,-0.095151296128,0.279417279165,7,0.714285714286
target,test_run,seed_5,delta_validation_auprc,-0.185742400147,-0.352260018419,-0.057683389557,8,0.0
target,test_run,seed_5,delta_test_auprc,0.185027497221,0.030272735278,0.333619323685,9,0.666666666667
target,test_run,seed_6,delta_validation_auprc,-0.101793341425,-0.260730981477,-0.004002988487,6,0.333333333333
target,test_run,seed_6,delta_test_auprc,0.113037103169,-0.073441624466,0.29023833935,7,0.714285714286
target,test_run,seed_7,delta_validation_auprc,-0.163260941188,-0.287753362285,-0.062473973701,9,0.0
target,test_run,seed_7,delta_test_auprc,0.101638228437,-0.008971523313,0.218719596666,9,0.666666666667
target,test_run,seed_8,delta_validation_auprc,-0.120606377347,-0.229369122958,-0.035437091693,9,0.111111111111
target,test_run,seed_8,delta_test_auprc,0.121496115849,-0.025596573512,0.265495757727,9,0.666666666667
