model,dataset,test_run,group_axis,review_fraction,delta_error_detection_auroc_vs_uncertainty,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_review_lift_vs_uncertainty,delta_review_recall_of_residual_errors_vs_uncertainty,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_retained_accuracy_after_review_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,delta_deduplicated_error_detection_auroc_vs_uncertainty,delta_deduplicated_error_detection_auprc_vs_uncertainty,delta_deduplicated_review_error_rate_vs_uncertainty,delta_deduplicated_review_lift_vs_uncertainty,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,bindingdb,seed_4,drug,0.05,0.061967667497,0.069669628116,0.267361111111,0.724704259861,0.036525974026,0.028571428572,0.014193178375,0.014193178375,,,,,,,,
DrugBAN,bindingdb,seed_4,drug,0.1,0.061967667497,0.069669628116,0.08382936508,0.231296535055,0.02335996067,0.018506493506,0.009421426139,0.009421426139,,,,,,,,
DrugBAN,bindingdb,seed_4,drug,0.2,0.061967667497,0.069669628116,0.053975113982,0.14011818257,0.027959527769,0.02435064935,0.013447595021,0.013447595021,,,,,,,,
DrugBAN,bindingdb,seed_4,drug,0.3,0.061967667497,0.069669628116,0.06209828415,0.163206864537,0.049083221149,0.039935064935,0.026700285976,0.026700285976,,,,,,,,
DrugBAN,bindingdb,seed_4,target,0.05,0.016485586561,0.007468073154,0.05,0.128048780488,0.006097560976,0.004545454546,0.0025,0.0025,,,,,,,,
DrugBAN,bindingdb,seed_4,target,0.1,0.016485586561,0.007468073154,0.039682539682,0.105824505215,0.010624538064,0.008766233766,0.004428341385,0.004428341385,,,,,,,,
DrugBAN,bindingdb,seed_4,target,0.2,0.016485586561,0.007468073154,0.013888888889,0.037668350168,0.007575757576,0.006493506494,0.003496503496,0.003496503496,,,,,,,,
DrugBAN,bindingdb,seed_4,target,0.3,0.016485586561,0.007468073154,0.017857142857,0.047830951794,0.014412416852,0.012012987013,0.007700680272,0.007700680272,,,,,,,,
DrugBAN,bindingdb,seed_5,drug,0.05,0.104362180889,0.168040717182,0.311904761904,1.806534175044,0.091597108565,0.071428571429,0.016638357214,0.016638357214,,,,,,,,
DrugBAN,bindingdb,seed_5,drug,0.1,0.104362180889,0.168040717182,0.126994744386,0.69147368861,0.069417621386,0.053571428572,0.014179609691,0.014179609691,,,,,,,,
DrugBAN,bindingdb,seed_5,drug,0.2,0.104362180889,0.168040717182,0.16051064524,0.931117859856,0.185375068194,0.147321428572,0.039917560367,0.039917560367,,,,,,,,
DrugBAN,bindingdb,seed_5,drug,0.3,0.104362180889,0.168040717182,0.139043750974,0.774870182759,0.233386524822,0.183035714286,0.059894220447,0.059894220447,,,,,,,,
DrugBAN,bindingdb,seed_5,target,0.05,-0.040754229462,-0.033030736195,-0.045833333333,-0.234444899072,-0.011729405346,-0.008928571428,-0.002417062715,-0.002417062715,,,,,,,,
DrugBAN,bindingdb,seed_5,target,0.1,-0.040754229462,-0.033030736195,-0.067287784679,-0.33945415259,-0.034097108565,-0.026785714286,-0.00751039501,-0.00751039501,,,,,,,,
DrugBAN,bindingdb,seed_5,target,0.2,-0.040754229462,-0.033030736195,-0.06309650053,-0.321306418963,-0.063966175668,-0.049107142857,-0.015683865684,-0.015683865684,,,,,,,,
DrugBAN,bindingdb,seed_5,target,0.3,-0.040754229462,-0.033030736195,-0.053179055634,-0.270252247827,-0.081014729951,-0.0625,-0.022762345679,-0.022762345679,,,,,,,,
DrugBAN,bindingdb,seed_6,drug,0.05,0.208882539306,0.34798254754,0.513392857143,4.41600140056,0.223975840336,0.175191815857,0.027436285102,0.027436285102,,,,,,,,
DrugBAN,bindingdb,seed_6,drug,0.1,0.208882539306,0.34798254754,0.388002622378,3.378459285812,0.344108893558,0.262148337596,0.043973844194,0.043973844194,,,,,,,,
DrugBAN,bindingdb,seed_6,drug,0.2,0.208882539306,0.34798254754,0.209624824684,1.813829885215,0.363926820728,0.280690537084,0.052626358461,0.052626358461,,,,,,,,
DrugBAN,bindingdb,seed_6,drug,0.3,0.208882539306,0.34798254754,0.101718627396,0.888869790814,0.264548319328,0.200127877238,0.043110486652,0.043110486652,,,,,,,,
DrugBAN,bindingdb,seed_6,target,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_6,target,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_6,target,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_6,target,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_7,drug,0.05,0.216843935825,0.392243464588,0.523051948052,2.397403855834,0.122316950036,0.094052122741,0.028133837821,0.028133837821,,,,,,,,
DrugBAN,bindingdb,seed_7,drug,0.1,0.216843935825,0.392243464588,0.561677631579,2.573967220762,0.258179434564,0.200924758302,0.06262706072,0.06262706072,,,,,,,,
DrugBAN,bindingdb,seed_7,drug,0.2,0.216843935825,0.392243464588,0.346797035797,1.578280670281,0.314836981304,0.246532156368,0.086412928547,0.086412928547,,,,,,,,
DrugBAN,bindingdb,seed_7,drug,0.3,0.216843935825,0.392243464588,0.229377329689,1.043919417338,0.31304963846,0.244220260614,0.098245749656,0.098245749656,,,,,,,,
DrugBAN,bindingdb,seed_7,target,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_7,target,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_7,target,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_7,target,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,0.05,0.198717948718,0.629166666666,,,,,,,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,0.1,0.198717948718,0.629166666666,,,,,,,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,0.2,0.198717948718,0.629166666666,,,,,,,,,,,,,,
DrugBAN,bindingdb,seed_8,drug,0.3,0.198717948718,0.629166666666,,,,,,,,,,,,,,
DrugBAN,bindingdb,seed_8,target,0.05,-0.145833333334,-0.041666666666,,,,,,,,,,,,,,
DrugBAN,bindingdb,seed_8,target,0.1,-0.145833333334,-0.041666666666,,,,,,,,,,,,,,
DrugBAN,bindingdb,seed_8,target,0.2,-0.145833333334,-0.041666666666,,,,,,,,,,,,,,
DrugBAN,bindingdb,seed_8,target,0.3,-0.145833333334,-0.041666666666,,,,,,,,,,,,,,
DrugBAN,biosnap,seed_4,drug,0.05,0.179868666441,0.282186034822,0.296428571428,1.95459040959,0.096178821179,0.065378289473,0.015237939993,0.015237939993,,,,,,,,
DrugBAN,biosnap,seed_4,drug,0.1,0.179868666441,0.282186034822,0.252858252858,1.758985458985,0.176123876124,0.120476973684,0.028226757925,0.028226757925,,,,,,,,
DrugBAN,biosnap,seed_4,drug,0.2,0.179868666441,0.282186034822,0.149179197995,1.057782486937,0.211388611389,0.136101973684,0.037140412184,0.037140412184,,,,,,,,
DrugBAN,biosnap,seed_4,drug,0.3,0.179868666441,0.282186034822,0.101379447893,0.747294147484,0.224375624376,0.146792763158,0.043594731095,0.043594731095,,,,,,,,
DrugBAN,biosnap,seed_4,target,0.05,0.030202743284,0.071118020794,0.063095238095,0.250174825175,0.012737262737,0.010279605263,0.003311789512,0.003311789512,,,,,,,,
