model,dataset,test_run,group_axis,pause_normalized_action_auc,uncertainty_normalized_action_auc,delta_normalized_action_auc_vs_uncertainty
DrugBAN,bindingdb,seed_4,drug,0.411708143152,0.385552519115,0.026155624037
DrugBAN,bindingdb,seed_4,target,0.393654087358,0.385552519115,0.008101568243
DrugBAN,bindingdb,seed_5,drug,0.530724004614,0.411820087807,0.118903916807
DrugBAN,bindingdb,seed_5,target,0.370707691431,0.411820087807,-0.041112396376
DrugBAN,bindingdb,seed_6,drug,0.592085507687,0.344035590495,0.248049917192
DrugBAN,bindingdb,seed_6,target,0.344035590495,0.344035590495,0.0
DrugBAN,bindingdb,seed_7,drug,0.64587126989,0.428643750696,0.217227519194
DrugBAN,bindingdb,seed_7,target,0.428643750696,0.428643750696,0.0
DrugBAN,biosnap,seed_4,drug,0.683373632366,0.556460359458,0.126913272907
DrugBAN,biosnap,seed_4,target,0.570423965848,0.556460359458,0.01396360639
DrugBAN,biosnap,seed_5,drug,0.662319039029,0.477230685636,0.185088353393
DrugBAN,biosnap,seed_5,target,0.490346160908,0.477230685636,0.013115475272
DrugBAN,biosnap,seed_6,drug,0.606783952655,0.417459190115,0.189324762539
DrugBAN,biosnap,seed_6,target,0.442661951144,0.417459190115,0.025202761029
DrugBAN,biosnap,seed_7,drug,0.588691360168,0.411993832562,0.176697527607
DrugBAN,biosnap,seed_7,target,0.481709795987,0.411993832562,0.069715963425
DrugBAN,biosnap,seed_8,drug,0.731616208883,0.520785407893,0.210830800991
DrugBAN,biosnap,seed_8,target,0.546240257825,0.520785407893,0.025454849933
DrugBAN,human,seed_5,drug,0.499267399268,0.499267399268,0.0
DrugBAN,human,seed_5,target,0.499267399268,0.499267399268,0.0
DrugBAN,human,seed_7,drug,0.472222222222,0.472222222222,0.0
DrugBAN,human,seed_7,target,0.472222222222,0.472222222222,0.0
DrugBAN,human,seed_8,drug,0.625556809263,0.641196526688,-0.015639717425
DrugBAN,human,seed_8,target,0.666196526688,0.641196526688,0.025
PACE,bindingdb,seed_4,drug,0.542758341831,0.363504461088,0.179253880743
PACE,bindingdb,seed_4,target,0.355171127755,0.363504461088,-0.008333333333
PACE,bindingdb,seed_5,drug,0.709950780897,0.461383982921,0.248566797976
PACE,bindingdb,seed_5,target,0.549925649588,0.461383982921,0.088541666667
PACE,bindingdb,seed_6,drug,0.566287878787,0.423611111111,0.142676767676
PACE,bindingdb,seed_6,target,0.541666666666,0.423611111111,0.118055555555
PACE,bindingdb,seed_7,drug,0.467027863777,0.553405572755,-0.086377708978
PACE,bindingdb,seed_7,target,0.524458204334,0.553405572755,-0.028947368421
PACE,bindingdb,seed_8,drug,0.690188626126,0.49853268447,0.191655941656
PACE,bindingdb,seed_8,target,0.59853268447,0.49853268447,0.1
PACE,biosnap,seed_4,drug,0.718791173877,0.49790742686,0.220883747017
PACE,biosnap,seed_4,target,0.565104652972,0.49790742686,0.067197226112
PACE,biosnap,seed_5,drug,0.798609292319,0.459915692018,0.338693600301
PACE,biosnap,seed_5,target,0.662556645357,0.459915692018,0.202640953338
PACE,biosnap,seed_6,drug,0.70591819913,0.612321551406,0.093596647725
PACE,biosnap,seed_6,target,0.600862254458,0.612321551406,-0.011459296947
PACE,biosnap,seed_7,drug,0.670853661212,0.629236434229,0.041617226983
PACE,biosnap,seed_7,target,0.629236434229,0.629236434229,0.0
