group_axis,review_fraction,delta_combined_recall_of_candidate_errors_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,heterogeneity_axis,stratum
drug,0.05,0.058289376702,0.277383958634,0.014459327562,model,DrugBAN
drug,0.05,0.059044837109,0.125007215007,0.007073685719,model,PACE
drug,0.05,0.031360281143,0.137246727631,0.007192377773,model,TAPB
drug,0.1,0.106584887318,0.24609552533,0.027494979336,model,DrugBAN
drug,0.1,0.087417879604,0.110087392713,0.012067046029,model,PACE
drug,0.1,0.053662212386,0.113340383745,0.012511811723,model,TAPB
drug,0.2,0.143578048238,0.169848166214,0.042395478212,model,DrugBAN
drug,0.2,0.119109145104,0.077588626401,0.019504188367,model,PACE
drug,0.2,0.066074218643,0.078573054422,0.01965692582,model,TAPB
drug,0.3,0.142497648811,0.116425092109,0.050011945406,model,DrugBAN
drug,0.3,0.132214948712,0.06198670617,0.026424944778,model,PACE
drug,0.3,0.080715689407,0.062797681115,0.026873618103,model,TAPB
target,0.05,0.009358338356,0.059209656085,0.00288249887,model,DrugBAN
target,0.05,0.034472714019,0.07000962001,0.004008847438,model,PACE
target,0.05,0.016298166765,0.08669519583,0.004511262905,model,TAPB
target,0.1,0.009696703146,0.02743905341,0.003024808835,model,DrugBAN
target,0.1,0.031224566946,0.028169981091,0.002943116035,model,PACE
target,0.1,0.019923291873,0.053238312613,0.005851390583,model,TAPB
target,0.2,0.011286613819,0.016893805397,0.004217106452,model,DrugBAN
target,0.2,0.046224542342,0.020499236239,0.005314881313,model,PACE
target,0.2,0.036634219076,0.049903729886,0.012333182691,model,TAPB
target,0.3,0.01594391479,0.015556853765,0.006750882293,model,DrugBAN
target,0.3,0.044096880054,0.017228049777,0.007237761883,model,PACE
target,0.3,0.040683493564,0.034901430011,0.015024821755,model,TAPB
drug,0.05,0.071441062778,0.249230341418,0.01379610869,dataset,bindingdb
drug,0.05,0.073455686474,0.251477272727,0.013110659365,dataset,biosnap
drug,0.05,0.002592360113,0.017307692308,0.000838840986,dataset,human
drug,0.1,0.100442858148,0.203335933229,0.022371380482,dataset,bindingdb
drug,0.1,0.132325375748,0.222629219078,0.024817900991,dataset,biosnap
drug,0.1,0.007515436069,0.022954822955,0.002528762632,dataset,human
drug,0.2,0.15384581673,0.165579051572,0.041437971923,dataset,bindingdb
drug,0.2,0.164347871279,0.146032199179,0.036440688636,dataset,biosnap
drug,0.2,0.004397748294,0.003540422426,0.000998662085,dataset,human
drug,0.3,0.171766992016,0.126357654232,0.054075133608,dataset,bindingdb
drug,0.3,0.166801397578,0.098291861854,0.042181650246,dataset,biosnap
drug,0.3,0.013790393143,0.011738597981,0.004942168839,dataset,human
target,0.05,0.027649335232,0.080989901302,0.004605912565,dataset,bindingdb
target,0.05,0.025458254303,0.085776815777,0.004465569849,dataset,biosnap
target,0.05,0.009815469321,0.048397435897,0.002393432098,dataset,human
target,0.1,0.025761662507,0.047709207979,0.004986763402,dataset,bindingdb
