group_axis,review_fraction,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
drug,0.05,delta_deduplicated_error_detection_auroc_vs_uncertainty,-0.011596694178,-0.03069712562,0.011113186982,15,0.066666666667
drug,0.05,delta_deduplicated_error_detection_auprc_vs_uncertainty,-0.000994568519,-0.01784780219,0.023756493063,15,0.133333333333
drug,0.05,delta_deduplicated_review_error_rate_vs_uncertainty,0.009615384615,-0.055555555556,0.072222222222,13,0.153846153846
drug,0.05,delta_deduplicated_review_lift_vs_uncertainty,0.000556978215,-0.392063492064,0.299250341162,13,0.153846153846
drug,0.05,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,0.001104342391,-0.015873015873,0.015462865308,13,0.153846153846
drug,0.05,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.001806846999,-0.007936507937,0.01188034188,13,0.153846153846
drug,0.05,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,0.000698452653,-0.002314814815,0.003954098438,13,0.153846153846
drug,0.05,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,0.000698452653,-0.002314814815,0.003954098438,13,0.153846153846
drug,0.1,delta_deduplicated_error_detection_auroc_vs_uncertainty,-0.011596694178,-0.03069712562,0.011113186982,15,0.066666666667
drug,0.1,delta_deduplicated_error_detection_auprc_vs_uncertainty,-0.000994568519,-0.01784780219,0.023756493063,15,0.133333333333
drug,0.1,delta_deduplicated_review_error_rate_vs_uncertainty,-0.00434981685,-0.027777777778,0.011111111111,13,0.076923076923
drug,0.1,delta_deduplicated_review_lift_vs_uncertainty,-0.051748732037,-0.291666666667,0.047374847375,13,0.076923076923
drug,0.1,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,-0.004930966469,-0.027777777778,0.003846153846,13,0.076923076923
drug,0.1,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,-0.001602564103,-0.011111111111,0.003611111111,13,0.076923076923
drug,0.1,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,-0.000451508901,-0.002923976608,0.001282051282,13,0.076923076923
drug,0.1,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty,-0.000451508901,-0.002923976608,0.001008827238,13,0.076923076923
drug,0.2,delta_deduplicated_error_detection_auroc_vs_uncertainty,-0.011596694178,-0.03069712562,0.011113186982,15,0.066666666667
drug,0.2,delta_deduplicated_error_detection_auprc_vs_uncertainty,-0.000994568519,-0.01784780219,0.023756493063,15,0.133333333333
drug,0.2,delta_deduplicated_review_error_rate_vs_uncertainty,0.000993237532,-0.011263888889,0.021800976801,13,0.076923076923
drug,0.2,delta_deduplicated_review_lift_vs_uncertainty,0.000149283655,-0.056964637926,0.093078097117,13,0.076923076923
drug,0.2,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,0.00036722724,-0.011091992803,0.019826810616,13,0.076923076923
drug,0.2,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,0.002369007804,-0.006666666667,0.018937198068,13,0.076923076923
