group_axis,review_fraction,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
drug,0.05,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.049820718298,0.02013633805,0.077001754471,40,0.675
drug,0.05,delta_review_error_rate_vs_uncertainty,0.174698079698,0.073217736225,0.276492114849,40,0.675
drug,0.05,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.009327953189,0.004062285734,0.014632914219,40,0.675
drug,0.05,delta_error_detection_auprc_vs_uncertainty,0.14668573689,0.066437539164,0.23078554247,43,0.674418604651
drug,0.1,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.082197390072,0.036202245782,0.122525616938,40,0.75
drug,0.1,delta_review_error_rate_vs_uncertainty,0.151947054583,0.067535687388,0.239967140792,40,0.75
drug,0.1,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.016839974872,0.007479241824,0.026608589649,40,0.75
drug,0.1,delta_error_detection_auprc_vs_uncertainty,0.14668573689,0.066437539164,0.23078554247,43,0.674418604651
drug,0.2,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.109213464944,0.048430974702,0.165151582817,40,0.7
drug,0.2,delta_review_error_rate_vs_uncertainty,0.105586427452,0.044057559188,0.174810515063,40,0.7
drug,0.2,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.026421214993,0.011138411654,0.043590722654,40,0.7
drug,0.2,delta_error_detection_auprc_vs_uncertainty,0.14668573689,0.066437539164,0.23078554247,43,0.674418604651
drug,0.3,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.118562499468,0.057705779279,0.173148254749,40,0.725
drug,0.3,delta_review_error_rate_vs_uncertainty,0.078581788809,0.037014965266,0.124476990191,40,0.75
drug,0.3,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.033646863797,0.016072993993,0.053527041761,40,0.75
drug,0.3,delta_error_detection_auprc_vs_uncertainty,0.14668573689,0.066437539164,0.23078554247,43,0.674418604651
target,0.05,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.021031673463,0.006032863002,0.038151149647,40,0.55
target,0.05,delta_review_error_rate_vs_uncertainty,0.072192442974,0.029438712522,0.119106351789,40,0.55
target,0.05,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.003834227895,0.001491671151,0.006333238227,40,0.55
target,0.05,delta_error_detection_auprc_vs_uncertainty,0.039332484303,0.008978114806,0.075482527477,43,0.581395348837
target,0.1,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.021093293407,0.001646679358,0.042202693595,40,0.55
target,0.1,delta_review_error_rate_vs_uncertainty,0.036097910531,0.002326200954,0.074853450733,40,0.55
target,0.1,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.003912813103,0.000251674092,0.008154379057,40,0.55
target,0.1,delta_error_detection_auprc_vs_uncertainty,0.039332484303,0.008978114806,0.075482527477,43,0.581395348837
target,0.2,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.032626308724,0.005146752167,0.063087244128,40,0.55
target,0.2,delta_review_error_rate_vs_uncertainty,0.028974067422,0.00325738577,0.062788088221,40,0.575
target,0.2,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.007266496802,0.000903893379,0.015723268083,40,0.575
target,0.2,delta_error_detection_auprc_vs_uncertainty,0.039332484303,0.008978114806,0.075482527477,43,0.581395348837
target,0.3,delta_combined_recall_of_candidate_errors_vs_uncertainty,0.034541639866,0.007145727015,0.06167983584,40,0.55
target,0.3,delta_review_error_rate_vs_uncertainty,0.02247053955,0.004202230004,0.045075008963,40,0.55
target,0.3,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,0.009622492465,0.001848859879,0.019377636384,40,0.55
target,0.3,delta_error_detection_auprc_vs_uncertainty,0.039332484303,0.008978114806,0.075482527477,43,0.581395348837
