model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,uncertainty_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc_vs_uncertainty,uncertainty_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc_vs_uncertainty,uncertainty_deduplicated_review_error_rate,delta_deduplicated_review_error_rate_vs_uncertainty,uncertainty_deduplicated_review_lift,delta_deduplicated_review_lift_vs_uncertainty,uncertainty_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,uncertainty_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768867924528,0.382708556697,12,6.0,0.5,3.289473684211,0.157894736842,0.288888888889,0.865546218487,0.017546218487,40,0.143884892086,prior,False,one_standard_error,0.708912611718,0.05995531281,0.340585487706,0.042123068991,0.333333333333,0.166666666667,2.19298245614,1.09649122807,0.105263157895,0.052631578947,0.244444444444,0.044444444444,0.857142857143,0.008403361345,0.009142857143,0.008403361345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768867924528,0.382708556697,25,12.0,0.48,3.157894736842,0.315789473684,0.422222222222,0.884444444444,0.036444444444,53,0.190647482014,prior,False,one_standard_error,0.708912611718,0.05995531281,0.340585487706,0.042123068991,0.4,0.08,2.631578947368,0.526315789474,0.263157894737,0.052631578947,0.377777777778,0.044444444444,0.875555555556,0.008888888889,0.027555555556,0.008888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768867924528,0.382708556697,50,17.0,0.34,2.236842105263,0.447368421053,0.533333333333,0.895,0.047,78,0.280575539568,prior,False,one_standard_error,0.708912611718,0.05995531281,0.340585487706,0.042123068991,0.28,0.06,1.842105263158,0.394736842105,0.368421052632,0.078947368421,0.466666666667,0.066666666667,0.88,0.015,0.032,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.1,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768867924528,0.382708556697,75,23.0,0.306666666667,2.017543859649,0.605263157895,0.666666666667,0.914285714286,0.066285714286,103,0.370503597122,prior,False,one_standard_error,0.708912611718,0.05995531281,0.340585487706,0.042123068991,0.266666666667,0.04,1.754385964912,0.263157894737,0.526315789474,0.078947368421,0.6,0.066666666667,0.897142857143,0.017142857143,0.049142857143,0.017142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.2,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,56,222,28.0,0.126126126126,0.759388807069,0.334882145759,11,4.0,0.363636363636,2.883116883117,0.142857142857,0.466666666667,0.886255924171,0.012382050297,67,0.241007194245,prior,False,one_standard_error,0.674521354934,0.084867452135,0.214501698357,0.120380447402,0.181818181818,0.181818181818,1.441558441558,1.441558441558,0.071428571429,0.071428571429,0.422222222222,0.044444444444,0.876777251185,0.009478672986,0.002903377311,0.009478672986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.2,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,56,222,28.0,0.126126126126,0.759388807069,0.334882145759,22,7.0,0.318181818182,2.522727272727,0.25,0.533333333333,0.895,0.021126126126,78,0.280575539568,prior,False,one_standard_error,0.674521354934,0.084867452135,0.214501698357,0.120380447402,0.181818181818,0.136363636364,1.441558441558,1.081168831169,0.142857142857,0.107142857143,0.466666666667,0.066666666667,0.88,0.015,0.006126126126,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,56,222,28.0,0.126126126126,0.759388807069,0.334882145759,44,11.0,0.25,1.982142857143,0.392857142857,0.622222222222,0.904494382022,0.030620508149,100,0.359712230216,prior,False,one_standard_error,0.674521354934,0.084867452135,0.214501698357,0.120380447402,0.227272727273,0.022727272727,1.801948051948,0.180194805195,0.357142857143,0.035714285714,0.6,0.022222222222,0.898876404494,0.005617977528,0.025002530621,0.005617977528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.8,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,56,222,28.0,0.126126126126,0.759388807069,0.334882145759,67,17.0,0.253731343284,2.011727078891,0.607142857143,0.755555555556,0.929032258065,0.055158384191,123,0.442446043165,prior,False,one_standard_error,0.674521354934,0.084867452135,0.214501698357,0.120380447402,0.194029850746,0.059701492537,1.538379530917,0.473347547974,0.464285714286,0.142857142857,0.666666666667,0.088888888889,0.903225806452,0.025806451613,0.029351932578,0.025806451613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,24,219,28.0,0.127853881279,0.765332834705,0.346804471383,11,5.0,0.454545454545,3.555194805195,0.178571428571,0.323529411765,0.889423076923,0.017276958202,35,0.144032921811,prior,False,one_standard_error,0.685115931189,0.080216903515,0.276838156798,0.069966314585,0.181818181818,0.272727272727,1.422077922078,2.133116883117,0.071428571429,0.107142857143,0.235294117647,0.088235294118,0.875,0.014423076923,0.002853881279,0.014423076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACE,biosnap,seed_4,target,base,0.9,0.1,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,243,24,219,28.0,0.127853881279,0.765332834705,0.346804471383,22,7.0,0.318181818182,2.488636363636,0.25,0.382352941176,0.893401015228,0.021254896507,46,0.189300411523,prior,False,one_standard_error,0.685115931189,0.080216903515,0.276838156798,0.069966314585,0.318181818182,0.0,2.488636363636,0.0,0.25,0.0,0.382352941176,0.0,0.893401015228,0.0,0.021254896507,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
