model,dataset,test_run,group_axis,review_fraction,method,delta_error_detection_auprc_vs_pause,delta_review_error_rate_vs_pause,delta_combined_recall_of_candidate_errors_vs_pause,delta_retained_accuracy_gain_vs_residual_vs_pause
DrugBAN,bindingdb,seed_4,drug,0.05,fixed_hgb_upe,0.269830383843,0.327083333333,0.033441558442,0.016900727178
DrugBAN,bindingdb,seed_4,drug,0.05,native_density,-0.165616499374,-0.201388888889,-0.022077922078,-0.010696879193
DrugBAN,bindingdb,seed_4,drug,0.05,native_max_shift,-0.177324154892,-0.096527777778,-0.011038961039,-0.005209550708
DrugBAN,bindingdb,seed_4,drug,0.05,raw_uncertainty,-0.069669628116,-0.267361111111,-0.028571428572,-0.014193178375
DrugBAN,bindingdb,seed_4,drug,0.1,fixed_hgb_upe,0.269830383843,0.36185515873,0.076623376624,0.040433342485
DrugBAN,bindingdb,seed_4,drug,0.1,native_density,-0.165616499374,-0.175099206349,-0.037662337662,-0.019637310819
DrugBAN,bindingdb,seed_4,drug,0.1,native_max_shift,-0.177324154892,-0.18125,-0.038831168831,-0.02032533591
DrugBAN,bindingdb,seed_4,drug,0.1,raw_uncertainty,-0.069669628116,-0.083829365079,-0.018506493506,-0.009421426139
DrugBAN,bindingdb,seed_4,drug,0.2,fixed_hgb_upe,0.269830383843,0.334056273218,0.140584415584,0.083671710594
DrugBAN,bindingdb,seed_4,drug,0.2,native_density,-0.165616499374,-0.201341396488,-0.086363636364,-0.050342776956
DrugBAN,bindingdb,seed_4,drug,0.2,native_max_shift,-0.177324154892,-0.23256501182,-0.098701298702,-0.058139302506
DrugBAN,bindingdb,seed_4,drug,0.2,raw_uncertainty,-0.069669628116,-0.053975113982,-0.024350649351,-0.013447595021
DrugBAN,bindingdb,seed_4,drug,0.3,fixed_hgb_upe,0.269830383843,0.226713288993,0.142857142857,0.097538772852
DrugBAN,bindingdb,seed_4,drug,0.3,native_density,-0.165616499374,-0.185437858634,-0.119480519481,-0.079777441814
DrugBAN,bindingdb,seed_4,drug,0.3,native_max_shift,-0.177324154892,-0.194035742231,-0.125,-0.083478122086
DrugBAN,bindingdb,seed_4,drug,0.3,raw_uncertainty,-0.069669628116,-0.062098284149,-0.039935064935,-0.026700285976
DrugBAN,bindingdb,seed_4,target,0.05,fixed_hgb_upe,0.332987794168,0.544444444444,0.057467532468,0.028593905553
DrugBAN,bindingdb,seed_4,target,0.05,native_density,-0.103414944411,0.015972222222,0.001948051948,0.000996299182
DrugBAN,bindingdb,seed_4,target,0.05,native_max_shift,-0.115122599929,0.120833333333,0.012987012987,0.006483627667
DrugBAN,bindingdb,seed_4,target,0.05,raw_uncertainty,-0.007468073154,-0.05,-0.004545454545,-0.0025
DrugBAN,bindingdb,seed_4,target,0.1,fixed_hgb_upe,0.332987794168,0.374751984126,0.07987012987,0.041929923742
DrugBAN,bindingdb,seed_4,target,0.1,native_density,-0.103414944411,-0.130952380953,-0.027922077922,-0.014644226065
DrugBAN,bindingdb,seed_4,target,0.1,native_max_shift,-0.115122599929,-0.137103174604,-0.029090909091,-0.015332251156
DrugBAN,bindingdb,seed_4,target,0.1,raw_uncertainty,-0.007468073154,-0.039682539683,-0.008766233766,-0.004428341385
DrugBAN,bindingdb,seed_4,target,0.2,fixed_hgb_upe,0.332987794168,0.324251730834,0.137012987014,0.080994800372
DrugBAN,bindingdb,seed_4,target,0.2,native_density,-0.103414944411,-0.161255171395,-0.068506493506,-0.040391685432
DrugBAN,bindingdb,seed_4,target,0.2,native_max_shift,-0.115122599929,-0.192478786727,-0.080844155844,-0.048188210981
DrugBAN,bindingdb,seed_4,target,0.2,raw_uncertainty,-0.007468073154,-0.013888888889,-0.006493506494,-0.003496503496
DrugBAN,bindingdb,seed_4,target,0.3,fixed_hgb_upe,0.332987794168,0.280540884194,0.176623376623,0.120620071018
DrugBAN,bindingdb,seed_4,target,0.3,native_density,-0.103414944411,-0.141196717342,-0.091558441559,-0.06077783611
DrugBAN,bindingdb,seed_4,target,0.3,native_max_shift,-0.115122599929,-0.149794600939,-0.097077922079,-0.064478516382
DrugBAN,bindingdb,seed_4,target,0.3,raw_uncertainty,-0.007468073154,-0.017857142857,-0.012012987013,-0.007700680272
DrugBAN,bindingdb,seed_5,drug,0.05,fixed_hgb_upe,0.295784345122,0.453571428571,0.098214285714,0.024262939673
DrugBAN,bindingdb,seed_5,drug,0.05,native_density,-0.098938885584,0.106547619048,0.022321428571,0.00569257292
DrugBAN,bindingdb,seed_5,drug,0.05,native_max_shift,-0.092280817978,0.177976190476,0.040178571428,0.0094531363
DrugBAN,bindingdb,seed_5,drug,0.05,raw_uncertainty,-0.168040717182,-0.311904761905,-0.071428571429,-0.016638357215
DrugBAN,bindingdb,seed_5,drug,0.1,fixed_hgb_upe,0.295784345122,0.393127886606,0.169642857142,0.043734801225
DrugBAN,bindingdb,seed_5,drug,0.1,native_density,-0.098938885584,0.143900302596,0.066964285714,0.015889902134
DrugBAN,bindingdb,seed_5,drug,0.1,native_max_shift,-0.092280817978,0.143900302596,0.066964285714,0.015889902134
DrugBAN,bindingdb,seed_5,drug,0.1,raw_uncertainty,-0.168040717182,-0.126994744386,-0.053571428572,-0.014179609691
DrugBAN,bindingdb,seed_5,drug,0.2,fixed_hgb_upe,0.295784345122,0.180383119884,0.147321428571,0.044831847718
DrugBAN,bindingdb,seed_5,drug,0.2,native_density,-0.098938885584,-0.091341735324,-0.084821428572,-0.022726990291
DrugBAN,bindingdb,seed_5,drug,0.2,native_max_shift,-0.092280817978,-0.085244174348,-0.080357142857,-0.021211838776
DrugBAN,bindingdb,seed_5,drug,0.2,raw_uncertainty,-0.168040717182,-0.160510645241,-0.147321428572,-0.039917560367
DrugBAN,bindingdb,seed_5,drug,0.3,fixed_hgb_upe,0.295784345122,0.099750662303,0.129464285714,0.042876331599
DrugBAN,bindingdb,seed_5,drug,0.3,native_density,-0.098938885584,-0.163063931744,-0.21875,-0.070329596598
DrugBAN,bindingdb,seed_5,drug,0.3,native_max_shift,-0.092280817978,-0.167096189808,-0.223214285715,-0.072065707709
DrugBAN,bindingdb,seed_5,drug,0.3,raw_uncertainty,-0.168040717182,-0.139043750974,-0.183035714286,-0.059894220447
DrugBAN,bindingdb,seed_5,target,0.05,fixed_hgb_upe,0.534921564642,0.801190476191,0.178571428572,0.042422423648
DrugBAN,bindingdb,seed_5,target,0.05,native_density,0.102132567793,0.464285714286,0.102678571428,0.02474799285
DrugBAN,bindingdb,seed_5,target,0.05,native_max_shift,0.108790635399,0.535714285714,0.120535714286,0.02850855623
DrugBAN,bindingdb,seed_5,target,0.05,raw_uncertainty,0.033030736195,0.045833333334,0.008928571429,0.002417062715
DrugBAN,bindingdb,seed_5,target,0.1,fixed_hgb_upe,0.534921564642,0.66751075012,0.290178571428,0.074324584265
DrugBAN,bindingdb,seed_5,target,0.1,native_density,0.102132567793,0.338182831661,0.147321428571,0.037579906835
DrugBAN,bindingdb,seed_5,target,0.1,native_max_shift,0.108790635399,0.338182831661,0.147321428571,0.037579906835
DrugBAN,bindingdb,seed_5,target,0.1,raw_uncertainty,0.033030736195,0.067287784679,0.026785714286,0.00751039501
DrugBAN,bindingdb,seed_5,target,0.2,fixed_hgb_upe,0.534921564642,0.437323598989,0.379464285714,0.108836635113
DrugBAN,bindingdb,seed_5,target,0.2,native_density,0.102132567793,0.132265410447,0.111607142857,0.03287443576
DrugBAN,bindingdb,seed_5,target,0.2,native_max_shift,0.108790635399,0.138362971422,0.116071428572,0.034389587275
DrugBAN,bindingdb,seed_5,target,0.2,raw_uncertainty,0.033030736195,0.06309650053,0.049107142857,0.015683865684
DrugBAN,bindingdb,seed_5,target,0.3,fixed_hgb_upe,0.534921564642,0.281809061867,0.366071428572,0.121185200669
DrugBAN,bindingdb,seed_5,target,0.3,native_density,0.102132567793,0.029158874864,0.026785714286,0.012326969528
DrugBAN,bindingdb,seed_5,target,0.3,native_max_shift,0.108790635399,0.025126616799,0.022321428571,0.010590858417
DrugBAN,bindingdb,seed_5,target,0.3,raw_uncertainty,0.033030736195,0.053179055633,0.0625,0.022762345679
DrugBAN,bindingdb,seed_6,drug,0.05,fixed_hgb_upe,0.069144428369,0.117559523809,0.035805626599,0.006424667355
DrugBAN,bindingdb,seed_6,drug,0.05,native_density,-0.406412712323,-0.632440476191,-0.21547314578,-0.03374724635
DrugBAN,bindingdb,seed_6,drug,0.05,native_max_shift,-0.409209783006,-0.632440476191,-0.21547314578,-0.03374724635
DrugBAN,bindingdb,seed_6,drug,0.05,raw_uncertainty,-0.34798254754,-0.513392857143,-0.175191815857,-0.027436285102
DrugBAN,bindingdb,seed_6,drug,0.1,fixed_hgb_upe,0.069144428369,0.076813811189,0.054987212277,0.008635506456
DrugBAN,bindingdb,seed_6,drug,0.1,native_density,-0.406412712323,-0.47054507992,-0.317135549872,-0.053084916467
DrugBAN,bindingdb,seed_6,drug,0.1,native_max_shift,-0.409209783006,-0.47054507992,-0.317135549872,-0.053084916467
DrugBAN,bindingdb,seed_6,drug,0.1,raw_uncertainty,-0.34798254754,-0.388002622378,-0.262148337596,-0.043973844194
DrugBAN,bindingdb,seed_6,drug,0.2,fixed_hgb_upe,0.069144428369,0.035927168904,0.047314578005,0.009082763115
DrugBAN,bindingdb,seed_6,drug,0.2,native_density,-0.406412712323,-0.279226607894,-0.375959079284,-0.070150508884
DrugBAN,bindingdb,seed_6,drug,0.2,native_max_shift,-0.409209783006,-0.279226607894,-0.375959079284,-0.070150508884
DrugBAN,bindingdb,seed_6,drug,0.2,raw_uncertainty,-0.34798254754,-0.209624824684,-0.280690537085,-0.052626358461
DrugBAN,bindingdb,seed_6,drug,0.3,fixed_hgb_upe,0.069144428369,0.067121596644,0.134910485933,0.028497793944
DrugBAN,bindingdb,seed_6,drug,0.3,native_density,-0.406412712323,-0.181284862552,-0.361253196931,-0.077102032892
DrugBAN,bindingdb,seed_6,drug,0.3,native_max_shift,-0.409209783006,-0.193961370896,-0.386828644501,-0.082488341244
DrugBAN,bindingdb,seed_6,drug,0.3,raw_uncertainty,-0.34798254754,-0.101718627396,-0.200127877238,-0.043110486652
DrugBAN,bindingdb,seed_6,target,0.05,fixed_hgb_upe,0.431442088167,0.636904761905,0.214833759591,0.034018671213
DrugBAN,bindingdb,seed_6,target,0.05,native_density,-0.058430164783,-0.119047619048,-0.040281329923,-0.006310961248
DrugBAN,bindingdb,seed_6,target,0.05,native_max_shift,-0.061227235466,-0.119047619048,-0.040281329923,-0.006310961248
DrugBAN,bindingdb,seed_6,target,0.05,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_6,target,0.1,fixed_hgb_upe,0.431442088167,0.52229020979,0.35358056266,0.05891545128
DrugBAN,bindingdb,seed_6,target,0.1,native_density,-0.058430164783,-0.082542457542,-0.054987212276,-0.009111072273
DrugBAN,bindingdb,seed_6,target,0.1,native_max_shift,-0.061227235466,-0.082542457542,-0.054987212276,-0.009111072273
DrugBAN,bindingdb,seed_6,target,0.1,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_6,target,0.2,fixed_hgb_upe,0.431442088167,0.291473652575,0.390025575448,0.073172665938
DrugBAN,bindingdb,seed_6,target,0.2,native_density,-0.058430164783,-0.06960178321,-0.095268542199,-0.017524150423
DrugBAN,bindingdb,seed_6,target,0.2,native_max_shift,-0.061227235466,-0.06960178321,-0.095268542199,-0.017524150423
DrugBAN,bindingdb,seed_6,target,0.2,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_6,target,0.3,fixed_hgb_upe,0.431442088167,0.181146561432,0.356777493606,0.076834746362
DrugBAN,bindingdb,seed_6,target,0.3,native_density,-0.058430164783,-0.079566235156,-0.161125319693,-0.033991546241
DrugBAN,bindingdb,seed_6,target,0.3,native_max_shift,-0.061227235466,-0.0922427435,-0.186700767263,-0.039377854592
DrugBAN,bindingdb,seed_6,target,0.3,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_7,drug,0.05,fixed_hgb_upe,0.154506354014,0.147159090909,0.026902059689,0.0078983415
DrugBAN,bindingdb,seed_7,drug,0.05,native_density,-0.519316899677,-0.623457792208,-0.113282891972,-0.033418560681
DrugBAN,bindingdb,seed_7,drug,0.05,native_max_shift,-0.507241220698,-0.73814935065,-0.134300126104,-0.039555824729
DrugBAN,bindingdb,seed_7,drug,0.05,raw_uncertainty,-0.392243464588,-0.523051948052,-0.094052122741,-0.028133837821
DrugBAN,bindingdb,seed_7,drug,0.1,fixed_hgb_upe,0.154506354014,0.105252477785,0.037410676755,0.011758944976
DrugBAN,bindingdb,seed_7,drug,0.1,native_density,-0.519316899677,-0.693747863978,-0.249369482977,-0.077408476418
DrugBAN,bindingdb,seed_7,drug,0.1,native_max_shift,-0.507241220698,-0.731491370472,-0.264501891552,-0.081656651411
DrugBAN,bindingdb,seed_7,drug,0.1,raw_uncertainty,-0.392243464588,-0.561677631579,-0.200924758302,-0.06262706072
DrugBAN,bindingdb,seed_7,drug,0.2,fixed_hgb_upe,0.154506354014,0.121658677032,0.084804539723,0.030308472657
DrugBAN,bindingdb,seed_7,drug,0.2,native_density,-0.519316899677,-0.494356762268,-0.354455653636,-0.123123165149
DrugBAN,bindingdb,seed_7,drug,0.2,native_max_shift,-0.507241220698,-0.482728855291,-0.346258932325,-0.120249601931
DrugBAN,bindingdb,seed_7,drug,0.2,raw_uncertainty,-0.392243464588,-0.346797035798,-0.246532156368,-0.086412928547
DrugBAN,bindingdb,seed_7,drug,0.3,fixed_hgb_upe,0.154506354014,0.067716320119,0.073034888608,0.028988936085
DrugBAN,bindingdb,seed_7,drug,0.3,native_density,-0.519316899677,-0.397377042131,-0.427490542245,-0.17018900064
DrugBAN,bindingdb,seed_7,drug,0.3,native_max_shift,-0.507241220698,-0.342160722012,-0.367775325767,-0.146545459292
DrugBAN,bindingdb,seed_7,drug,0.3,raw_uncertainty,-0.392243464588,-0.229377329689,-0.244220260614,-0.098245749656
DrugBAN,bindingdb,seed_7,target,0.05,fixed_hgb_upe,0.386612285269,0.597483766234,0.108659100463,0.032086346651
DrugBAN,bindingdb,seed_7,target,0.05,native_density,-0.127073435089,-0.100405844156,-0.019230769231,-0.00528472286
DrugBAN,bindingdb,seed_7,target,0.05,native_max_shift,-0.11499775611,-0.215097402598,-0.040248003363,-0.011421986908
DrugBAN,bindingdb,seed_7,target,0.05,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_7,target,0.1,fixed_hgb_upe,0.386612285269,0.553891831853,0.201450189156,0.061919162194
DrugBAN,bindingdb,seed_7,target,0.1,native_density,-0.127073435089,-0.132070232399,-0.048444724674,-0.014781415698
DrugBAN,bindingdb,seed_7,target,0.1,native_max_shift,-0.11499775611,-0.169813738892,-0.063577133249,-0.019029590691
DrugBAN,bindingdb,seed_7,target,0.1,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_7,target,0.2,fixed_hgb_upe,0.386612285269,0.279459631391,0.20376208491,0.069414900234
DrugBAN,bindingdb,seed_7,target,0.2,native_density,-0.127073435089,-0.14755972647,-0.107923497268,-0.036710236602
DrugBAN,bindingdb,seed_7,target,0.2,native_max_shift,-0.11499775611,-0.135931819494,-0.099726775956,-0.033836673384
DrugBAN,bindingdb,seed_7,target,0.2,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_7,target,0.3,fixed_hgb_upe,0.386612285269,0.179243024034,0.195565363598,0.076741524627
DrugBAN,bindingdb,seed_7,target,0.3,native_density,-0.127073435089,-0.167999712442,-0.183270281631,-0.071943250984
DrugBAN,bindingdb,seed_7,target,0.3,native_max_shift,-0.11499775611,-0.112783392323,-0.123555065154,-0.048299709637
DrugBAN,bindingdb,seed_7,target,0.3,raw_uncertainty,0.0,0.0,0.0,0.0
DrugBAN,bindingdb,seed_8,drug,0.05,fixed_hgb_upe,-0.375,,,
DrugBAN,bindingdb,seed_8,drug,0.05,native_density,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.05,native_max_shift,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.05,raw_uncertainty,-0.629166666666,,,
DrugBAN,bindingdb,seed_8,drug,0.1,fixed_hgb_upe,-0.375,,,
DrugBAN,bindingdb,seed_8,drug,0.1,native_density,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.1,native_max_shift,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.1,raw_uncertainty,-0.629166666666,,,
DrugBAN,bindingdb,seed_8,drug,0.2,fixed_hgb_upe,-0.375,,,
DrugBAN,bindingdb,seed_8,drug,0.2,native_density,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.2,native_max_shift,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.2,raw_uncertainty,-0.629166666666,,,
DrugBAN,bindingdb,seed_8,drug,0.3,fixed_hgb_upe,-0.375,,,
DrugBAN,bindingdb,seed_8,drug,0.3,native_density,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.3,native_max_shift,0.0,,,
DrugBAN,bindingdb,seed_8,drug,0.3,raw_uncertainty,-0.629166666666,,,
DrugBAN,bindingdb,seed_8,target,0.05,fixed_hgb_upe,0.504166666666,,,
DrugBAN,bindingdb,seed_8,target,0.05,native_density,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.05,native_max_shift,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.05,raw_uncertainty,0.041666666667,,,
DrugBAN,bindingdb,seed_8,target,0.1,fixed_hgb_upe,0.504166666666,,,
DrugBAN,bindingdb,seed_8,target,0.1,native_density,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.1,native_max_shift,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.1,raw_uncertainty,0.041666666667,,,
DrugBAN,bindingdb,seed_8,target,0.2,fixed_hgb_upe,0.504166666666,,,
DrugBAN,bindingdb,seed_8,target,0.2,native_density,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.2,native_max_shift,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.2,raw_uncertainty,0.041666666667,,,
DrugBAN,bindingdb,seed_8,target,0.3,fixed_hgb_upe,0.504166666666,,,
DrugBAN,bindingdb,seed_8,target,0.3,native_density,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.3,native_max_shift,0.670833333334,,,
DrugBAN,bindingdb,seed_8,target,0.3,raw_uncertainty,0.041666666667,,,
DrugBAN,biosnap,seed_4,drug,0.05,fixed_hgb_upe,-0.098919981403,-0.175,-0.036595394737,-0.009392730003
DrugBAN,biosnap,seed_4,drug,0.05,native_density,-0.416286866744,-0.413095238095,-0.092927631579,-0.021034144613
DrugBAN,biosnap,seed_4,drug,0.05,native_max_shift,-0.406444236294,-0.4875,-0.108552631579,-0.024853589058
DrugBAN,biosnap,seed_4,drug,0.05,raw_uncertainty,-0.282186034822,-0.296428571429,-0.065378289474,-0.015237939992
DrugBAN,biosnap,seed_4,drug,0.1,fixed_hgb_upe,-0.098919981403,-0.056318681319,-0.0234375,-0.006377903761
DrugBAN,biosnap,seed_4,drug,0.1,native_density,-0.416286866744,-0.419497169498,-0.199013157894,-0.046974510432
DrugBAN,biosnap,seed_4,drug,0.1,native_max_shift,-0.406444236294,-0.40164002664,-0.191200657894,-0.045021385432
DrugBAN,biosnap,seed_4,drug,0.1,raw_uncertainty,-0.282186034822,-0.252858252859,-0.120476973684,-0.028226757925
DrugBAN,biosnap,seed_4,drug,0.2,fixed_hgb_upe,-0.098919981403,0.025895989975,0.03166118421,0.006458173681
DrugBAN,biosnap,seed_4,drug,0.2,native_density,-0.416286866744,-0.354360902256,-0.324424342105,-0.087857237736
DrugBAN,biosnap,seed_4,drug,0.2,native_max_shift,-0.406444236294,-0.310369674186,-0.282483552632,-0.076914497951
DrugBAN,biosnap,seed_4,drug,0.2,raw_uncertainty,-0.282186034822,-0.149179197995,-0.136101973684,-0.037140412184
DrugBAN,biosnap,seed_4,drug,0.3,fixed_hgb_upe,-0.098919981403,0.018971848225,0.0234375,0.008207070707
DrugBAN,biosnap,seed_4,drug,0.3,native_density,-0.416286866744,-0.230539102116,-0.319078947368,-0.09950006825
DrugBAN,biosnap,seed_4,drug,0.3,native_max_shift,-0.406444236294,-0.265487027889,-0.368832236842,-0.114557739558
DrugBAN,biosnap,seed_4,drug,0.3,raw_uncertainty,-0.282186034822,-0.101379447893,-0.146792763158,-0.043594731094
DrugBAN,biosnap,seed_4,target,0.05,fixed_hgb_upe,0.067187148549,-0.077380952381,-0.015625,-0.003935185185
DrugBAN,biosnap,seed_4,target,0.05,native_density,-0.205218852716,-0.179761904762,-0.037828947368,-0.009107994133
DrugBAN,biosnap,seed_4,target,0.05,native_max_shift,-0.195376222265,-0.254166666667,-0.053453947368,-0.012927438577
DrugBAN,biosnap,seed_4,target,0.05,raw_uncertainty,-0.071118020794,-0.063095238096,-0.010279605263,-0.003311789512
DrugBAN,biosnap,seed_4,target,0.1,fixed_hgb_upe,0.067187148549,0.118867243868,0.060444078947,0.013098635836
DrugBAN,biosnap,seed_4,target,0.1,native_density,-0.205218852716,-0.179625929626,-0.081003289474,-0.02002242356
DrugBAN,biosnap,seed_4,target,0.1,native_max_shift,-0.195376222265,-0.161768786768,-0.073190789474,-0.01806929856
DrugBAN,biosnap,seed_4,target,0.1,raw_uncertainty,-0.071118020794,-0.012987012987,-0.002467105263,-0.001274671053
DrugBAN,biosnap,seed_4,target,0.2,fixed_hgb_upe,0.067187148549,0.142337092732,0.141858552632,0.035574850055
