group_axis,review_fraction,method,measure,mean,ci_low,ci_high,independent_runs,positive_fraction
drug,0.05,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.012989147032,-0.064652239112,0.096338296315,41,0.585365853659
drug,0.05,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.031028449003,-0.055658071325,0.147114917728,40,0.55
drug,0.05,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.008854095281,-0.012253541334,0.034360716541,40,0.525
drug,0.05,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.001712618686,-0.002675853455,0.007610053336,40,0.55
drug,0.05,native_density,delta_error_detection_auprc_vs_pause,-0.213713302372,-0.304968108376,-0.10286540518,43,0.06976744186
drug,0.05,native_density,delta_review_error_rate_vs_pause,-0.216332903208,-0.325108176257,-0.081062103759,40,0.15
drug,0.05,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.065264324457,-0.101834790767,-0.022580581931,40,0.2
drug,0.05,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.011362940612,-0.016840841568,-0.004313566346,40,0.175
drug,0.05,native_max_shift,delta_error_detection_auprc_vs_pause,-0.217984359561,-0.302121486798,-0.119641559716,43,0.046511627907
drug,0.05,native_max_shift,delta_review_error_rate_vs_pause,-0.2192313277,-0.332986788514,-0.076190502367,40,0.2
drug,0.05,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.065882549713,-0.101158499305,-0.022404484839,40,0.25
drug,0.05,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.011517023033,-0.017282044208,-0.004079191008,40,0.225
drug,0.05,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.14668573689,-0.23209893231,-0.06827493573,43,0.139534883721
drug,0.05,raw_uncertainty,delta_review_error_rate_vs_pause,-0.174698079698,-0.276927634673,-0.074051651184,40,0.075
drug,0.05,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.049820718298,-0.076955254659,-0.020313097509,40,0.125
drug,0.05,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.009327953189,-0.014606179407,-0.003950872045,40,0.125
drug,0.1,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.012989147032,-0.064652239112,0.096338296315,41,0.585365853659
drug,0.1,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.024549361877,-0.061601562754,0.127235075689,40,0.6
drug,0.1,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.00569596573,-0.040088999825,0.046879850623,40,0.6
drug,0.1,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.002676648276,-0.007055981498,0.014094738167,40,0.6
drug,0.1,native_density,delta_error_detection_auprc_vs_pause,-0.213713302372,-0.304968108376,-0.10286540518,43,0.06976744186
drug,0.1,native_density,delta_review_error_rate_vs_pause,-0.253517994594,-0.3398550058,-0.15489804168,40,0.1
drug,0.1,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.139013132923,-0.191854794662,-0.075606621245,40,0.1
drug,0.1,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.028192614168,-0.037643382841,-0.01716265361,40,0.1
drug,0.1,native_max_shift,delta_error_detection_auprc_vs_pause,-0.217984359561,-0.302121486798,-0.119641559716,43,0.046511627907
drug,0.1,native_max_shift,delta_review_error_rate_vs_pause,-0.259225451624,-0.343734255581,-0.169432806132,40,0.075
drug,0.1,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.143941642777,-0.194814163439,-0.088391751978,40,0.075
drug,0.1,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.028802042805,-0.038048389777,-0.018645323817,40,0.075
drug,0.1,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.14668573689,-0.23209893231,-0.06827493573,43,0.139534883721
drug,0.1,raw_uncertainty,delta_review_error_rate_vs_pause,-0.151947054583,-0.239459333702,-0.068200923391,40,0.05
drug,0.1,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.082197390072,-0.122865036971,-0.036121075372,40,0.05
drug,0.1,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.016839974872,-0.026596413786,-0.007458209808,40,0.05
drug,0.2,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.012989147032,-0.064652239112,0.096338296315,41,0.585365853659
drug,0.2,fixed_hgb_upe,delta_review_error_rate_vs_pause,0.016249271562,-0.046496325621,0.088623470396,40,0.6
drug,0.2,fixed_hgb_upe,delta_combined_recall_of_candidate_errors_vs_pause,0.010220772428,-0.050228470455,0.065692505543,40,0.65
drug,0.2,fixed_hgb_upe,delta_retained_accuracy_gain_vs_residual_vs_pause,0.003928312547,-0.011999516701,0.022014144167,40,0.6
drug,0.2,native_density,delta_error_detection_auprc_vs_pause,-0.213713302372,-0.304968108376,-0.10286540518,43,0.06976744186
drug,0.2,native_density,delta_review_error_rate_vs_pause,-0.24921490148,-0.310690044531,-0.183399425392,40,0.025
drug,0.2,native_density,delta_combined_recall_of_candidate_errors_vs_pause,-0.255253153411,-0.31407250784,-0.187004922341,40,0.025
drug,0.2,native_density,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.062355875798,-0.07734059249,-0.045805113231,40,0.025
drug,0.2,native_max_shift,delta_error_detection_auprc_vs_pause,-0.217984359561,-0.302121486798,-0.119641559716,43,0.046511627907
drug,0.2,native_max_shift,delta_review_error_rate_vs_pause,-0.248351203966,-0.305639834332,-0.191415355364,40,0.025
drug,0.2,native_max_shift,delta_combined_recall_of_candidate_errors_vs_pause,-0.258561164121,-0.314263324892,-0.200688047514,40,0.025
drug,0.2,native_max_shift,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.06213111094,-0.076155975954,-0.047749648171,40,0.025
drug,0.2,raw_uncertainty,delta_error_detection_auprc_vs_pause,-0.14668573689,-0.23209893231,-0.06827493573,43,0.139534883721
drug,0.2,raw_uncertainty,delta_review_error_rate_vs_pause,-0.105586427452,-0.175536644949,-0.043581307052,40,0.125
drug,0.2,raw_uncertainty,delta_combined_recall_of_candidate_errors_vs_pause,-0.109213464944,-0.165547914047,-0.048555641124,40,0.125
drug,0.2,raw_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_pause,-0.026421214993,-0.043743678879,-0.011083328976,40,0.125
drug,0.3,fixed_hgb_upe,delta_error_detection_auprc_vs_pause,0.012989147032,-0.064652239112,0.096338296315,41,0.585365853659
