model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty,primary,complete,calibrated_error_risk,0.512386239003,0.031438420933,1313,131,1182,462.0,0.390862944162,0.5693001443,0.467318062819,59,33.0,0.559322033898,1.430992736077,0.071428571429,0.185958254269,0.617987533393,0.008850477555,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.48531452381,0.032338382791,1313,131,1182,462.0,0.390862944162,0.664336820587,0.476840588688,59,24.0,0.406779661017,1.040721989875,0.051948051948,0.168880455408,0.609973285841,0.000836230004,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.484725620516,0.031998558469,1313,131,1182,462.0,0.390862944162,0.663900913901,0.476212817075,59,24.0,0.406779661017,1.040721989875,0.051948051948,0.168880455408,0.609973285841,0.000836230004,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.342817437764,0.091662562046,1313,131,1182,462.0,0.390862944162,0.366393097643,0.323437818633,59,21.0,0.35593220339,0.91063174114,0.045454545455,0.163187855787,0.607301869991,-0.001835185846,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.435099666747,0.059134281851,1313,131,1182,462.0,0.390862944162,0.570496632997,0.42317880061,59,18.0,0.305084745763,0.780541492406,0.038961038961,0.157495256167,0.604630454141,-0.004506601697,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,1313,131,1182,462.0,0.390862944162,0.653634559885,0.49352456455,59,29.0,0.491525423729,1.257539071098,0.062770562771,0.178368121442,0.614425645592,0.005288589755,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,1313,131,1182,462.0,0.390862944162,0.454491341991,0.369432645708,59,21.5,0.364406779661,0.932313449263,0.046536796537,0.164136622391,0.607747105966,-0.001389949871,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,1313,131,1182,462.0,0.390862944162,0.490231180856,0.389458190991,59,26.0,0.440677966102,1.127448822364,0.056277056277,0.172675521822,0.611754229742,0.002617173904,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.43002254784,0.089362007341,1313,131,1182,462.0,0.390862944162,0.586904761905,0.430632538944,59,26.0,0.440677966102,1.127448822364,0.056277056277,0.172675521822,0.611754229742,0.002617173904,190,0.14470677837
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,263,26,237,96.0,0.405063291139,0.645390070922,0.502836743211,12,5.0,0.416666666667,1.028645833333,0.052083333333,0.172727272727,0.595555555556,0.000618846695,38,0.144486692015
