model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,263,26,237,96.0,0.405063291139,0.645390070922,0.502836743211,12,5.0,0.416666666667,1.028645833333,0.052083333333,0.172727272727,0.595555555556,0.000618846695,38,0.144486692015,uncertainty,True,uncertainty_selected,0.645390070922,0.0,0.502836743211,0.0,0.416666666667,0.0,1.028645833333,0.0,0.052083333333,0.0,0.172727272727,0.0,0.595555555556,0.0,0.000618846695,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,263,26,237,96.0,0.405063291139,0.645390070922,0.502836743211,24,13.0,0.541666666667,1.337239583333,0.135416666667,0.245454545455,0.610328638498,0.015391929637,50,0.190114068441,uncertainty,True,uncertainty_selected,0.645390070922,0.0,0.502836743211,0.0,0.541666666667,0.0,1.337239583333,0.0,0.135416666667,0.0,0.245454545455,0.0,0.610328638498,0.0,0.015391929637,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,263,26,237,96.0,0.405063291139,0.645390070922,0.502836743211,47,24.0,0.510638297872,1.260638297872,0.25,0.345454545455,0.621052631579,0.026115922718,73,0.277566539924,uncertainty,True,uncertainty_selected,0.645390070922,0.0,0.502836743211,0.0,0.510638297872,0.0,1.260638297872,0.0,0.25,0.0,0.345454545455,0.0,0.621052631579,0.0,0.026115922718,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,263,26,237,96.0,0.405063291139,0.645390070922,0.502836743211,71,38.0,0.535211267606,1.321302816901,0.395833333333,0.472727272727,0.650602409639,0.055665700778,97,0.368821292776,uncertainty,True,uncertainty_selected,0.645390070922,0.0,0.502836743211,0.0,0.535211267606,0.0,1.321302816901,0.0,0.395833333333,0.0,0.472727272727,0.0,0.650602409639,0.0,0.055665700778,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,263,53,210,82.0,0.390476190476,0.680830792683,0.525680749821,10,6.0,0.6,1.536585365854,0.073170731707,0.309090909091,0.62,0.010476190476,63,0.239543726236,prior,False,one_standard_error,0.653772865854,0.027057926829,0.505617855763,0.020062894058,0.4,0.2,1.024390243902,0.512195121951,0.048780487805,0.024390243902,0.290909090909,0.018181818182,0.61,0.01,0.000476190476,0.01
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,263,53,210,82.0,0.390476190476,0.680830792683,0.525680749821,21,12.0,0.571428571429,1.463414634146,0.146341463415,0.363636363636,0.62962962963,0.020105820106,74,0.281368821293,prior,False,one_standard_error,0.653772865854,0.027057926829,0.505617855763,0.020062894058,0.52380952381,0.047619047619,1.341463414634,0.121951219512,0.134146341463,0.012195121951,0.354545454545,0.009090909091,0.624338624339,0.005291005291,0.014814814815,0.005291005291
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,263,53,210,82.0,0.390476190476,0.680830792683,0.525680749821,42,23.0,0.547619047619,1.40243902439,0.280487804878,0.463636363636,0.64880952381,0.039285714286,95,0.361216730038,prior,False,one_standard_error,0.653772865854,0.027057926829,0.505617855763,0.020062894058,0.547619047619,0.0,1.40243902439,0.0,0.280487804878,0.0,0.463636363636,0.0,0.64880952381,0.0,0.039285714286,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,263,53,210,82.0,0.390476190476,0.680830792683,0.525680749821,63,32.0,0.507936507937,1.30081300813,0.390243902439,0.545454545455,0.659863945578,0.050340136054,116,0.441064638783,prior,False,one_standard_error,0.653772865854,0.027057926829,0.505617855763,0.020062894058,0.492063492063,0.015873015873,1.260162601626,0.040650406504,0.378048780488,0.012195121951,0.536363636364,0.009090909091,0.65306122449,0.006802721088,0.043537414966,0.006802721088
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,199,20,179,66.0,0.368715083799,0.700858138911,0.530989764211,9,5.0,0.555555555556,1.506734006734,0.075757575758,0.207792207792,0.641176470588,0.009891554387,29,0.145728643216,prior,False,one_standard_error,0.661973719496,0.038884419415,0.521180365653,0.009809398557,0.555555555556,0.0,1.506734006734,0.0,0.075757575758,0.0,0.207792207792,0.0,0.641176470588,0.0,0.009891554387,0.0
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,199,20,179,66.0,0.368715083799,0.700858138911,0.530989764211,18,10.0,0.555555555556,1.506734006734,0.151515151515,0.272727272727,0.652173913043,0.020888996842,38,0.190954773869,prior,False,one_standard_error,0.661973719496,0.038884419415,0.521180365653,0.009809398557,0.444444444444,0.111111111111,1.205387205387,0.301346801347,0.121212121212,0.030303030303,0.246753246753,0.025974025974,0.639751552795,0.012422360248,0.008466636594,0.012422360248
