model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty,primary,complete,calibrated_error_risk,0.369827049367,0.066784625095,647,65,582,120.0,0.20618556701,0.6806998557,0.354395838499,29,12.0,0.413793103448,2.006896551724,0.1,0.255172413793,0.804701627486,0.010887194497,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.397087975469,0.042853536251,647,65,582,120.0,0.20618556701,0.67876984127,0.335963008839,29,14.0,0.48275862069,2.341379310345,0.116666666667,0.268965517241,0.808318264014,0.014503831025,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.396410161521,0.04253171488,647,65,582,120.0,0.20618556701,0.678589466089,0.335874187183,29,14.0,0.48275862069,2.341379310345,0.116666666667,0.268965517241,0.808318264014,0.014503831025,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.462538651402,0.011425942794,647,65,582,120.0,0.20618556701,0.73676046176,0.394935475054,29,12.0,0.413793103448,2.006896551724,0.1,0.255172413793,0.804701627486,0.010887194497,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.488737368382,0.064836321651,647,65,582,120.0,0.20618556701,0.770418470418,0.415556650699,29,11.0,0.379310344828,1.839655172414,0.091666666667,0.248275862069,0.802893309222,0.009078876233,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,647,65,582,120.0,0.20618556701,0.695725108225,0.340303170291,29,12.0,0.413793103448,2.006896551724,0.1,0.255172413793,0.804701627486,0.010887194497,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,647,65,582,120.0,0.20618556701,0.543524531025,0.282990933574,29,11.666666666667,0.402298850575,1.951149425287,0.097222222222,0.252873563218,0.804098854732,0.010284421742,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,647,65,582,120.0,0.20618556701,0.548538961039,0.289538528959,29,15.0,0.51724137931,2.508620689655,0.125,0.275862068966,0.810126582278,0.016312149289,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.466173586452,0.081892803528,647,65,582,120.0,0.20618556701,0.751199494949,0.381566041306,29,10.0,0.344827586207,1.672413793103,0.083333333333,0.241379310345,0.801084990958,0.007270557969,94,0.145285935085
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,158,16,142,26.0,0.183098591549,0.707228116711,0.318832007055,7,2.0,0.285714285714,1.56043956044,0.076923076923,0.25,0.822222222222,0.005320813772,23,0.145569620253
