model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.858421750663,0.518819687995,7,4.0,0.571428571429,3.120879120879,0.153846153846,0.3125,0.837037037037,0.020135628586,23,0.145569620253,uncertainty_support,False,one_standard_error,0.707228116711,0.151193633952,0.318832007055,0.19998768094,0.285714285714,0.285714285714,1.56043956044,1.56043956044,0.076923076923,0.076923076923,0.25,0.0625,0.822222222222,0.014814814815,0.005320813772,0.014814814815
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.1,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.858421750663,0.518819687995,14,6.0,0.428571428571,2.340659340659,0.230769230769,0.375,0.84375,0.026848591549,30,0.189873417722,uncertainty_support,False,one_standard_error,0.707228116711,0.151193633952,0.318832007055,0.19998768094,0.285714285714,0.142857142857,1.56043956044,0.78021978022,0.153846153846,0.076923076923,0.3125,0.0625,0.828125,0.015625,0.011223591549,0.015625
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.858421750663,0.518819687995,28,14.0,0.5,2.730769230769,0.538461538462,0.625,0.894736842105,0.077835433655,44,0.278481012658,uncertainty_support,False,one_standard_error,0.707228116711,0.151193633952,0.318832007055,0.19998768094,0.357142857143,0.142857142857,1.950549450549,0.78021978022,0.384615384615,0.153846153846,0.5,0.125,0.859649122807,0.035087719298,0.042747714356,0.035087719298
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.3,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,158,16,142,26.0,0.183098591549,0.858421750663,0.518819687995,43,18.0,0.418604651163,2.286225402504,0.692307692308,0.75,0.919191919192,0.102290510741,59,0.373417721519,uncertainty_support,False,one_standard_error,0.707228116711,0.151193633952,0.318832007055,0.19998768094,0.325581395349,0.093023255814,1.778175313059,0.508050089445,0.538461538462,0.153846153846,0.625,0.125,0.878787878788,0.040404040404,0.061886470337,0.040404040404
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,158,32,126,22.0,0.174603174603,0.728146853147,0.415081844882,6,3.0,0.5,2.863636363636,0.136363636364,0.40625,0.841666666667,0.01626984127,38,0.240506329114,prior,False,one_standard_error,0.736013986014,-0.007867132867,0.358360806595,0.056721038287,0.333333333333,0.166666666667,1.909090909091,0.954545454545,0.090909090909,0.045454545455,0.375,0.03125,0.833333333333,0.008333333333,0.007936507937,0.008333333333
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,158,32,126,22.0,0.174603174603,0.728146853147,0.415081844882,13,6.0,0.461538461538,2.643356643357,0.272727272727,0.5,0.858407079646,0.033010254249,45,0.284810126582,prior,False,one_standard_error,0.736013986014,-0.007867132867,0.358360806595,0.056721038287,0.461538461538,0.0,2.643356643357,0.0,0.272727272727,0.0,0.5,0.0,0.858407079646,0.0,0.033010254249,0.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,158,32,126,22.0,0.174603174603,0.728146853147,0.415081844882,25,10.0,0.4,2.290909090909,0.454545454545,0.625,0.881188118812,0.055791293415,57,0.360759493671,prior,False,one_standard_error,0.736013986014,-0.007867132867,0.358360806595,0.056721038287,0.4,0.0,2.290909090909,0.0,0.454545454545,0.0,0.625,0.0,0.881188118812,0.0,0.055791293415,0.0
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,158,32,126,22.0,0.174603174603,0.728146853147,0.415081844882,38,13.0,0.342105263158,1.959330143541,0.590909090909,0.71875,0.897727272727,0.07233044733,70,0.443037974684,prior,False,one_standard_error,0.736013986014,-0.007867132867,0.358360806595,0.056721038287,0.368421052632,-0.026315789474,2.11004784689,-0.150717703349,0.636363636364,-0.045454545455,0.75,-0.03125,0.909090909091,-0.011363636364,0.083694083694,-0.011363636364
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,118,12,106,14.0,0.132075471698,0.674689440994,0.300525869645,5,1.0,0.2,1.514285714286,0.071428571429,0.315789473684,0.871287128713,0.003362600411,17,0.14406779661,prior,False,one_standard_error,0.697204968944,-0.02251552795,0.272762505697,0.027763363948,0.4,-0.2,3.028571428571,-1.514285714286,0.142857142857,-0.071428571429,0.368421052632,-0.052631578947,0.881188118812,-0.009900990099,0.01326359051,-0.009900990099
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,118,12,106,14.0,0.132075471698,0.674689440994,0.300525869645,11,3.0,0.272727272727,2.064935064935,0.214285714286,0.421052631579,0.884210526316,0.016285998014,23,0.194915254237,prior,False,one_standard_error,0.697204968944,-0.02251552795,0.272762505697,0.027763363948,0.363636363636,-0.090909090909,2.753246753247,-0.688311688312,0.285714285714,-0.071428571429,0.473684210526,-0.052631578947,0.894736842105,-0.010526315789,0.026812313803,-0.010526315789
