model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty,primary,group_cv_unavailable,,,,15,2,13,1.0,0.076923076923,0.25,0.1,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,prior,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_support,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,15,2,13,1.0,0.076923076923,0.25,0.1,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,15,2,13,1.0,0.076923076923,1.0,1.0,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,15,2,13,1.0,0.076923076923,1.0,1.0,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,17,2,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,2,0.117647058824,15.0,1.0,0.066666666667,0.785714285714,0.25,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,prior,primary,insufficient_residual_n,,,,17,2,0,0.0,,,,0,,,,,,,,2,0.117647058824,0.0,0.0,,,,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior,primary,insufficient_residual_n,,,,17,2,0,0.0,,,,0,,,,,,,,2,0.117647058824,0.0,0.0,,,,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_support,primary,insufficient_residual_n,,,,17,2,0,0.0,,,,0,,,,,,,,2,0.117647058824,0.0,0.0,,,,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,insufficient_residual_n,,,,17,2,0,0.0,,,,0,,,,,,,,2,0.117647058824,0.0,0.0,,,,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,17,2,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,2,0.117647058824,15.0,1.0,0.066666666667,0.785714285714,0.25,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,17,2,15,1.0,0.066666666667,1.0,1.0,0,,,,,,,,2,0.117647058824,15.0,1.0,0.066666666667,1.0,1.0,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,17,2,15,1.0,0.066666666667,1.0,1.0,0,,,,,,,,2,0.117647058824,15.0,1.0,0.066666666667,1.0,1.0,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,fixed_hgb_upe,baseline,insufficient_residual_n,,,,17,2,0,0.0,,,,0,,,,,,,,2,0.117647058824,0.0,0.0,,,,0.0,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty,primary,group_cv_unavailable,,,,15,2,13,1.0,0.076923076923,0.25,0.1,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,prior,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_support,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior_support,primary,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,15,2,13,1.0,0.076923076923,0.25,0.1,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,15,2,13,1.0,0.076923076923,1.0,1.0,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,native_density,baseline,complete,native_domain_density_distance,,,15,2,13,1.0,0.076923076923,1.0,1.0,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,validation,fixed_hgb_upe,baseline,insufficient_residual_n,,,,15,2,0,0.0,,,,0,,,,,,,,2,0.133333333333,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,17,2,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,2,0.117647058824,15.0,1.0,0.066666666667,0.785714285714,0.25,0.0,,,,,,,
