model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_deduplicated_review_error_rate,delta_deduplicated_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_deduplicated_review_lift,delta_deduplicated_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,17,2,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,2,0.117647058824,uncertainty,True,no_finite_group_cv_candidate,0.785714285714,0.0,0.785714285714,0.0,0.25,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,17,2,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,2,0.117647058824,uncertainty,True,no_finite_group_cv_candidate,0.785714285714,0.0,0.785714285714,0.0,0.25,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,17,2,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,2,0.117647058824,uncertainty,True,no_finite_group_cv_candidate,0.785714285714,0.0,0.785714285714,0.0,0.25,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,17,2,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,15,1.0,0.066666666667,0.785714285714,0.25,0,,,,,,,,2,0.117647058824,uncertainty,True,no_finite_group_cv_candidate,0.785714285714,0.0,0.785714285714,0.0,0.25,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.2,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,17,3,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,3,0.176470588235,uncertainty,True,no_finite_group_cv_candidate,0.846153846154,0.0,0.846153846154,0.0,0.333333333333,0.0,0.333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.2,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,17,3,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,3,0.176470588235,uncertainty,True,no_finite_group_cv_candidate,0.846153846154,0.0,0.846153846154,0.0,0.333333333333,0.0,0.333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.2,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,17,3,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,3,0.176470588235,uncertainty,True,no_finite_group_cv_candidate,0.846153846154,0.0,0.846153846154,0.0,0.333333333333,0.0,0.333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.8,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,17,3,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,14,1.0,0.071428571429,0.846153846154,0.333333333333,0,,,,,,,,3,0.176470588235,uncertainty,True,no_finite_group_cv_candidate,0.846153846154,0.0,0.846153846154,0.0,0.333333333333,0.0,0.333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.9,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,6,1,5,0.0,0.0,,,0,,,,,,,,5,0.0,0.0,,,0,,,,,,,,1,0.166666666667,uncertainty,True,no_finite_group_cv_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrugBAN,human,seed_4,target,base,0.9,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,6,1,5,0.0,0.0,,,0,,,,,,,,5,0.0,0.0,,,0,,,,,,,,1,0.166666666667,uncertainty,True,no_finite_group_cv_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
