model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty,primary,complete,calibrated_error_risk,0.37893525733,0.112299418534,916,92,824,143.0,0.17354368932,0.592998778021,0.262520358958,41,15.0,0.365853658537,2.108135766672,0.104895104895,0.288888888889,0.836526181354,0.010069870674,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.335003140396,0.097522184021,916,92,824,143.0,0.17354368932,0.606502161568,0.222248713857,41,9.0,0.219512195122,1.264881460003,0.062937062937,0.255555555556,0.828863346105,0.002407035425,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.335054532872,0.097492758985,916,92,824,143.0,0.17354368932,0.606399474241,0.221704735983,41,9.0,0.219512195122,1.264881460003,0.062937062937,0.255555555556,0.828863346105,0.002407035425,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.376427308659,0.063907060704,916,92,824,143.0,0.17354368932,0.668268588973,0.307367618137,41,18.0,0.439024390244,2.529762920007,0.125874125874,0.305555555556,0.840357598978,0.013901288299,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.451560101997,0.150136370828,916,92,824,143.0,0.17354368932,0.634741176591,0.293663248401,41,14.0,0.341463414634,1.967593382228,0.097902097902,0.283333333333,0.835249042146,0.008792731466,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,916,92,824,143.0,0.17354368932,0.574063234856,0.239196981762,41,12.0,0.292682926829,1.686508613338,0.083916083916,0.272222222222,0.832694763729,0.00623845305,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,916,92,824,143.0,0.17354368932,0.467386504831,0.170620000883,41,6.666666666667,0.162601626016,0.936949229632,0.04662004662,0.242592592593,0.825883354619,-0.000572956061,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,916,92,824,143.0,0.17354368932,0.463407370896,0.170199627262,41,5.0,0.121951219512,0.702711922224,0.034965034965,0.233333333333,0.823754789272,-0.002701521408,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.164643556586,0.026272374606,916,92,824,143.0,0.17354368932,0.428319111138,0.149345307787,41,4.0,0.09756097561,0.562169537779,0.027972027972,0.227777777778,0.822477650064,-0.003978660616,133,0.14519650655
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,215,22,193,36.0,0.186528497409,0.552901627742,0.212464741535,10,2.0,0.2,1.072222222222,0.055555555556,0.170731707317,0.814207650273,0.000736147683,32,0.148837209302
