model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,215,22,193,36.0,0.186528497409,0.552901627742,0.212464741535,10,2.0,0.2,1.072222222222,0.055555555556,0.170731707317,0.814207650273,0.000736147683,32,0.148837209302,uncertainty,True,uncertainty_selected,0.552901627742,0.0,0.212464741535,0.0,0.2,0.0,1.072222222222,0.0,0.055555555556,0.0,0.170731707317,0.0,0.814207650273,0.0,0.000736147683,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,215,22,193,36.0,0.186528497409,0.552901627742,0.212464741535,19,4.0,0.210526315789,1.12865497076,0.111111111111,0.219512195122,0.816091954023,0.002620451432,41,0.190697674419,uncertainty,True,uncertainty_selected,0.552901627742,0.0,0.212464741535,0.0,0.210526315789,0.0,1.12865497076,0.0,0.111111111111,0.0,0.219512195122,0.0,0.816091954023,0.0,0.002620451432,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,215,22,193,36.0,0.186528497409,0.552901627742,0.212464741535,39,7.0,0.179487179487,0.962250712251,0.194444444444,0.292682926829,0.811688311688,-0.001783190902,61,0.283720930233,uncertainty,True,uncertainty_selected,0.552901627742,0.0,0.212464741535,0.0,0.179487179487,0.0,0.962250712251,0.0,0.194444444444,0.0,0.292682926829,0.0,0.811688311688,0.0,-0.001783190902,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,215,22,193,36.0,0.186528497409,0.552901627742,0.212464741535,58,13.0,0.224137931034,1.20162835249,0.361111111111,0.439024390244,0.82962962963,0.016158127039,80,0.372093023256,uncertainty,True,uncertainty_selected,0.552901627742,0.0,0.212464741535,0.0,0.224137931034,0.0,1.20162835249,0.0,0.361111111111,0.0,0.439024390244,0.0,0.82962962963,0.0,0.016158127039,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,215,43,172,31.0,0.18023255814,0.546785632578,0.197782383469,9,1.0,0.111111111111,0.616487455197,0.032258064516,0.268292682927,0.815950920245,-0.003816521615,52,0.241860465116,uncertainty,True,uncertainty_selected,0.546785632578,0.0,0.197782383469,0.0,0.111111111111,0.0,0.616487455197,0.0,0.032258064516,0.0,0.268292682927,0.0,0.815950920245,0.0,-0.003816521615,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,215,43,172,31.0,0.18023255814,0.546785632578,0.197782383469,17,2.0,0.117647058824,0.65275142315,0.064516129032,0.292682926829,0.812903225806,-0.006864216054,60,0.279069767442,uncertainty,True,uncertainty_selected,0.546785632578,0.0,0.197782383469,0.0,0.117647058824,0.0,0.65275142315,0.0,0.064516129032,0.0,0.292682926829,0.0,0.812903225806,0.0,-0.006864216054,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,215,43,172,31.0,0.18023255814,0.546785632578,0.197782383469,34,6.0,0.176470588235,0.979127134725,0.193548387097,0.390243902439,0.81884057971,-0.00092686215,77,0.358139534884,uncertainty,True,uncertainty_selected,0.546785632578,0.0,0.197782383469,0.0,0.176470588235,0.0,0.979127134725,0.0,0.193548387097,0.0,0.390243902439,0.0,0.81884057971,0.0,-0.00092686215,0.0
PACE,bindingdb,seed_4,target,base,0.8,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,215,43,172,31.0,0.18023255814,0.546785632578,0.197782383469,52,10.0,0.192307692308,1.06699751861,0.322580645161,0.487804878049,0.825,0.00523255814,95,0.441860465116,uncertainty,True,uncertainty_selected,0.546785632578,0.0,0.197782383469,0.0,0.192307692308,0.0,1.06699751861,0.0,0.322580645161,0.0,0.487804878049,0.0,0.825,0.0,0.00523255814,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,94,9,85,13.0,0.152941176471,0.547008547009,0.25112067603,4,1.0,0.25,1.634615384615,0.076923076923,0.2,0.851851851852,0.004793028322,13,0.13829787234,prior,False,one_standard_error,0.54594017094,0.001068376068,0.208257901174,0.042862774856,0.25,0.0,1.634615384615,0.0,0.076923076923,0.0,0.2,0.0,0.851851851852,0.0,0.004793028322,0.0
PACE,bindingdb,seed_4,target,base,0.9,0.1,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,94,9,85,13.0,0.152941176471,0.547008547009,0.25112067603,8,1.0,0.125,0.817307692308,0.076923076923,0.2,0.844155844156,-0.002902979374,17,0.18085106383,prior,False,one_standard_error,0.54594017094,0.001068376068,0.208257901174,0.042862774856,0.25,-0.125,1.634615384615,-0.817307692308,0.153846153846,-0.076923076923,0.266666666667,-0.066666666667,0.857142857143,-0.012987012987,0.010084033613,-0.012987012987
