model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty,primary,complete,calibrated_error_risk,0.276274274362,0.039917920716,1039,104,935,154.0,0.164705882353,0.655819212797,0.247048256817,47,14.0,0.297872340426,1.808510638298,0.090909090909,0.263157894737,0.842342342342,0.007048224695,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.382839501146,0.035421305414,1039,104,935,154.0,0.164705882353,0.763947320285,0.371027959628,47,19.0,0.404255319149,2.454407294833,0.123376623377,0.289473684211,0.847972972973,0.012678855326,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.38125794806,0.035626486365,1039,104,935,154.0,0.164705882353,0.763007798859,0.369550123329,47,19.0,0.404255319149,2.454407294833,0.123376623377,0.289473684211,0.847972972973,0.012678855326,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.286356576838,0.043339564759,1039,104,935,154.0,0.164705882353,0.68067080167,0.245623889465,47,8.0,0.170212765957,1.033434650456,0.051948051948,0.231578947368,0.835585585586,0.000291467939,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.295635366064,0.051077216897,1039,104,935,154.0,0.164705882353,0.671924106623,0.254065283438,47,14.0,0.297872340426,1.808510638298,0.090909090909,0.263157894737,0.842342342342,0.007048224695,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,1039,104,935,154.0,0.164705882353,0.670419209472,0.260689780502,47,17.0,0.36170212766,2.196048632219,0.11038961039,0.278947368421,0.845720720721,0.010426603074,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,1039,104,935,154.0,0.164705882353,0.574533980744,0.191180671869,47,10.0,0.212765957447,1.29179331307,0.064935064935,0.242105263158,0.837837837838,0.002543720191,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,1039,104,935,154.0,0.164705882353,0.546327552089,0.181491960286,47,8.0,0.170212765957,1.033434650456,0.051948051948,0.231578947368,0.835585585586,0.000291467939,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.242080144806,0.039747297945,1039,104,935,154.0,0.164705882353,0.63771471806,0.217635537656,47,8.0,0.170212765957,1.033434650456,0.051948051948,0.231578947368,0.835585585586,0.000291467939,151,0.145332050048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,278,28,250,38.0,0.152,0.708912611718,0.340585487706,12,4.0,0.333333333333,2.19298245614,0.105263157895,0.244444444444,0.857142857143,0.009142857143,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768867924528,0.382708556697,12,6.0,0.5,3.289473684211,0.157894736842,0.288888888889,0.865546218487,0.017546218487,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,278,28,250,38.0,0.152,0.768619662363,0.388083328372,12,6.0,0.5,3.289473684211,0.157894736842,0.288888888889,0.865546218487,0.017546218487,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.890640516385,0.536857607174,12,6.0,0.5,3.289473684211,0.157894736842,0.288888888889,0.865546218487,0.017546218487,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.894364448858,0.600489078091,12,7.0,0.583333333333,3.837719298246,0.184210526316,0.311111111111,0.86974789916,0.02174789916,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,raw_uncertainty,baseline,complete,raw_error_risk,,,278,28,250,38.0,0.152,0.708912611718,0.340585487706,12,4.0,0.333333333333,2.19298245614,0.105263157895,0.244444444444,0.857142857143,0.009142857143,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,native_max_shift,baseline,complete,native_domain_shift_score,,,278,28,250,38.0,0.152,0.580064548163,0.184430424504,12,2.0,0.166666666667,1.09649122807,0.052631578947,0.2,0.848739495798,0.000739495798,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,native_density,baseline,complete,native_domain_density_distance,,,278,28,250,38.0,0.152,0.567961767627,0.201468843706,12,2.0,0.166666666667,1.09649122807,0.052631578947,0.2,0.848739495798,0.000739495798,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.05,test,fixed_hgb_upe,baseline,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,278,28,250,38.0,0.152,0.897467725919,0.653699909403,12,9.0,0.75,4.934210526316,0.236842105263,0.355555555556,0.878151260504,0.030151260504,40,0.143884892086
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty,primary,complete,calibrated_error_risk,0.276274274362,0.039917920716,1039,104,935,154.0,0.164705882353,0.655819212797,0.247048256817,94,22.0,0.234042553191,1.420972644377,0.142857142857,0.305263157895,0.843043995244,0.007749877597,198,0.190567853705
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.382839501146,0.035421305414,1039,104,935,154.0,0.164705882353,0.763947320285,0.371027959628,94,34.0,0.36170212766,2.196048632219,0.220779220779,0.368421052632,0.857312722949,0.022018605302,198,0.190567853705
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.38125794806,0.035626486365,1039,104,935,154.0,0.164705882353,0.763007798859,0.369550123329,94,34.0,0.36170212766,2.196048632219,0.220779220779,0.368421052632,0.857312722949,0.022018605302,198,0.190567853705
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.286356576838,0.043339564759,1039,104,935,154.0,0.164705882353,0.68067080167,0.245623889465,94,24.0,0.255319148936,1.550151975684,0.155844155844,0.315789473684,0.845422116528,0.010127998881,198,0.190567853705
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.295635366064,0.051077216897,1039,104,935,154.0,0.164705882353,0.671924106623,0.254065283438,94,30.0,0.31914893617,1.937689969605,0.194805194805,0.347368421053,0.85255648038,0.017262362733,198,0.190567853705
PACE,biosnap,seed_4,target,base,0.8,0.1,0.1,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,1039,104,935,154.0,0.164705882353,0.670419209472,0.260689780502,94,27.0,0.287234042553,1.743920972644,0.175324675325,0.331578947368,0.848989298454,0.013695180807,198,0.190567853705
