model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_deduplicated_review_error_rate,delta_deduplicated_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_deduplicated_review_lift,delta_deduplicated_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
PACE,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,95,10,85,17.0,0.2,0.717993079585,0.438692689274,4,2.0,0.5,2.5,0.117647058824,0.25,0.814814814815,0.014814814815,74,17.0,0.22972972973,0.72342621259,0.508253816751,4,2.0,0.5,2.176470588235,0.117647058824,0.25,0.785714285714,0.015444015444,14,0.147368421053,uncertainty_prior_support,False,one_standard_error,0.828719723183,-0.110726643599,0.857585139319,-0.134158926729,0.452735026411,-0.014042337137,0.576515938886,-0.068262122135,0.25,0.25,0.5,0.0,1.25,1.25,2.176470588235,0.0,0.058823529412,0.058823529412,0.117647058824,0.0,0.2,0.05,0.25,0.0,0.802469135802,0.012345679012,0.785714285714,0.0,0.002469135802,0.012345679012,0.015444015444,0.0
PACE,human,seed_4,target,base,0.8,0.1,0.1,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,95,10,85,17.0,0.2,0.717993079585,0.438692689274,8,4.0,0.5,2.5,0.235294117647,0.35,0.831168831169,0.031168831169,74,17.0,0.22972972973,0.72342621259,0.508253816751,7,5.0,0.714285714286,3.109243697479,0.294117647059,0.4,0.820895522388,0.050625252118,18,0.189473684211,uncertainty_prior_support,False,one_standard_error,0.828719723183,-0.110726643599,0.857585139319,-0.134158926729,0.452735026411,-0.014042337137,0.576515938886,-0.068262122135,0.5,0.0,0.571428571429,0.142857142857,2.5,0.0,2.487394957983,0.621848739496,0.235294117647,0.0,0.235294117647,0.058823529412,0.35,0.0,0.35,0.05,0.831168831169,0.0,0.805970149254,0.014925373134,0.031168831169,0.0,0.035699878983,0.014925373134
PACE,human,seed_4,target,base,0.8,0.1,0.2,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,95,10,85,17.0,0.2,0.717993079585,0.438692689274,17,8.0,0.470588235294,2.352941176471,0.470588235294,0.55,0.867647058824,0.067647058824,74,17.0,0.22972972973,0.72342621259,0.508253816751,15,8.0,0.533333333333,2.321568627451,0.470588235294,0.55,0.847457627119,0.077187356848,27,0.284210526316,uncertainty_prior_support,False,one_standard_error,0.828719723183,-0.110726643599,0.857585139319,-0.134158926729,0.452735026411,-0.014042337137,0.576515938886,-0.068262122135,0.529411764706,-0.058823529412,0.6,-0.066666666667,2.647058823529,-0.294117647059,2.611764705882,-0.290196078431,0.529411764706,-0.058823529412,0.529411764706,-0.058823529412,0.6,-0.05,0.6,-0.05,0.882352941176,-0.014705882353,0.864406779661,-0.016949152542,0.082352941176,-0.014705882353,0.094136509391,-0.016949152542
PACE,human,seed_4,target,base,0.8,0.1,0.3,test,uncertainty_prior_support,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,95,10,85,17.0,0.2,0.717993079585,0.438692689274,26,12.0,0.461538461538,2.307692307692,0.705882352941,0.75,0.915254237288,0.115254237288,74,17.0,0.22972972973,0.72342621259,0.508253816751,22,12.0,0.545454545455,2.374331550802,0.705882352941,0.75,0.903846153846,0.133575883576,36,0.378947368421,uncertainty_prior_support,False,one_standard_error,0.828719723183,-0.110726643599,0.857585139319,-0.134158926729,0.452735026411,-0.014042337137,0.576515938886,-0.068262122135,0.5,-0.038461538462,0.590909090909,-0.045454545455,2.5,-0.192307692308,2.572192513369,-0.197860962567,0.764705882353,-0.058823529412,0.764705882353,-0.058823529412,0.8,-0.05,0.8,-0.05,0.932203389831,-0.016949152542,0.923076923077,-0.019230769231,0.132203389831,-0.016949152542,0.152806652807,-0.019230769231
PACE,human,seed_4,target,base,0.8,0.2,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,95,19,76,13.0,0.171052631579,0.821733821734,0.515975990873,4,3.0,0.75,4.384615384615,0.230769230769,0.5,0.861111111111,0.03216374269,67,13.0,0.194029850746,0.833333333333,0.563901523889,3,2.0,0.666666666667,3.435897435897,0.153846153846,0.45,0.828125,0.022154850746,23,0.242105263158,prior,False,one_standard_error,0.855921855922,-0.034188034188,0.868945868946,-0.035612535613,0.599110860341,-0.083134869468,0.684344622723,-0.120443098833,0.75,0.0,1.0,-0.333333333333,4.384615384615,0.0,5.153846153846,-1.717948717949,0.230769230769,0.0,0.230769230769,-0.076923076923,0.5,0.0,0.5,-0.05,0.861111111111,0.0,0.84375,-0.015625,0.03216374269,0.0,0.037779850746,-0.015625
PACE,human,seed_4,target,base,0.8,0.2,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,95,19,76,13.0,0.171052631579,0.821733821734,0.515975990873,8,4.0,0.5,2.923076923077,0.307692307692,0.55,0.867647058824,0.038699690402,67,13.0,0.194029850746,0.833333333333,0.563901523889,7,4.0,0.571428571429,2.945054945055,0.307692307692,0.55,0.85,0.044029850746,27,0.284210526316,prior,False,one_standard_error,0.855921855922,-0.034188034188,0.868945868946,-0.035612535613,0.599110860341,-0.083134869468,0.684344622723,-0.120443098833,0.625,-0.125,0.714285714286,-0.142857142857,3.653846153846,-0.730769230769,3.681318681319,-0.736263736264,0.384615384615,-0.076923076923,0.384615384615,-0.076923076923,0.6,-0.05,0.6,-0.05,0.882352941176,-0.014705882353,0.866666666667,-0.016666666667,0.053405572755,-0.014705882353,0.060696517413,-0.016666666667
PACE,human,seed_4,target,base,0.8,0.2,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,95,19,76,13.0,0.171052631579,0.821733821734,0.515975990873,15,7.0,0.466666666667,2.728205128205,0.538461538462,0.7,0.901639344262,0.072691975841,67,13.0,0.194029850746,0.833333333333,0.563901523889,13,7.0,0.538461538462,2.775147928994,0.538461538462,0.7,0.888888888889,0.082918739635,34,0.357894736842,prior,False,one_standard_error,0.855921855922,-0.034188034188,0.868945868946,-0.035612535613,0.599110860341,-0.083134869468,0.684344622723,-0.120443098833,0.533333333333,-0.066666666667,0.615384615385,-0.076923076923,3.117948717949,-0.389743589744,3.171597633136,-0.396449704142,0.615384615385,-0.076923076923,0.615384615385,-0.076923076923,0.75,-0.05,0.75,-0.05,0.918032786885,-0.016393442623,0.907407407407,-0.018518518519,0.089085418464,-0.016393442623,0.101437258154,-0.018518518519
PACE,human,seed_4,target,base,0.8,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,95,19,76,13.0,0.171052631579,0.821733821734,0.515975990873,23,9.0,0.391304347826,2.28762541806,0.692307692308,0.8,0.924528301887,0.095580933466,67,13.0,0.194029850746,0.833333333333,0.563901523889,20,9.0,0.45,2.319230769231,0.692307692308,0.8,0.914893617021,0.108923467768,42,0.442105263158,prior,False,one_standard_error,0.855921855922,-0.034188034188,0.868945868946,-0.035612535613,0.599110860341,-0.083134869468,0.684344622723,-0.120443098833,0.391304347826,0.0,0.45,0.0,2.28762541806,0.0,2.319230769231,0.0,0.692307692308,0.0,0.692307692308,0.0,0.8,0.0,0.8,0.0,0.924528301887,0.0,0.914893617021,0.0,0.095580933466,0.0,0.108923467768,0.0
PACE,human,seed_4,target,base,0.9,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,91,9,82,17.0,0.207317073171,0.87149321267,0.625201531551,4,3.0,0.75,3.617647058824,0.176470588235,0.263157894737,0.820512820513,0.027829893684,73,17.0,0.232876712329,0.879201680672,0.667786405934,4,3.0,0.75,3.220588235294,0.176470588235,0.263157894737,0.797101449275,0.029978161604,13,0.142857142857,prior,False,one_standard_error,0.866968325792,0.004524886878,0.872899159664,0.006302521008,0.628407841227,-0.003206309676,0.665651380803,0.002135025131,0.75,0.0,0.75,0.0,3.617647058824,0.0,3.220588235294,0.0,0.176470588235,0.0,0.176470588235,0.0,0.263157894737,0.0,0.263157894737,0.0,0.820512820513,0.0,0.797101449275,0.0,0.027829893684,0.0,0.029978161604,0.0
PACE,human,seed_4,target,base,0.9,0.1,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,91,9,82,17.0,0.207317073171,0.87149321267,0.625201531551,8,5.0,0.625,3.014705882353,0.294117647059,0.368421052632,0.837837837838,0.045154911009,73,17.0,0.232876712329,0.879201680672,0.667786405934,7,5.0,0.714285714286,3.067226890756,0.294117647059,0.368421052632,0.818181818182,0.051058530511,17,0.186813186813,prior,False,one_standard_error,0.866968325792,0.004524886878,0.872899159664,0.006302521008,0.628407841227,-0.003206309676,0.665651380803,0.002135025131,0.75,-0.125,0.714285714286,0.0,3.617647058824,-0.602941176471,3.067226890756,0.0,0.352941176471,-0.058823529412,0.294117647059,0.0,0.421052631579,-0.052631578947,0.368421052632,0.0,0.851351351351,-0.013513513514,0.818181818182,0.0,0.058668424522,-0.013513513514,0.051058530511,0.0
