model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty,primary,complete,calibrated_error_risk,0.225022815913,0.045754219892,812,81,731,83.0,0.113543091655,0.605533244087,0.185504029862,37,8.0,0.216216216216,1.904265711495,0.096385542169,0.299065420561,0.891930835735,0.00547392739,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.226883444649,0.036601339761,812,81,731,83.0,0.113543091655,0.624851256879,0.174789411804,37,9.0,0.243243243243,2.142298925431,0.10843373494,0.308411214953,0.893371757925,0.00691484958,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.226544569221,0.03652426339,812,81,731,83.0,0.113543091655,0.624739699539,0.174521087218,37,9.0,0.243243243243,2.142298925431,0.10843373494,0.308411214953,0.893371757925,0.00691484958,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.217138963983,0.043637110063,812,81,731,83.0,0.113543091655,0.659266696415,0.185037854968,37,7.0,0.189189189189,1.666232497558,0.084337349398,0.289719626168,0.890489913545,0.0040330052,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.17880310076,0.040919027449,812,81,731,83.0,0.113543091655,0.588446378105,0.145769418918,37,3.0,0.081081081081,0.71409964181,0.036144578313,0.252336448598,0.884726224784,-0.001730683561,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,812,81,731,83.0,0.113543091655,0.623103525212,0.179318796464,37,7.0,0.189189189189,1.666232497558,0.084337349398,0.289719626168,0.890489913545,0.0040330052,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,812,81,731,83.0,0.113543091655,0.529795106351,0.120195137595,37,4.0,0.108108108108,0.952132855747,0.048192771084,0.261682242991,0.886167146974,-0.000289761371,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,812,81,731,83.0,0.113543091655,0.514428082701,0.116550567857,37,5.0,0.135135135135,1.190166069684,0.060240963855,0.271028037383,0.887608069164,0.00115116082,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.154075181671,0.023668544174,812,81,731,83.0,0.113543091655,0.567743195002,0.13799835853,37,5.0,0.135135135135,1.190166069684,0.060240963855,0.271028037383,0.887608069164,0.00115116082,118,0.145320197044
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,224,22,202,23.0,0.113861386139,0.619383045907,0.203211419395,10,3.0,0.3,2.634782608696,0.130434782609,0.259259259259,0.895833333333,0.009694719472,32,0.142857142857
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,224,22,202,23.0,0.113861386139,0.725771192616,0.295956925625,10,4.0,0.4,3.513043478261,0.173913043478,0.296296296296,0.901041666667,0.014903052805,32,0.142857142857
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,224,22,202,23.0,0.113861386139,0.725771192616,0.295956925625,10,4.0,0.4,3.513043478261,0.173913043478,0.296296296296,0.901041666667,0.014903052805,32,0.142857142857
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty_support,primary,complete,calibrated_error_risk|log_drug_fit_count|log_target_fit_count|fit_entity_support_min|fit_entity_support_imbalance|fit_joint_novelty|fit_one_sided_novelty|drug_morgan_nearest_train_distance|drug_morgan_knn_distance|target_esm_nearest_train_distance|target_esm_knn_distance|native_domain_shift_score|native_domain_density_distance|native_support_imbalance|native_density_imbalance,,,224,22,202,23.0,0.113861386139,0.837260140879,0.403232338637,10,5.0,0.5,4.391304347826,0.217391304348,0.333333333333,0.90625,0.020111386139,32,0.142857142857
