model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,224,22,202,23.0,0.113861386139,0.619383045907,0.203211419395,10,3.0,0.3,2.634782608696,0.130434782609,0.259259259259,0.895833333333,0.009694719472,32,0.142857142857,uncertainty,True,uncertainty_selected,0.619383045907,0.0,0.203211419395,0.0,0.3,0.0,2.634782608696,0.0,0.130434782609,0.0,0.259259259259,0.0,0.895833333333,0.0,0.009694719472,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,224,22,202,23.0,0.113861386139,0.619383045907,0.203211419395,20,4.0,0.2,1.75652173913,0.173913043478,0.296296296296,0.895604395604,0.009465781743,42,0.1875,uncertainty,True,uncertainty_selected,0.619383045907,0.0,0.203211419395,0.0,0.2,0.0,1.75652173913,0.0,0.173913043478,0.0,0.296296296296,0.0,0.895604395604,0.0,0.009465781743,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,224,22,202,23.0,0.113861386139,0.619383045907,0.203211419395,40,8.0,0.2,1.75652173913,0.347826086957,0.444444444444,0.907407407407,0.021268793546,62,0.276785714286,uncertainty,True,uncertainty_selected,0.619383045907,0.0,0.203211419395,0.0,0.2,0.0,1.75652173913,0.0,0.347826086957,0.0,0.444444444444,0.0,0.907407407407,0.0,0.021268793546,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,224,22,202,23.0,0.113861386139,0.619383045907,0.203211419395,61,12.0,0.196721311475,1.727726300784,0.521739130435,0.592592592593,0.921985815603,0.035847201741,83,0.370535714286,uncertainty,True,uncertainty_selected,0.619383045907,0.0,0.203211419395,0.0,0.196721311475,0.0,1.727726300784,0.0,0.521739130435,0.0,0.592592592593,0.0,0.921985815603,0.0,0.035847201741,0.0
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.05,test,prior,primary,complete,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,224,45,179,19.0,0.106145251397,0.687171052632,0.216043405175,9,3.0,0.333333333333,3.140350877193,0.157894736842,0.407407407407,0.905882352941,0.012027604338,54,0.241071428571,prior,False,one_standard_error,0.611513157895,0.075657894737,0.212066860991,0.003976544184,0.222222222222,0.111111111111,2.093567251462,1.046783625731,0.105263157895,0.052631578947,0.37037037037,0.037037037037,0.9,0.005882352941,0.006145251397,0.005882352941
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.1,test,prior,primary,complete,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,224,45,179,19.0,0.106145251397,0.687171052632,0.216043405175,18,5.0,0.277777777778,2.616959064327,0.263157894737,0.481481481481,0.913043478261,0.019188729658,63,0.28125,prior,False,one_standard_error,0.611513157895,0.075657894737,0.212066860991,0.003976544184,0.222222222222,0.055555555556,2.093567251462,0.523391812865,0.210526315789,0.052631578947,0.444444444444,0.037037037037,0.906832298137,0.006211180124,0.012977549533,0.006211180124
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.2,test,prior,primary,complete,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,224,45,179,19.0,0.106145251397,0.687171052632,0.216043405175,36,7.0,0.194444444444,1.831871345029,0.368421052632,0.555555555556,0.916083916084,0.022229167481,81,0.361607142857,prior,False,one_standard_error,0.611513157895,0.075657894737,0.212066860991,0.003976544184,0.222222222222,-0.027777777778,2.093567251462,-0.261695906433,0.421052631579,-0.052631578947,0.592592592593,-0.037037037037,0.923076923077,-0.006993006993,0.029222174474,-0.006993006993
TAPB,biosnap,seed_4,target,base,0.8,0.2,0.3,test,prior,primary,complete,prior_contradiction_logit|prior_support_logit|prior_negative_evidence|prior_contradiction_probability|prior_support_probability,,,224,45,179,19.0,0.106145251397,0.687171052632,0.216043405175,54,8.0,0.148148148148,1.395711500975,0.421052631579,0.592592592593,0.912,0.018145251397,99,0.441964285714,prior,False,one_standard_error,0.611513157895,0.075657894737,0.212066860991,0.003976544184,0.185185185185,-0.037037037037,1.744639376218,-0.348927875244,0.526315789474,-0.105263157895,0.666666666667,-0.074074074074,0.928,-0.016,0.034145251397,-0.016
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,185,18,167,16.0,0.095808383234,0.576158940397,0.178812005159,8,2.0,0.25,2.609375,0.125,0.3,0.911949685535,0.007758068768,26,0.140540540541,uncertainty,True,uncertainty_selected,0.576158940397,0.0,0.178812005159,0.0,0.25,0.0,2.609375,0.0,0.125,0.0,0.3,0.0,0.911949685535,0.0,0.007758068768,0.0
TAPB,biosnap,seed_4,target,base,0.9,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,185,18,167,16.0,0.095808383234,0.576158940397,0.178812005159,17,4.0,0.235294117647,2.455882352941,0.25,0.4,0.92,0.015808383234,35,0.189189189189,uncertainty,True,uncertainty_selected,0.576158940397,0.0,0.178812005159,0.0,0.235294117647,0.0,2.455882352941,0.0,0.25,0.0,0.4,0.0,0.92,0.0,0.015808383234,0.0
