model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty,primary,complete,calibrated_error_risk,0.569444444444,0.215613537448,40,4,36,4.0,0.111111111111,0.6640625,0.288194444444,2,0.0,0.0,0.0,0.0,0.2,0.882352941176,-0.006535947712,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,prior,primary,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.255952380952,0.067079926605,40,4,36,4.0,0.111111111111,0.5078125,0.165942028986,2,0.0,0.0,0.0,0.0,0.2,0.882352941176,-0.006535947712,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior,primary,complete,calibrated_error_risk|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.255952380952,0.067079926605,40,4,36,4.0,0.111111111111,0.515625,0.167424242424,2,0.0,0.0,0.0,0.0,0.2,0.882352941176,-0.006535947712,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.666666666667,0.166666666667,40,4,36,4.0,0.111111111111,0.8125,0.377005347594,2,1.0,0.5,4.5,0.25,0.4,0.911764705882,0.022875816993,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,uncertainty_prior_support,primary,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.444444444444,0.055555555556,40,4,36,4.0,0.111111111111,0.703125,0.293452380952,2,0.0,0.0,0.0,0.0,0.2,0.882352941176,-0.006535947712,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,raw_uncertainty,baseline,complete,raw_error_risk,,,40,4,36,4.0,0.111111111111,0.765625,0.635416666667,2,1.0,0.5,4.5,0.25,0.4,0.911764705882,0.022875816993,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,native_max_shift,baseline,complete,native_domain_shift_score,,,40,4,36,4.0,0.111111111111,0.1953125,0.084445646946,2,0.0,0.0,0.0,0.0,0.2,0.882352941176,-0.006535947712,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,native_density,baseline,complete,native_domain_density_distance,,,40,4,36,4.0,0.111111111111,0.265625,0.091753072197,2,0.0,0.0,0.0,0.0,0.2,0.882352941176,-0.006535947712,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,validation,fixed_hgb_upe,baseline,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.137914230019,0.058530273633,40,4,36,4.0,0.111111111111,0.5,0.111111111111,2,0.222222222222,0.111111111111,1.0,0.055555555556,0.244444444444,0.888888888889,0.0,6,0.15,,,,,,,,,,,,,
TAPB,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,61,6,55,7.0,0.127272727273,0.770833333333,0.28484015984,3,0.0,0.0,0.0,0.0,0.222222222222,0.865384615385,-0.007342657343,9,0.147540983607,45.0,7.0,0.155555555556,0.789473684211,0.351988487703,2.0,0.0,0.0,0.0,0.0,0.222222222222,0.837209302326,-0.007235142119
