model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,method,method_family,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,candidate_n,deferred_n,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,deduplicated_universe_n,deduplicated_universe_error_count,deduplicated_universe_error_rate,deduplicated_error_detection_auroc,deduplicated_error_detection_auprc,deduplicated_reviewed_n,deduplicated_review_error_count,deduplicated_review_error_rate,deduplicated_review_lift,deduplicated_review_recall_of_residual_errors,deduplicated_combined_recall_of_candidate_errors,deduplicated_retained_accuracy_after_review,deduplicated_retained_accuracy_gain_vs_residual,total_action_n,total_action_fraction,selected_profile,selection_fallback,selection_reason,uncertainty_error_detection_auroc,delta_error_detection_auroc_vs_uncertainty,uncertainty_deduplicated_error_detection_auroc,delta_deduplicated_error_detection_auroc_vs_uncertainty,uncertainty_error_detection_auprc,delta_error_detection_auprc_vs_uncertainty,uncertainty_deduplicated_error_detection_auprc,delta_deduplicated_error_detection_auprc_vs_uncertainty,uncertainty_review_error_rate,delta_review_error_rate_vs_uncertainty,uncertainty_deduplicated_review_error_rate,delta_deduplicated_review_error_rate_vs_uncertainty,uncertainty_review_lift,delta_review_lift_vs_uncertainty,uncertainty_deduplicated_review_lift,delta_deduplicated_review_lift_vs_uncertainty,uncertainty_review_recall_of_residual_errors,delta_review_recall_of_residual_errors_vs_uncertainty,uncertainty_deduplicated_review_recall_of_residual_errors,delta_deduplicated_review_recall_of_residual_errors_vs_uncertainty,uncertainty_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_deduplicated_combined_recall_of_candidate_errors,delta_deduplicated_combined_recall_of_candidate_errors_vs_uncertainty,uncertainty_retained_accuracy_after_review,delta_retained_accuracy_after_review_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_after_review,delta_deduplicated_retained_accuracy_after_review_vs_uncertainty,uncertainty_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual_vs_uncertainty,uncertainty_deduplicated_retained_accuracy_gain_vs_residual,delta_deduplicated_retained_accuracy_gain_vs_residual_vs_uncertainty
TAPB,human,seed_4,target,base,0.8,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,61,6,55,7.0,0.127272727273,0.770833333333,0.28484015984,3,0.0,0.0,0.0,0.0,0.222222222222,0.865384615385,-0.007342657343,45,7.0,0.155555555556,0.789473684211,0.351988487703,2,0.0,0.0,0.0,0.0,0.222222222222,0.837209302326,-0.007235142119,9,0.147540983607,uncertainty,True,uncertainty_selected,0.770833333333,0.0,0.789473684211,0.0,0.28484015984,0.0,0.351988487703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222222,0.0,0.222222222222,0.0,0.865384615385,0.0,0.837209302326,0.0,-0.007342657343,0.0,-0.007235142119,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,61,6,55,7.0,0.127272727273,0.770833333333,0.28484015984,6,1.0,0.166666666667,1.309523809524,0.142857142857,0.333333333333,0.877551020408,0.004823747681,45,7.0,0.155555555556,0.789473684211,0.351988487703,4,1.0,0.25,1.607142857143,0.142857142857,0.333333333333,0.853658536585,0.009214092141,12,0.196721311475,uncertainty,True,uncertainty_selected,0.770833333333,0.0,0.789473684211,0.0,0.28484015984,0.0,0.351988487703,0.0,0.166666666667,0.0,0.25,0.0,1.309523809524,0.0,1.607142857143,0.0,0.142857142857,0.0,0.142857142857,0.0,0.333333333333,0.0,0.333333333333,0.0,0.877551020408,0.0,0.853658536585,0.0,0.004823747681,0.0,0.009214092141,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,61,6,55,7.0,0.127272727273,0.770833333333,0.28484015984,11,3.0,0.272727272727,2.142857142857,0.428571428571,0.555555555556,0.909090909091,0.036363636364,45,7.0,0.155555555556,0.789473684211,0.351988487703,9,3.0,0.333333333333,2.142857142857,0.428571428571,0.555555555556,0.888888888889,0.044444444444,17,0.27868852459,uncertainty,True,uncertainty_selected,0.770833333333,0.0,0.789473684211,0.0,0.28484015984,0.0,0.351988487703,0.0,0.272727272727,0.0,0.333333333333,0.0,2.142857142857,0.0,2.142857142857,0.0,0.428571428571,0.0,0.428571428571,0.0,0.555555555556,0.0,0.555555555556,0.0,0.909090909091,0.0,0.888888888889,0.0,0.036363636364,0.0,0.044444444444,0.0
TAPB,human,seed_4,target,base,0.8,0.1,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,61,6,55,7.0,0.127272727273,0.770833333333,0.28484015984,16,6.0,0.375,2.946428571429,0.857142857143,0.888888888889,0.974358974359,0.101631701632,45,7.0,0.155555555556,0.789473684211,0.351988487703,14,6.0,0.428571428571,2.755102040816,0.857142857143,0.888888888889,0.967741935484,0.123297491039,22,0.360655737705,uncertainty,True,uncertainty_selected,0.770833333333,0.0,0.789473684211,0.0,0.28484015984,0.0,0.351988487703,0.0,0.375,0.0,0.428571428571,0.0,2.946428571429,0.0,2.755102040816,0.0,0.857142857143,0.0,0.857142857143,0.0,0.888888888889,0.0,0.888888888889,0.0,0.974358974359,0.0,0.967741935484,0.0,0.101631701632,0.0,0.123297491039,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,61,12,49,6.0,0.122448979592,0.829457364341,0.421043771044,2,1.0,0.5,4.083333333333,0.166666666667,0.444444444444,0.893617021277,0.016066000868,40,6.0,0.15,0.852941176471,0.506071428571,2,1.0,0.5,3.333333333333,0.166666666667,0.444444444444,0.868421052632,0.018421052632,14,0.229508196721,uncertainty,True,no_finite_group_cv_candidate,0.829457364341,0.0,0.852941176471,0.0,0.421043771044,0.0,0.506071428571,0.0,0.5,0.0,0.5,0.0,4.083333333333,0.0,3.333333333333,0.0,0.166666666667,0.0,0.166666666667,0.0,0.444444444444,0.0,0.444444444444,0.0,0.893617021277,0.0,0.868421052632,0.0,0.016066000868,0.0,0.018421052632,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,61,12,49,6.0,0.122448979592,0.829457364341,0.421043771044,5,2.0,0.4,3.266666666667,0.333333333333,0.555555555556,0.909090909091,0.031539888683,40,6.0,0.15,0.852941176471,0.506071428571,4,2.0,0.5,3.333333333333,0.333333333333,0.555555555556,0.888888888889,0.038888888889,17,0.27868852459,uncertainty,True,no_finite_group_cv_candidate,0.829457364341,0.0,0.852941176471,0.0,0.421043771044,0.0,0.506071428571,0.0,0.4,0.0,0.5,0.0,3.266666666667,0.0,3.333333333333,0.0,0.333333333333,0.0,0.333333333333,0.0,0.555555555556,0.0,0.555555555556,0.0,0.909090909091,0.0,0.888888888889,0.0,0.031539888683,0.0,0.038888888889,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.2,test,uncertainty,primary,complete,calibrated_error_risk,,,61,12,49,6.0,0.122448979592,0.829457364341,0.421043771044,10,5.0,0.5,4.083333333333,0.833333333333,0.888888888889,0.974358974359,0.096807953951,40,6.0,0.15,0.852941176471,0.506071428571,8,5.0,0.625,4.166666666667,0.833333333333,0.888888888889,0.96875,0.11875,22,0.360655737705,uncertainty,True,no_finite_group_cv_candidate,0.829457364341,0.0,0.852941176471,0.0,0.421043771044,0.0,0.506071428571,0.0,0.5,0.0,0.625,0.0,4.083333333333,0.0,4.166666666667,0.0,0.833333333333,0.0,0.833333333333,0.0,0.888888888889,0.0,0.888888888889,0.0,0.974358974359,0.0,0.96875,0.0,0.096807953951,0.0,0.11875,0.0
TAPB,human,seed_4,target,base,0.8,0.2,0.3,test,uncertainty,primary,complete,calibrated_error_risk,,,61,12,49,6.0,0.122448979592,0.829457364341,0.421043771044,15,5.0,0.333333333333,2.722222222222,0.833333333333,0.888888888889,0.970588235294,0.093037214886,40,6.0,0.15,0.852941176471,0.506071428571,12,5.0,0.416666666667,2.777777777778,0.833333333333,0.888888888889,0.964285714286,0.114285714286,27,0.44262295082,uncertainty,True,no_finite_group_cv_candidate,0.829457364341,0.0,0.852941176471,0.0,0.421043771044,0.0,0.506071428571,0.0,0.333333333333,0.0,0.416666666667,0.0,2.722222222222,0.0,2.777777777778,0.0,0.833333333333,0.0,0.833333333333,0.0,0.888888888889,0.0,0.888888888889,0.0,0.970588235294,0.0,0.964285714286,0.0,0.093037214886,0.0,0.114285714286,0.0
TAPB,human,seed_4,target,base,0.9,0.1,0.05,test,uncertainty,primary,complete,calibrated_error_risk,,,51,5,46,5.0,0.108695652174,0.839024390244,0.480952380952,2,1.0,0.5,4.6,0.2,0.333333333333,0.909090909091,0.017786561265,37,5.0,0.135135135135,0.88125,0.755454545455,2,2.0,1.0,7.4,0.4,0.5,0.914285714286,0.049420849421,7,0.137254901961,uncertainty,True,uncertainty_selected,0.839024390244,0.0,0.88125,0.0,0.480952380952,0.0,0.755454545455,0.0,0.5,0.0,1.0,0.0,4.6,0.0,7.4,0.0,0.2,0.0,0.4,0.0,0.333333333333,0.0,0.5,0.0,0.909090909091,0.0,0.914285714286,0.0,0.017786561265,0.0,0.049420849421,0.0
TAPB,human,seed_4,target,base,0.9,0.1,0.1,test,uncertainty,primary,complete,calibrated_error_risk,,,51,5,46,5.0,0.108695652174,0.839024390244,0.480952380952,5,2.0,0.4,3.68,0.4,0.5,0.926829268293,0.035524920467,37,5.0,0.135135135135,0.88125,0.755454545455,4,3.0,0.75,5.55,0.6,0.666666666667,0.939393939394,0.074529074529,10,0.196078431373,uncertainty,True,uncertainty_selected,0.839024390244,0.0,0.88125,0.0,0.480952380952,0.0,0.755454545455,0.0,0.4,0.0,0.75,0.0,3.68,0.0,5.55,0.0,0.4,0.0,0.6,0.0,0.5,0.0,0.666666666667,0.0,0.926829268293,0.0,0.939393939394,0.0,0.035524920467,0.0,0.074529074529,0.0
