split,model,dataset,test_run,group_axis,confidence_source,profile_label,auprc,delta_auprc_vs_U
test,DrugBAN,bindingdb,seed_4,drug,base,U,0.49747874999999997,0.0
test,DrugBAN,bindingdb,seed_5,drug,base,U,0.2532945,0.0
test,DrugBAN,bindingdb,seed_6,drug,base,U,0.14393899999999998,0.0
test,DrugBAN,bindingdb,seed_7,drug,base,U,0.3322285,0.0
test,DrugBAN,bindingdb,seed_8,drug,base,U,0.37083350000000004,0.0
test,DrugBAN,biosnap,seed_4,drug,base,U,0.2922305,0.0
test,DrugBAN,biosnap,seed_5,drug,base,U,0.34696699999999997,0.0
test,DrugBAN,biosnap,seed_6,drug,base,U,0.2852955,0.0
test,DrugBAN,biosnap,seed_7,drug,base,U,0.45382575,0.0
test,DrugBAN,biosnap,seed_8,drug,base,U,0.29270875,0.0
test,DrugBAN,human,seed_4,drug,base,U,0.2916665,0.0
test,DrugBAN,human,seed_5,drug,base,U,0.3873455,0.0
test,DrugBAN,human,seed_6,drug,base,U,0.5569445,0.0
test,DrugBAN,human,seed_7,drug,base,U,0.1429825,0.0
test,DrugBAN,human,seed_8,drug,base,U,0.289025,0.0
test,PACE,bindingdb,seed_4,drug,base,U,0.2106585,0.0
test,PACE,bindingdb,seed_5,drug,base,U,0.20268,0.0
test,PACE,bindingdb,seed_6,drug,base,U,0.295321,0.0
test,PACE,bindingdb,seed_7,drug,base,U,0.5695905,0.0
test,PACE,bindingdb,seed_8,drug,base,U,0.2408315,0.0
test,PACE,biosnap,seed_4,drug,base,U,0.25724175,0.0
test,PACE,biosnap,seed_5,drug,base,U,0.15162475,0.0
test,PACE,biosnap,seed_6,drug,base,U,0.19482824999999998,0.0
test,PACE,biosnap,seed_7,drug,base,U,0.240373,0.0
test,PACE,biosnap,seed_8,drug,base,U,0.22123125,0.0
test,PACE,human,seed_4,drug,base,U,0.556306,0.0
test,PACE,human,seed_5,drug,base,U,0.405647,0.0
test,PACE,human,seed_6,drug,base,U,0.49957949999999995,0.0
test,PACE,human,seed_7,drug,base,U,0.483781,0.0
test,PACE,human,seed_8,drug,base,U,0.303599,0.0
test,TAPB,bindingdb,seed_4,drug,base,U,,
test,TAPB,bindingdb,seed_5,drug,base,U,0.4209985,0.0
test,TAPB,bindingdb,seed_6,drug,base,U,,
test,TAPB,bindingdb,seed_7,drug,base,U,0.3295245,0.0
test,TAPB,bindingdb,seed_8,drug,base,U,0.3690955,0.0
test,TAPB,biosnap,seed_4,drug,base,U,0.169738,0.0
test,TAPB,biosnap,seed_5,drug,base,U,0.137234,0.0
test,TAPB,biosnap,seed_6,drug,base,U,0.12305975000000001,0.0
test,TAPB,biosnap,seed_7,drug,base,U,0.24264025,0.0
test,TAPB,biosnap,seed_8,drug,base,U,0.219158,0.0
test,TAPB,human,seed_4,drug,base,U,0.47337575,0.0
test,TAPB,human,seed_5,drug,base,U,0.36976,0.0
test,TAPB,human,seed_6,drug,base,U,0.217723,0.0
test,TAPB,human,seed_7,drug,base,U,0.3573385,0.0
test,TAPB,human,seed_8,drug,base,U,0.4036605,0.0
test,DrugBAN,bindingdb,seed_4,drug,base,P,0.5256307499999999,0.028151999999999955
test,DrugBAN,bindingdb,seed_5,drug,base,P,0.31721425,0.06391975
test,DrugBAN,bindingdb,seed_6,drug,base,P,0.17392775,0.02998875000000001
test,DrugBAN,bindingdb,seed_7,drug,base,P,0.398965,0.06673650000000003
test,DrugBAN,bindingdb,seed_8,drug,base,P,0.185287,-0.18554650000000003
test,DrugBAN,biosnap,seed_4,drug,base,P,0.321145,0.02891450000000001
test,DrugBAN,biosnap,seed_5,drug,base,P,0.41689675000000004,0.06992975000000007
test,DrugBAN,biosnap,seed_6,drug,base,P,0.35535875,0.07006325000000002
test,DrugBAN,biosnap,seed_7,drug,base,P,0.57227225,0.11844650000000001
test,DrugBAN,biosnap,seed_8,drug,base,P,0.32228725,0.029578500000000008
test,DrugBAN,human,seed_4,drug,base,P,,
test,DrugBAN,human,seed_5,drug,base,P,0.34121,-0.046135499999999996
test,DrugBAN,human,seed_6,drug,base,P,,
test,DrugBAN,human,seed_7,drug,base,P,0.12976200000000002,-0.013220499999999996
test,DrugBAN,human,seed_8,drug,base,P,0.19374325,-0.09528174999999997
test,PACE,bindingdb,seed_4,drug,base,P,0.282737,0.07207850000000002
test,PACE,bindingdb,seed_5,drug,base,P,0.18249125,-0.020188750000000005
test,PACE,bindingdb,seed_6,drug,base,P,0.329789,0.034468
test,PACE,bindingdb,seed_7,drug,base,P,0.6418885,0.07229799999999997
test,PACE,bindingdb,seed_8,drug,base,P,0.21573375,-0.025097750000000002
test,PACE,biosnap,seed_4,drug,base,P,0.33742150000000004,0.08017975000000005
test,PACE,biosnap,seed_5,drug,base,P,0.31183875,0.160214
test,PACE,biosnap,seed_6,drug,base,P,0.2488695,0.05404125000000001
test,PACE,biosnap,seed_7,drug,base,P,0.20257925,-0.037793750000000015
test,PACE,biosnap,seed_8,drug,base,P,0.330008,0.10877675000000003
