model,dataset,test_run,group_axis,confidence_source,split,added_component,delta_validation_fold_mean_auprc,delta_error_detection_auprc,delta_review_lift,delta_retained_accuracy_gain_vs_residual
DrugBAN,bindingdb,seed_4,drug,base,test,combined_empirical_support,,0.102455,0.267772,0.025785
DrugBAN,bindingdb,seed_4,drug,base,test,empirical_support,,0.08314,0.216724,0.02061
DrugBAN,bindingdb,seed_4,drug,base,test,empirical_support_after_prior,,0.092753,0.214115,0.021155
DrugBAN,bindingdb,seed_4,drug,base,test,fit_support,,0.072592,0.082766,0.007876
DrugBAN,bindingdb,seed_4,drug,base,test,fit_support_after_legacy_source_domain,,0.062127,-0.042362,-0.003325
DrugBAN,bindingdb,seed_4,drug,base,test,fit_support_after_native_source_domain,,0.038566,0.129242,0.011986
DrugBAN,bindingdb,seed_4,drug,base,test,legacy_empirical_support,,0.10329,0.188348,0.017806
DrugBAN,bindingdb,seed_4,drug,base,test,legacy_source_domain_support_after_fit,,0.030699,0.105582,0.009929
DrugBAN,bindingdb,seed_4,drug,base,test,legacy_support_after_native,,0.019314,0.051048,0.005175
DrugBAN,bindingdb,seed_4,drug,base,test,native_source_domain_support,,0.044575,0.087481,0.008624
DrugBAN,bindingdb,seed_4,drug,base,test,native_source_domain_support_after_fit,,0.010549,0.133958,0.012733
DrugBAN,bindingdb,seed_4,drug,base,test,native_support_after_legacy,,-0.000835,0.079424,0.007979
DrugBAN,bindingdb,seed_4,drug,base,test,prior,,0.028217,0.070378,0.006206
DrugBAN,bindingdb,seed_4,drug,base,test,prior_after_empirical_support,,0.03783,0.06777,0.006751
DrugBAN,bindingdb,seed_4,drug,base,test,source_domain_support,,0.041164,0.230709,0.021131
DrugBAN,bindingdb,seed_4,drug,base,test,target_sequence_support,,0.024071,0.155505,0.014617
DrugBAN,bindingdb,seed_4,drug,base,validation,combined_empirical_support,0.055472,0.045705,0.188476,0.017473
DrugBAN,bindingdb,seed_4,drug,base,validation,empirical_support,0.049595,0.041424,0.151902,0.014258
DrugBAN,bindingdb,seed_4,drug,base,validation,empirical_support_after_prior,0.046776,0.044628,0.130883,0.012425
DrugBAN,bindingdb,seed_4,drug,base,validation,fit_support,0.019374,0.014567,0.108718,0.010129
DrugBAN,bindingdb,seed_4,drug,base,validation,fit_support_after_legacy_source_domain,-0.005097,-0.005436,-0.095988,-0.008187
DrugBAN,bindingdb,seed_4,drug,base,validation,fit_support_after_native_source_domain,0.002242,0.001678,-0.08064,-0.007241
DrugBAN,bindingdb,seed_4,drug,base,validation,legacy_empirical_support,0.032467,0.029503,0.130375,0.012016
DrugBAN,bindingdb,seed_4,drug,base,validation,legacy_source_domain_support_after_fit,0.013093,0.014936,0.021657,0.001887
DrugBAN,bindingdb,seed_4,drug,base,validation,legacy_support_after_native,0.005878,0.004281,0.036574,0.003214
DrugBAN,bindingdb,seed_4,drug,base,validation,native_source_domain_support,0.047354,0.039746,0.232543,0.021499
DrugBAN,bindingdb,seed_4,drug,base,validation,native_source_domain_support_after_fit,0.030221,0.026857,0.043184,0.004129
DrugBAN,bindingdb,seed_4,drug,base,validation,native_support_after_legacy,0.023006,0.016202,0.058102,0.005456
DrugBAN,bindingdb,seed_4,drug,base,validation,prior,0.031585,0.026815,0.141971,0.012925
DrugBAN,bindingdb,seed_4,drug,base,validation,prior_after_empirical_support,0.028766,0.030019,0.120951,0.011092
DrugBAN,bindingdb,seed_4,drug,base,validation,source_domain_support,0.037564,0.03494,0.226362,0.020203
DrugBAN,bindingdb,seed_4,drug,base,validation,target_sequence_support,0.041084,0.040878,0.137621,0.01268
DrugBAN,bindingdb,seed_4,target,base,test,combined_empirical_support,,0.078733,0.322774,0.030023
DrugBAN,bindingdb,seed_4,target,base,test,empirical_support,,0.031402,0.149792,0.014982
DrugBAN,bindingdb,seed_4,target,base,test,empirical_support_after_prior,,0.03484,0.04421,0.005053
DrugBAN,bindingdb,seed_4,target,base,test,fit_support,,0.041146,0.063187,0.006483
DrugBAN,bindingdb,seed_4,target,base,test,fit_support_after_legacy_source_domain,,0.017081,-0.192572,-0.01815
DrugBAN,bindingdb,seed_4,target,base,test,fit_support_after_native_source_domain,,0.054079,0.267028,0.02614
DrugBAN,bindingdb,seed_4,target,base,test,legacy_empirical_support,,0.068572,0.25427,0.022829
DrugBAN,bindingdb,seed_4,target,base,test,legacy_source_domain_support_after_fit,,0.027425,0.191083,0.016346
DrugBAN,bindingdb,seed_4,target,base,test,legacy_support_after_native,,0.04733,0.172982,0.01504
DrugBAN,bindingdb,seed_4,target,base,test,native_source_domain_support,,-0.022676,-0.117236,-0.011157
DrugBAN,bindingdb,seed_4,target,base,test,native_source_domain_support_after_fit,,-0.009744,0.086605,0.0085
DrugBAN,bindingdb,seed_4,target,base,test,native_support_after_legacy,,0.010161,0.068504,0.007194
DrugBAN,bindingdb,seed_4,target,base,test,prior,,0.046628,0.108295,0.010065
DrugBAN,bindingdb,seed_4,target,base,test,prior_after_empirical_support,,0.050066,0.002713,0.000136
DrugBAN,bindingdb,seed_4,target,base,test,source_domain_support,,0.05149,0.446843,0.040979
DrugBAN,bindingdb,seed_4,target,base,test,target_sequence_support,,0.042905,0.300874,0.028538
DrugBAN,bindingdb,seed_4,target,base,validation,combined_empirical_support,-0.022123,0.037765,0.126132,0.009184
DrugBAN,bindingdb,seed_4,target,base,validation,empirical_support,-0.049222,0.03574,0.13689,0.010273
DrugBAN,bindingdb,seed_4,target,base,validation,empirical_support_after_prior,-0.037855,-0.017827,-0.084488,-0.007886
DrugBAN,bindingdb,seed_4,target,base,validation,fit_support,-0.004289,0.1517,0.676809,0.060323
DrugBAN,bindingdb,seed_4,target,base,validation,fit_support_after_legacy_source_domain,0.036366,0.094318,0.49551,0.045007
DrugBAN,bindingdb,seed_4,target,base,validation,fit_support_after_native_source_domain,0.028254,0.110993,0.491489,0.044317
DrugBAN,bindingdb,seed_4,target,base,validation,legacy_empirical_support,-0.000921,0.065718,0.290334,0.024838
DrugBAN,bindingdb,seed_4,target,base,validation,legacy_source_domain_support_after_fit,0.003368,-0.085982,-0.386475,-0.035485
DrugBAN,bindingdb,seed_4,target,base,validation,legacy_support_after_native,0.027099,0.002024,-0.010758,-0.00109
DrugBAN,bindingdb,seed_4,target,base,validation,native_source_domain_support,-0.077477,-0.075252,-0.3546,-0.034045
DrugBAN,bindingdb,seed_4,target,base,validation,native_source_domain_support_after_fit,-0.044934,-0.11596,-0.539919,-0.05005
DrugBAN,bindingdb,seed_4,target,base,validation,native_support_after_legacy,-0.021203,-0.027954,-0.164202,-0.015654
DrugBAN,bindingdb,seed_4,target,base,validation,prior,0.098818,0.160954,0.521053,0.045407
DrugBAN,bindingdb,seed_4,target,base,validation,prior_after_empirical_support,0.110185,0.107387,0.299675,0.027249
DrugBAN,bindingdb,seed_4,target,base,validation,source_domain_support,-0.037286,-0.0286,-0.205175,-0.020169
DrugBAN,bindingdb,seed_4,target,base,validation,target_sequence_support,0.037274,0.017523,0.044861,0.004573
DrugBAN,bindingdb,seed_5,drug,base,test,combined_empirical_support,,0.286884,1.842928,0.079991
DrugBAN,bindingdb,seed_5,drug,base,test,empirical_support,,0.167715,0.957829,0.041269
DrugBAN,bindingdb,seed_5,drug,base,test,empirical_support_after_prior,,0.147708,0.661478,0.027952
DrugBAN,bindingdb,seed_5,drug,base,test,fit_support,,0.121453,0.77556,0.033083
DrugBAN,bindingdb,seed_5,drug,base,test,fit_support_after_legacy_source_domain,,-0.013091,0.113128,0.004459
DrugBAN,bindingdb,seed_5,drug,base,test,fit_support_after_native_source_domain,,-0.010273,-0.118792,-0.006405
DrugBAN,bindingdb,seed_5,drug,base,test,legacy_empirical_support,,0.242792,1.702135,0.073509
DrugBAN,bindingdb,seed_5,drug,base,test,legacy_source_domain_support_after_fit,,0.121338,0.926576,0.040425
DrugBAN,bindingdb,seed_5,drug,base,test,legacy_support_after_native,,0.119169,0.885099,0.038722
DrugBAN,bindingdb,seed_5,drug,base,test,native_source_domain_support,,0.177988,1.076621,0.047674
DrugBAN,bindingdb,seed_5,drug,base,test,native_source_domain_support_after_fit,,0.046262,0.18227,0.008186
DrugBAN,bindingdb,seed_5,drug,base,test,native_support_after_legacy,,0.044092,0.140794,0.006482
DrugBAN,bindingdb,seed_5,drug,base,test,prior,,0.063889,0.4924,0.022338
DrugBAN,bindingdb,seed_5,drug,base,test,prior_after_empirical_support,,0.043881,0.196048,0.009021
DrugBAN,bindingdb,seed_5,drug,base,test,source_domain_support,,0.255883,1.589007,0.06905
DrugBAN,bindingdb,seed_5,drug,base,test,target_sequence_support,,0.050978,0.648636,0.028366
DrugBAN,bindingdb,seed_5,drug,base,validation,combined_empirical_support,0.158346,0.150666,1.116967,0.053176
DrugBAN,bindingdb,seed_5,drug,base,validation,empirical_support,0.145021,0.131386,0.56832,0.026856
DrugBAN,bindingdb,seed_5,drug,base,validation,empirical_support_after_prior,0.123303,0.12768,0.198546,0.009134
DrugBAN,bindingdb,seed_5,drug,base,validation,fit_support,0.100498,0.094921,0.614353,0.028764
DrugBAN,bindingdb,seed_5,drug,base,validation,fit_support_after_legacy_source_domain,0.056005,0.043468,-0.002977,-0.00025
DrugBAN,bindingdb,seed_5,drug,base,validation,fit_support_after_native_source_domain,0.00489,0.006977,-0.32489,-0.01506
DrugBAN,bindingdb,seed_5,drug,base,validation,legacy_empirical_support,0.187198,0.174664,1.067747,0.049814
DrugBAN,bindingdb,seed_5,drug,base,validation,legacy_source_domain_support_after_fit,0.086701,0.079744,0.453394,0.021051
DrugBAN,bindingdb,seed_5,drug,base,validation,legacy_support_after_native,0.013325,0.01928,0.548647,0.02632
DrugBAN,bindingdb,seed_5,drug,base,validation,native_source_domain_support,0.14013,0.124409,0.893211,0.041915
DrugBAN,bindingdb,seed_5,drug,base,validation,native_source_domain_support_after_fit,0.044523,0.036464,-0.046033,-0.001908
DrugBAN,bindingdb,seed_5,drug,base,validation,native_support_after_legacy,-0.028852,-0.023999,0.04922,0.003361
DrugBAN,bindingdb,seed_5,drug,base,validation,prior,0.039102,0.034417,0.386709,0.019604
DrugBAN,bindingdb,seed_5,drug,base,validation,prior_after_empirical_support,0.017385,0.030712,0.016935,0.001883
DrugBAN,bindingdb,seed_5,drug,base,validation,source_domain_support,0.131194,0.131197,1.070724,0.050064
DrugBAN,bindingdb,seed_5,drug,base,validation,target_sequence_support,0.103169,0.113497,0.713662,0.034982
DrugBAN,bindingdb,seed_5,target,base,test,combined_empirical_support,,0.265574,1.684676,0.072923
DrugBAN,bindingdb,seed_5,target,base,test,empirical_support,,0.191869,1.082117,0.047838
DrugBAN,bindingdb,seed_5,target,base,test,empirical_support_after_prior,,0.248721,1.392883,0.05852
DrugBAN,bindingdb,seed_5,target,base,test,fit_support,,0.133477,0.466383,0.019603
DrugBAN,bindingdb,seed_5,target,base,test,fit_support_after_legacy_source_domain,,-0.03459,-0.031421,-0.002625
DrugBAN,bindingdb,seed_5,target,base,test,fit_support_after_native_source_domain,,0.018828,0.263174,0.011708
DrugBAN,bindingdb,seed_5,target,base,test,legacy_empirical_support,,0.243236,1.616504,0.069291
DrugBAN,bindingdb,seed_5,target,base,test,legacy_source_domain_support_after_fit,,0.109759,1.150121,0.049688
DrugBAN,bindingdb,seed_5,target,base,test,legacy_support_after_native,,0.073704,0.602559,0.025086
DrugBAN,bindingdb,seed_5,target,base,test,native_source_domain_support,,0.173042,0.818943,0.03613
DrugBAN,bindingdb,seed_5,target,base,test,native_source_domain_support_after_fit,,0.058392,0.615734,0.028234
DrugBAN,bindingdb,seed_5,target,base,test,native_support_after_legacy,,0.022337,0.068171,0.003632
DrugBAN,bindingdb,seed_5,target,base,test,prior,,-0.077618,-0.674486,-0.02932
DrugBAN,bindingdb,seed_5,target,base,test,prior_after_empirical_support,,-0.020766,-0.36372,-0.018636
DrugBAN,bindingdb,seed_5,target,base,test,source_domain_support,,0.277827,1.647926,0.071916
DrugBAN,bindingdb,seed_5,target,base,test,target_sequence_support,,0.033472,0.583267,0.024664
DrugBAN,bindingdb,seed_5,target,base,validation,combined_empirical_support,0.014177,0.011526,-0.342144,-0.01778
DrugBAN,bindingdb,seed_5,target,base,validation,empirical_support,0.001908,0.027354,-0.205244,-0.010584
DrugBAN,bindingdb,seed_5,target,base,validation,empirical_support_after_prior,-0.156755,-0.143222,-0.801865,-0.052038
DrugBAN,bindingdb,seed_5,target,base,validation,fit_support,-0.016485,0.106052,0.381906,0.019935
DrugBAN,bindingdb,seed_5,target,base,validation,fit_support_after_legacy_source_domain,-0.016733,0.012888,0.192033,0.008044
DrugBAN,bindingdb,seed_5,target,base,validation,fit_support_after_native_source_domain,-0.011433,-0.001328,0.012866,0.000648
DrugBAN,bindingdb,seed_5,target,base,validation,legacy_empirical_support,0.001372,0.050768,0.100217,0.005172
DrugBAN,bindingdb,seed_5,target,base,validation,legacy_source_domain_support_after_fit,0.017857,-0.055284,-0.28169,-0.014763
DrugBAN,bindingdb,seed_5,target,base,validation,legacy_support_after_native,0.012269,-0.015828,-0.1369,-0.007196
DrugBAN,bindingdb,seed_5,target,base,validation,native_source_domain_support,0.013341,0.028682,-0.218111,-0.011232
DrugBAN,bindingdb,seed_5,target,base,validation,native_source_domain_support_after_fit,0.018392,-0.078698,-0.58715,-0.030518
DrugBAN,bindingdb,seed_5,target,base,validation,native_support_after_legacy,0.012805,-0.039242,-0.44236,-0.022953
DrugBAN,bindingdb,seed_5,target,base,validation,prior,0.173187,0.190312,0.908506,0.06119
DrugBAN,bindingdb,seed_5,target,base,validation,prior_after_empirical_support,0.014525,0.019735,0.311885,0.019736
DrugBAN,bindingdb,seed_5,target,base,validation,source_domain_support,0.018105,0.03788,-0.091816,-0.002872
DrugBAN,bindingdb,seed_5,target,base,validation,target_sequence_support,0.000411,0.00355,0.094451,0.006488
DrugBAN,bindingdb,seed_6,drug,base,test,combined_empirical_support,,0.270786,1.490892,0.043109
DrugBAN,bindingdb,seed_6,drug,base,test,empirical_support,,0.347982,1.81383,0.052626
DrugBAN,bindingdb,seed_6,drug,base,test,empirical_support_after_prior,,0.31225,1.81383,0.052626
DrugBAN,bindingdb,seed_6,drug,base,test,fit_support,,0.30199,1.81383,0.052626
DrugBAN,bindingdb,seed_6,drug,base,test,fit_support_after_legacy_source_domain,,0.150469,0.04401,0.000898
DrugBAN,bindingdb,seed_6,drug,base,test,fit_support_after_native_source_domain,,0.167197,0.238272,0.007067
DrugBAN,bindingdb,seed_6,drug,base,test,legacy_empirical_support,,0.246781,1.321558,0.038207
DrugBAN,bindingdb,seed_6,drug,base,test,legacy_source_domain_support_after_fit,,-0.05521,-0.492272,-0.01442
DrugBAN,bindingdb,seed_6,drug,base,test,legacy_support_after_native,,-0.077197,-0.322938,-0.009518
DrugBAN,bindingdb,seed_6,drug,base,test,native_source_domain_support,,0.180786,1.575558,0.04556
DrugBAN,bindingdb,seed_6,drug,base,test,native_source_domain_support_after_fit,,0.045992,0.0,0.0
DrugBAN,bindingdb,seed_6,drug,base,test,native_support_after_legacy,,0.024005,0.169333,0.004902
DrugBAN,bindingdb,seed_6,drug,base,test,prior,,0.029972,-0.084667,-0.002451
DrugBAN,bindingdb,seed_6,drug,base,test,prior_after_empirical_support,,-0.00576,-0.084667,-0.002451
DrugBAN,bindingdb,seed_6,drug,base,test,source_domain_support,,0.096312,1.277548,0.037309
DrugBAN,bindingdb,seed_6,drug,base,test,target_sequence_support,,-0.060523,-0.322938,-0.009518
DrugBAN,bindingdb,seed_6,drug,base,validation,combined_empirical_support,0.238602,0.235905,1.216498,0.035664
DrugBAN,bindingdb,seed_6,drug,base,validation,empirical_support,0.179984,0.196446,1.081517,0.031637
DrugBAN,bindingdb,seed_6,drug,base,validation,empirical_support_after_prior,0.187627,0.212032,1.345742,0.039401
DrugBAN,bindingdb,seed_6,drug,base,validation,fit_support,0.176134,0.18439,1.221799,0.035752
DrugBAN,bindingdb,seed_6,drug,base,validation,fit_support_after_legacy_source_domain,0.031489,0.070743,0.283196,0.008666
DrugBAN,bindingdb,seed_6,drug,base,validation,fit_support_after_native_source_domain,0.03851,0.089612,0.304947,0.009456
DrugBAN,bindingdb,seed_6,drug,base,validation,legacy_empirical_support,0.215231,0.207163,1.133666,0.033237
DrugBAN,bindingdb,seed_6,drug,base,validation,legacy_source_domain_support_after_fit,0.039098,0.022773,-0.088133,-0.002515
DrugBAN,bindingdb,seed_6,drug,base,validation,legacy_support_after_native,0.058618,0.039459,0.134981,0.004028
DrugBAN,bindingdb,seed_6,drug,base,validation,native_source_domain_support,0.141474,0.106834,0.77657,0.022181
DrugBAN,bindingdb,seed_6,drug,base,validation,native_source_domain_support_after_fit,0.003851,0.012056,-0.140282,-0.004115
DrugBAN,bindingdb,seed_6,drug,base,validation,native_support_after_legacy,0.02337,0.028742,0.082832,0.002428
DrugBAN,bindingdb,seed_6,drug,base,validation,prior,-0.015145,-0.028588,-0.343244,-0.010104
DrugBAN,bindingdb,seed_6,drug,base,validation,prior_after_empirical_support,-0.007503,-0.013002,-0.079019,-0.00234
DrugBAN,bindingdb,seed_6,drug,base,validation,source_domain_support,0.183742,0.13642,0.850471,0.02457
DrugBAN,bindingdb,seed_6,drug,base,validation,target_sequence_support,0.01688,0.009571,-0.086773,-0.002358
DrugBAN,bindingdb,seed_6,target,base,test,combined_empirical_support,,0.25464,1.403159,0.040331
DrugBAN,bindingdb,seed_6,target,base,test,empirical_support,,0.274812,1.638364,0.047071
DrugBAN,bindingdb,seed_6,target,base,test,empirical_support_after_prior,,0.224098,1.234938,0.035024
DrugBAN,bindingdb,seed_6,target,base,test,fit_support,,0.27424,1.81383,0.052626
DrugBAN,bindingdb,seed_6,target,base,test,fit_support_after_legacy_source_domain,,0.131366,-0.024927,-0.001267
DrugBAN,bindingdb,seed_6,target,base,test,fit_support_after_native_source_domain,,0.152056,0.05974,0.001184
DrugBAN,bindingdb,seed_6,target,base,test,legacy_empirical_support,,0.240643,1.403159,0.040331
DrugBAN,bindingdb,seed_6,target,base,test,legacy_source_domain_support_after_fit,,-0.033596,-0.410671,-0.012296
DrugBAN,bindingdb,seed_6,target,base,test,legacy_support_after_native,,-0.020172,-0.235205,-0.00674
