model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,added_component,baseline_profile,augmented_profile,baseline_model_status,augmented_model_status,baseline_validation_fold_mean_auprc,augmented_validation_fold_mean_auprc,delta_validation_fold_mean_auprc,baseline_error_detection_auroc,augmented_error_detection_auroc,delta_error_detection_auroc,baseline_error_detection_auprc,augmented_error_detection_auprc,delta_error_detection_auprc,baseline_review_error_rate,augmented_review_error_rate,delta_review_error_rate,baseline_review_lift,augmented_review_lift,delta_review_lift,baseline_review_recall_of_residual_errors,augmented_review_recall_of_residual_errors,delta_review_recall_of_residual_errors,baseline_combined_recall_of_candidate_errors,augmented_combined_recall_of_candidate_errors,delta_combined_recall_of_candidate_errors,baseline_retained_accuracy_after_review,augmented_retained_accuracy_after_review,delta_retained_accuracy_after_review,baseline_retained_accuracy_gain_vs_residual,augmented_retained_accuracy_gain_vs_residual,delta_retained_accuracy_gain_vs_residual
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,prior,uncertainty,uncertainty_prior,complete,complete,0.276274,0.381258,0.104984,0.655819,0.763008,0.107189,0.247048,0.36955,0.122502,0.256684,0.40107,0.144385,1.558442,2.435065,0.876623,0.311688,0.487013,0.175325,0.442105,0.584211,0.142105,0.858289,0.894385,0.036096,0.022995,0.059091,0.036096
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support,uncertainty,uncertainty_support,complete,complete,0.276274,0.286357,0.010082,0.655819,0.680671,0.024852,0.247048,0.245624,-0.001424,0.256684,0.251337,-0.005348,1.558442,1.525974,-0.032468,0.311688,0.305195,-0.006494,0.442105,0.436842,-0.005263,0.858289,0.856952,-0.001337,0.022995,0.021658,-0.001337
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,0.381258,0.295635,-0.085623,0.763008,0.671924,-0.091084,0.36955,0.254065,-0.115485,0.40107,0.294118,-0.106952,2.435065,1.785714,-0.649351,0.487013,0.357143,-0.12987,0.584211,0.478947,-0.105263,0.894385,0.867647,-0.026738,0.059091,0.032353,-0.026738
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,0.286357,0.295635,0.009279,0.680671,0.671924,-0.008747,0.245624,0.254065,0.008441,0.251337,0.294118,0.042781,1.525974,1.785714,0.25974,0.305195,0.357143,0.051948,0.436842,0.478947,0.042105,0.856952,0.867647,0.010695,0.021658,0.032353,0.010695
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,0.335847,0.293005,-0.042843,0.714302,0.706337,-0.007965,0.280364,0.283177,0.002813,0.278075,0.272727,-0.005348,1.688312,1.655844,-0.032468,0.337662,0.331169,-0.006494,0.463158,0.457895,-0.005263,0.863636,0.862299,-0.001337,0.028342,0.027005,-0.001337
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,0.297239,0.293005,-0.004234,0.725161,0.706337,-0.018824,0.291321,0.283177,-0.008144,0.315508,0.272727,-0.042781,1.915584,1.655844,-0.25974,0.383117,0.331169,-0.051948,0.5,0.457895,-0.042105,0.872995,0.862299,-0.010695,0.037701,0.027005,-0.010695
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,0.335847,0.286357,-0.049491,0.714302,0.680671,-0.033632,0.280364,0.245624,-0.03474,0.278075,0.251337,-0.026738,1.688312,1.525974,-0.162338,0.337662,0.305195,-0.032468,0.463158,0.436842,-0.026316,0.863636,0.856952,-0.006684,0.028342,0.021658,-0.006684
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,0.334977,0.286357,-0.048621,0.750129,0.680671,-0.069458,0.325085,0.245624,-0.079462,0.320856,0.251337,-0.069519,1.948052,1.525974,-0.422078,0.38961,0.305195,-0.084416,0.505263,0.436842,-0.068421,0.874332,0.856952,-0.01738,0.039037,0.021658,-0.01738
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_support_after_legacy,legacy_support,combined_support,complete,complete,0.293005,0.261576,-0.031429,0.706337,0.659353,-0.046984,0.283177,0.249489,-0.033688,0.272727,0.262032,-0.010695,1.655844,1.590909,-0.064935,0.331169,0.318182,-0.012987,0.457895,0.447368,-0.010526,0.862299,0.859626,-0.002674,0.027005,0.024332,-0.002674
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,0.286357,0.261576,-0.024781,0.680671,0.659353,-0.021318,0.245624,0.249489,0.003865,0.251337,0.262032,0.010695,1.525974,1.590909,0.064935,0.305195,0.318182,0.012987,0.436842,0.447368,0.010526,0.856952,0.859626,0.002674,0.021658,0.024332,0.002674
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,fit_support,uncertainty,fit_support,complete,complete,0.276274,0.335847,0.059573,0.655819,0.714302,0.058483,0.247048,0.280364,0.033316,0.256684,0.278075,0.02139,1.558442,1.688312,0.12987,0.311688,0.337662,0.025974,0.442105,0.463158,0.021053,0.858289,0.863636,0.005348,0.022995,0.028342,0.005348
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,source_domain_support,uncertainty,source_domain_support,complete,complete,0.276274,0.297239,0.020965,0.655819,0.725161,0.069342,0.247048,0.291321,0.044273,0.256684,0.315508,0.058824,1.558442,1.915584,0.357143,0.311688,0.383117,0.071429,0.442105,0.5,0.057895,0.858289,0.872995,0.014706,0.022995,0.037701,0.014706
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,native_source_domain_support,uncertainty,native_source_domain_support,complete,complete,0.276274,0.334977,0.058703,0.655819,0.750129,0.09431,0.247048,0.325085,0.078037,0.256684,0.320856,0.064171,1.558442,1.948052,0.38961,0.311688,0.38961,0.077922,0.442105,0.505263,0.063158,0.858289,0.874332,0.016043,0.022995,0.039037,0.016043
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,target_sequence_support,uncertainty_support,target_sequence_support,complete,complete,0.286357,0.308963,0.022606,0.680671,0.693566,0.012896,0.245624,0.257298,0.011674,0.251337,0.283422,0.032086,1.525974,1.720779,0.194805,0.305195,0.344156,0.038961,0.436842,0.468421,0.031579,0.856952,0.864973,0.008021,0.021658,0.029679,0.008021
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,legacy_empirical_support,uncertainty,legacy_support,complete,complete,0.276274,0.293005,0.016731,0.655819,0.706337,0.050518,0.247048,0.283177,0.036129,0.256684,0.272727,0.016043,1.558442,1.655844,0.097403,0.311688,0.331169,0.019481,0.442105,0.457895,0.015789,0.858289,0.862299,0.004011,0.022995,0.027005,0.004011
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,combined_empirical_support,uncertainty,combined_support,complete,complete,0.276274,0.261576,-0.014698,0.655819,0.659353,0.003534,0.247048,0.249489,0.002441,0.256684,0.262032,0.005348,1.558442,1.590909,0.032468,0.311688,0.318182,0.006494,0.442105,0.447368,0.005263,0.858289,0.859626,0.001337,0.022995,0.024332,0.001337
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,prior,uncertainty,uncertainty_prior,complete,complete,,,,0.708913,0.76862,0.059707,0.340585,0.388083,0.047498,0.28,0.34,0.06,1.842105,2.236842,0.394737,0.368421,0.447368,0.078947,0.466667,0.533333,0.066667,0.88,0.895,0.015,0.032,0.047,0.015
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,empirical_support,uncertainty,uncertainty_support,complete,complete,,,,0.708913,0.890641,0.181728,0.340585,0.536858,0.196272,0.28,0.52,0.24,1.842105,3.421053,1.578947,0.368421,0.684211,0.315789,0.466667,0.733333,0.266667,0.88,0.94,0.06,0.032,0.092,0.06
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,empirical_support_after_prior,uncertainty_prior,uncertainty_prior_support,complete,complete,,,,0.76862,0.894364,0.125745,0.388083,0.600489,0.212406,0.34,0.54,0.2,2.236842,3.552632,1.315789,0.447368,0.710526,0.263158,0.533333,0.755556,0.222222,0.895,0.945,0.05,0.047,0.097,0.05
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,prior_after_empirical_support,uncertainty_support,uncertainty_prior_support,complete,complete,,,,0.890641,0.894364,0.003724,0.536858,0.600489,0.063631,0.52,0.54,0.02,3.421053,3.552632,0.131579,0.684211,0.710526,0.026316,0.733333,0.755556,0.022222,0.94,0.945,0.005,0.092,0.097,0.005
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,legacy_source_domain_support_after_fit,fit_support,legacy_support,complete,complete,,,,0.88282,0.878227,-0.004593,0.484074,0.459278,-0.024795,0.5,0.48,-0.02,3.289474,3.157895,-0.131579,0.657895,0.631579,-0.026316,0.711111,0.688889,-0.022222,0.935,0.93,-0.005,0.087,0.082,-0.005
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,fit_support_after_legacy_source_domain,source_domain_support,legacy_support,complete,complete,,,,0.732249,0.878227,0.145978,0.320901,0.459278,0.138377,0.32,0.48,0.16,2.105263,3.157895,1.052632,0.421053,0.631579,0.210526,0.511111,0.688889,0.177778,0.89,0.93,0.04,0.042,0.082,0.04
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,native_source_domain_support_after_fit,fit_support,uncertainty_support,complete,complete,,,,0.88282,0.890641,0.00782,0.484074,0.536858,0.052784,0.5,0.52,0.02,3.289474,3.421053,0.131579,0.657895,0.684211,0.026316,0.711111,0.733333,0.022222,0.935,0.94,0.005,0.087,0.092,0.005
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,fit_support_after_native_source_domain,native_source_domain_support,uncertainty_support,complete,complete,,,,0.770109,0.890641,0.120531,0.391633,0.536858,0.145224,0.32,0.52,0.2,2.105263,3.421053,1.315789,0.421053,0.684211,0.263158,0.511111,0.733333,0.222222,0.89,0.94,0.05,0.042,0.092,0.05
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,native_support_after_legacy,legacy_support,combined_support,complete,complete,,,,0.878227,0.880586,0.002358,0.459278,0.497971,0.038692,0.48,0.5,0.02,3.157895,3.289474,0.131579,0.631579,0.657895,0.026316,0.688889,0.711111,0.022222,0.93,0.935,0.005,0.082,0.087,0.005
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,legacy_support_after_native,uncertainty_support,combined_support,complete,complete,,,,0.890641,0.880586,-0.010055,0.536858,0.497971,-0.038887,0.52,0.5,-0.02,3.421053,3.289474,-0.131579,0.684211,0.657895,-0.026316,0.733333,0.711111,-0.022222,0.94,0.935,-0.005,0.092,0.087,-0.005
