split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
test,drug,combined_empirical_support,delta_error_detection_auprc,41,9,0.177475,0.804878,0.087195,0.259124
test,drug,combined_empirical_support,delta_review_lift,40,9,0.830343,0.75,0.373883,1.266697
test,drug,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.031428,0.75,0.012947,0.049624
test,drug,empirical_support,delta_error_detection_auprc,41,9,0.174454,0.829268,0.093443,0.25144
test,drug,empirical_support,delta_review_lift,40,9,0.869049,0.85,0.44464,1.268259
test,drug,empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.030014,0.85,0.013968,0.045808
test,drug,empirical_support_after_prior,delta_error_detection_auprc,41,9,0.137957,0.853659,0.071562,0.211552
test,drug,empirical_support_after_prior,delta_review_lift,40,9,0.755201,0.9,0.449846,1.039656
test,drug,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,40,9,0.02667,0.9,0.014034,0.039383
test,drug,fit_support,delta_error_detection_auprc,41,9,0.160095,0.878049,0.091831,0.228108
test,drug,fit_support,delta_review_lift,40,9,0.85138,0.825,0.415262,1.26638
test,drug,fit_support,delta_retained_accuracy_gain_vs_residual,40,9,0.028408,0.825,0.013731,0.043377
test,drug,fit_support_after_legacy_source_domain,delta_error_detection_auprc,41,9,0.105502,0.902439,0.015682,0.167747
test,drug,fit_support_after_legacy_source_domain,delta_review_lift,40,9,0.699965,0.9,0.445528,0.961855
test,drug,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.02309,0.9,0.014952,0.031783
test,drug,fit_support_after_native_source_domain,delta_error_detection_auprc,41,9,0.103759,0.878049,0.064005,0.146806
test,drug,fit_support_after_native_source_domain,delta_review_lift,40,9,0.600623,0.875,0.336671,0.878493
test,drug,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.020276,0.875,0.011345,0.02986
test,drug,legacy_empirical_support,delta_error_detection_auprc,41,9,0.162448,0.804878,0.075512,0.24512
test,drug,legacy_empirical_support,delta_review_lift,40,9,0.945402,0.8,0.509284,1.392672
test,drug,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.030417,0.8,0.015616,0.04552
test,drug,legacy_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.002353,0.560976,-0.048217,0.054795
test,drug,legacy_source_domain_support_after_fit,delta_review_lift,40,9,0.094021,0.475,-0.265298,0.621004
test,drug,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.00201,0.475,-0.006877,0.01215
test,drug,legacy_support_after_native,delta_error_detection_auprc,41,9,0.003022,0.390244,-0.025303,0.030712
test,drug,legacy_support_after_native,delta_review_lift,40,9,-0.038707,0.325,-0.28071,0.185086
test,drug,legacy_support_after_native,delta_retained_accuracy_gain_vs_residual,40,9,0.001414,0.325,-0.005569,0.008921
test,drug,native_source_domain_support,delta_error_detection_auprc,41,9,0.070695,0.658537,-0.009614,0.152211
test,drug,native_source_domain_support,delta_review_lift,40,9,0.268427,0.7,-0.238867,0.712839
test,drug,native_source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.009738,0.7,-0.008437,0.025154
test,drug,native_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.014359,0.585366,-0.030772,0.063754
test,drug,native_source_domain_support_after_fit,delta_review_lift,40,9,0.017669,0.5,-0.165548,0.194268
test,drug,native_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.001607,0.5,-0.006808,0.01051
test,drug,native_support_after_legacy,delta_error_detection_auprc,41,9,0.015027,0.512195,-0.009565,0.045843
test,drug,native_support_after_legacy,delta_review_lift,40,9,-0.115059,0.475,-0.55816,0.145612
test,drug,native_support_after_legacy,delta_retained_accuracy_gain_vs_residual,40,9,0.001011,0.5,-0.006389,0.008882
test,drug,prior,delta_error_detection_auprc,41,9,0.029097,0.658537,-0.009025,0.072064
test,drug,prior,delta_review_lift,40,9,0.072495,0.575,-0.258367,0.38779
test,drug,prior,delta_retained_accuracy_gain_vs_residual,40,9,0.003653,0.55,-0.007129,0.014319
test,drug,prior_after_empirical_support,delta_error_detection_auprc,41,9,-0.0074,0.439024,-0.034158,0.019835
test,drug,prior_after_empirical_support,delta_review_lift,40,9,-0.041353,0.375,-0.184085,0.105901
test,drug,prior_after_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.000309,0.375,-0.004903,0.006638
test,drug,source_domain_support,delta_error_detection_auprc,41,9,0.056946,0.609756,-0.025438,0.155106
test,drug,source_domain_support,delta_review_lift,40,9,0.245437,0.6,-0.153619,0.668575
test,drug,source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.007327,0.6,-0.005821,0.02182
test,drug,target_sequence_support,delta_error_detection_auprc,41,9,0.018204,0.536585,-0.010854,0.05194
test,drug,target_sequence_support,delta_review_lift,40,9,0.071002,0.475,-0.061899,0.228243
test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,40,9,0.004316,0.475,-0.001895,0.011831
test,target,combined_empirical_support,delta_error_detection_auprc,41,9,0.179201,0.853659,0.094993,0.255928
test,target,combined_empirical_support,delta_review_lift,40,9,0.914481,0.85,0.509719,1.309379
test,target,combined_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.034597,0.85,0.018113,0.050784
test,target,empirical_support,delta_error_detection_auprc,41,9,0.176064,0.829268,0.097272,0.249983
test,target,empirical_support,delta_review_lift,40,9,0.895707,0.825,0.473138,1.30975
test,target,empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.031364,0.825,0.015662,0.047157
test,target,empirical_support_after_prior,delta_error_detection_auprc,41,9,0.148508,0.878049,0.087505,0.216223
test,target,empirical_support_after_prior,delta_review_lift,40,9,0.792137,0.9,0.513689,1.044845
test,target,empirical_support_after_prior,delta_retained_accuracy_gain_vs_residual,40,9,0.027596,0.9,0.016177,0.039114
test,target,fit_support,delta_error_detection_auprc,41,9,0.157925,0.878049,0.092287,0.227766
test,target,fit_support,delta_review_lift,40,9,0.944921,0.85,0.543616,1.363217
test,target,fit_support,delta_retained_accuracy_gain_vs_residual,40,9,0.028861,0.85,0.015504,0.043843
test,target,fit_support_after_legacy_source_domain,delta_error_detection_auprc,41,9,0.132043,0.926829,0.090416,0.177317
test,target,fit_support_after_legacy_source_domain,delta_review_lift,40,9,0.794456,0.925,0.524013,1.0337
test,target,fit_support_after_legacy_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.026761,0.925,0.015556,0.038059
test,target,fit_support_after_native_source_domain,delta_error_detection_auprc,41,9,0.109393,0.926829,0.066352,0.154202
test,target,fit_support_after_native_source_domain,delta_review_lift,40,9,0.665542,0.95,0.397309,0.94125
test,target,fit_support_after_native_source_domain,delta_retained_accuracy_gain_vs_residual,40,9,0.022475,0.925,0.012676,0.032976
test,target,legacy_empirical_support,delta_error_detection_auprc,41,9,0.161759,0.804878,0.072614,0.243037
test,target,legacy_empirical_support,delta_review_lift,40,9,0.8722,0.825,0.450005,1.267505
test,target,legacy_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.032189,0.825,0.015754,0.04797
test,target,legacy_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.003834,0.439024,-0.052347,0.061386
test,target,legacy_source_domain_support_after_fit,delta_review_lift,40,9,-0.072721,0.425,-0.510595,0.287036
test,target,legacy_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.003328,0.425,-0.008115,0.015562
test,target,legacy_support_after_native,delta_error_detection_auprc,41,9,0.003137,0.487805,-0.021822,0.030074
test,target,legacy_support_after_native,delta_review_lift,40,9,0.018773,0.45,-0.17831,0.194099
test,target,legacy_support_after_native,delta_retained_accuracy_gain_vs_residual,40,9,0.003233,0.45,-0.002177,0.009157
test,target,native_source_domain_support,delta_error_detection_auprc,41,9,0.066671,0.658537,-0.018506,0.14801
test,target,native_source_domain_support,delta_review_lift,40,9,0.230165,0.675,-0.319595,0.682765
test,target,native_source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.00889,0.675,-0.01015,0.024675
test,target,native_source_domain_support_after_fit,delta_error_detection_auprc,41,9,0.018139,0.487805,-0.030371,0.069087
test,target,native_source_domain_support_after_fit,delta_review_lift,40,9,-0.049214,0.625,-0.485679,0.236594
test,target,native_source_domain_support_after_fit,delta_retained_accuracy_gain_vs_residual,40,9,0.002504,0.625,-0.006515,0.01214
test,target,native_support_after_legacy,delta_error_detection_auprc,41,9,0.017442,0.609756,-0.007303,0.043179
test,target,native_support_after_legacy,delta_review_lift,40,9,0.042281,0.55,-0.09079,0.171619
test,target,native_support_after_legacy,delta_retained_accuracy_gain_vs_residual,40,9,0.002408,0.55,-0.002592,0.007951
test,target,prior,delta_error_detection_auprc,41,9,0.030396,0.609756,-0.006931,0.069849
test,target,prior,delta_review_lift,40,9,0.102378,0.55,-0.255514,0.43979
test,target,prior,delta_retained_accuracy_gain_vs_residual,40,9,0.004487,0.55,-0.007347,0.015495
test,target,prior_after_empirical_support,delta_error_detection_auprc,41,9,0.00284,0.536585,-0.018286,0.02477
test,target,prior_after_empirical_support,delta_review_lift,40,9,-0.001193,0.425,-0.13915,0.141382
test,target,prior_after_empirical_support,delta_retained_accuracy_gain_vs_residual,40,9,0.000719,0.425,-0.004869,0.006513
test,target,source_domain_support,delta_error_detection_auprc,41,9,0.029716,0.536585,-0.05092,0.113013
test,target,source_domain_support,delta_review_lift,40,9,0.077743,0.575,-0.415598,0.570312
test,target,source_domain_support,delta_retained_accuracy_gain_vs_residual,40,9,0.005428,0.575,-0.011607,0.02377
test,target,target_sequence_support,delta_error_detection_auprc,41,9,0.018046,0.560976,-0.011638,0.053369
test,target,target_sequence_support,delta_review_lift,40,9,0.041896,0.425,-0.075093,0.181324
test,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,40,9,0.003017,0.425,-0.002494,0.009981
validation,drug,combined_empirical_support,delta_validation_fold_mean_auprc,36,9,0.206154,0.972222,0.146118,0.267369
