model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,human,seed_4,drug,base,0.0,,
DrugBAN,human,seed_4,target,base,0.0,,
DrugBAN,human,seed_5,drug,base,0.0,0.0,0.0
DrugBAN,human,seed_5,target,base,0.0,0.0,0.0
DrugBAN,human,seed_6,drug,base,0.0,,
DrugBAN,human,seed_6,target,base,0.0,,
DrugBAN,human,seed_7,drug,base,0.0,0.0,0.0
DrugBAN,human,seed_7,target,base,0.0,0.0,0.0
DrugBAN,human,seed_8,drug,base,-0.032173,0.0,0.0
DrugBAN,human,seed_8,target,base,0.066213,0.03125,0.007353
PACE,human,seed_4,drug,base,-0.020768,-0.019231,-0.00463
PACE,human,seed_4,target,base,-0.075916,-0.074359,-0.018482
PACE,human,seed_5,drug,base,-0.047959,-0.017857,-0.00463
PACE,human,seed_5,target,base,-0.033136,0.017857,0.00463
PACE,human,seed_6,drug,base,-0.004792,0.0,0.0
PACE,human,seed_6,target,base,0.0,0.0,0.0
PACE,human,seed_7,drug,base,0.0,0.0,0.0
PACE,human,seed_7,target,base,-0.158409,-0.096154,-0.024038
PACE,human,seed_8,drug,base,0.0,0.0,0.0
PACE,human,seed_8,target,base,-0.009309,0.0,0.0
TAPB,human,seed_4,drug,base,0.0,0.0,0.0
TAPB,human,seed_4,target,base,0.0,0.0,0.0
TAPB,human,seed_5,drug,base,0.007561,-0.020833,-0.005
TAPB,human,seed_5,target,base,-0.007485,-0.045454,-0.011364
TAPB,human,seed_6,drug,base,0.101769,0.104167,0.027174
TAPB,human,seed_6,target,base,0.212912,0.225,0.054152
TAPB,human,seed_7,drug,base,-0.018557,-0.033333,-0.008197
TAPB,human,seed_7,target,base,0.020428,0.03125,0.007692
TAPB,human,seed_8,drug,base,0.0,0.0,0.0
TAPB,human,seed_8,target,base,0.038556,0.046875,0.011719
