excluded_dataset,split,group_axis,added_component,measure,num_independent_runs,num_model_dataset_strata,mean,run_win_rate,ci_low,ci_high
biosnap,test,drug,target_sequence_support,delta_error_detection_auprc,26,6,0.026438,0.538462,-0.011693,0.072224
biosnap,test,drug,target_sequence_support,delta_review_lift,25,6,0.09747,0.44,-0.084404,0.323036
biosnap,test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,25,6,0.005977,0.44,-0.003219,0.016257
biosnap,test,target,target_sequence_support,delta_error_detection_auprc,26,6,0.029146,0.576923,-0.010491,0.076134
biosnap,test,target,target_sequence_support,delta_review_lift,25,6,0.080688,0.48,-0.079916,0.271149
biosnap,test,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,25,6,0.004965,0.48,-0.003329,0.014402
biosnap,validation,drug,target_sequence_support,delta_validation_fold_mean_auprc,21,6,0.039447,0.52381,-0.025445,0.11237
biosnap,validation,drug,target_sequence_support,delta_error_detection_auprc,21,6,0.078363,0.619048,-0.016279,0.206522
biosnap,validation,drug,target_sequence_support,delta_review_lift,21,6,0.091099,0.52381,-0.27599,0.423697
biosnap,validation,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,21,6,0.003537,0.571429,-0.007517,0.013121
biosnap,validation,target,target_sequence_support,delta_validation_fold_mean_auprc,24,6,0.015285,0.458333,-0.026377,0.065536
biosnap,validation,target,target_sequence_support,delta_error_detection_auprc,24,6,0.004579,0.5,-0.022054,0.034578
biosnap,validation,target,target_sequence_support,delta_review_lift,24,6,0.014108,0.291667,-0.180517,0.220691
biosnap,validation,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,24,6,0.000936,0.291667,-0.005778,0.008458
bindingdb,test,drug,target_sequence_support,delta_error_detection_auprc,28,6,0.010814,0.535714,-0.021843,0.047473
bindingdb,test,drug,target_sequence_support,delta_review_lift,28,6,0.066025,0.428571,-0.093346,0.269961
bindingdb,test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,0.003327,0.428571,-0.002495,0.011763
bindingdb,test,target,target_sequence_support,delta_error_detection_auprc,28,6,0.004333,0.5,-0.024484,0.038764
bindingdb,test,target,target_sequence_support,delta_review_lift,28,6,-0.009723,0.321429,-0.127975,0.150404
bindingdb,test,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,-0.000106,0.321429,-0.004835,0.006495
bindingdb,validation,drug,target_sequence_support,delta_validation_fold_mean_auprc,23,6,0.013687,0.304348,-0.040384,0.091788
bindingdb,validation,drug,target_sequence_support,delta_error_detection_auprc,23,6,0.051287,0.391304,-0.03031,0.186706
bindingdb,validation,drug,target_sequence_support,delta_review_lift,23,6,-0.047032,0.173913,-0.367373,0.30562
bindingdb,validation,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,23,6,-0.001789,0.173913,-0.010386,0.007048
bindingdb,validation,target,target_sequence_support,delta_validation_fold_mean_auprc,26,6,0.004637,0.384615,-0.02814,0.04977
bindingdb,validation,target,target_sequence_support,delta_error_detection_auprc,26,6,0.001268,0.423077,-0.022143,0.028934
bindingdb,validation,target,target_sequence_support,delta_review_lift,26,6,-0.072239,0.346154,-0.22064,0.044493
bindingdb,validation,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,26,6,-0.001564,0.346154,-0.005778,0.002102
human,test,drug,target_sequence_support,delta_error_detection_auprc,28,6,0.01736,0.535714,-0.015992,0.060532
human,test,drug,target_sequence_support,delta_review_lift,27,6,0.049509,0.555556,-0.08907,0.204887
human,test,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,27,6,0.003642,0.555556,-0.00325,0.012183
human,test,target,target_sequence_support,delta_error_detection_auprc,28,6,0.020658,0.607143,-0.014601,0.065757
human,test,target,target_sequence_support,delta_review_lift,27,6,0.054723,0.481481,-0.079163,0.214753
human,test,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,27,6,0.004192,0.481481,-0.002038,0.012507
human,validation,drug,target_sequence_support,delta_validation_fold_mean_auprc,28,6,0.016553,0.571429,-0.011049,0.052515
human,validation,drug,target_sequence_support,delta_error_detection_auprc,28,6,0.021002,0.571429,-0.009322,0.060931
human,validation,drug,target_sequence_support,delta_review_lift,28,6,0.05229,0.392857,-0.083559,0.215583
human,validation,drug,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,0.003259,0.428571,-0.001928,0.009796
human,validation,target,target_sequence_support,delta_validation_fold_mean_auprc,28,6,0.01377,0.535714,-0.007119,0.045098
human,validation,target,target_sequence_support,delta_error_detection_auprc,28,6,0.005633,0.535714,-0.00666,0.022148
human,validation,target,target_sequence_support,delta_review_lift,28,6,0.078142,0.571429,-0.071866,0.251919
human,validation,target,target_sequence_support,delta_retained_accuracy_gain_vs_residual,28,6,0.003309,0.571429,-0.002551,0.009735
