split,group_axis,model,dataset,measure,num_independent_runs,mean,run_win_rate,min,max
test,drug,DrugBAN,bindingdb,delta_error_detection_auprc,5,0.002226,0.4,-0.060523,0.050978
test,drug,DrugBAN,bindingdb,delta_review_lift,4,0.108132,0.5,-0.322938,0.648636
test,drug,DrugBAN,bindingdb,delta_retained_accuracy_gain_vs_residual,4,0.007762,0.5,-0.009518,0.028366
test,drug,DrugBAN,biosnap,delta_error_detection_auprc,5,-0.014535,0.2,-0.05716,0.010655
test,drug,DrugBAN,biosnap,delta_review_lift,5,0.09824,0.8,-0.048764,0.213783
test,drug,DrugBAN,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.004378,0.8,-0.002193,0.009604
test,drug,DrugBAN,human,delta_error_detection_auprc,3,0.050717,0.666667,-0.039123,0.177028
test,drug,DrugBAN,human,delta_review_lift,3,0.366667,0.333333,0.0,1.1
test,drug,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,3,0.015637,0.333333,0.0,0.046912
test,drug,PACE,bindingdb,delta_error_detection_auprc,5,0.098557,0.8,-0.023888,0.2608
test,drug,PACE,bindingdb,delta_review_lift,5,0.239483,0.8,-0.65625,0.846382
test,drug,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.018355,0.8,-0.014706,0.048186
test,drug,PACE,biosnap,delta_error_detection_auprc,5,0.047675,1.0,0.02575,0.072263
test,drug,PACE,biosnap,delta_review_lift,5,0.103183,0.8,0.0,0.211305
test,drug,PACE,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.002189,0.8,0.0,0.004002
test,drug,PACE,human,delta_error_detection_auprc,5,0.036892,0.6,-0.014436,0.081406
test,drug,PACE,human,delta_review_lift,5,0.089656,0.4,-0.427778,0.789744
test,drug,PACE,human,delta_retained_accuracy_gain_vs_residual,5,0.004429,0.4,-0.016129,0.032258
test,drug,TAPB,bindingdb,delta_error_detection_auprc,3,-0.001832,0.333333,-0.017993,0.021253
test,drug,TAPB,bindingdb,delta_review_lift,3,-0.104753,0.333333,-0.198192,0.01676
test,drug,TAPB,bindingdb,delta_retained_accuracy_gain_vs_residual,3,-0.007241,0.333333,-0.016365,0.001722
test,drug,TAPB,biosnap,delta_error_detection_auprc,5,-0.027931,0.4,-0.082223,0.017552
test,drug,TAPB,biosnap,delta_review_lift,5,-0.147231,0.0,-0.401113,0.0
test,drug,TAPB,biosnap,delta_retained_accuracy_gain_vs_residual,5,-0.00359,0.0,-0.009346,0.0
test,drug,TAPB,human,delta_error_detection_auprc,5,-0.027935,0.4,-0.133593,0.013092
test,drug,TAPB,human,delta_review_lift,5,-0.114362,0.2,-0.56131,0.195684
test,drug,TAPB,human,delta_retained_accuracy_gain_vs_residual,5,-0.003079,0.2,-0.017774,0.010508
test,target,DrugBAN,bindingdb,delta_error_detection_auprc,5,0.01162,0.6,-0.03145,0.042905
test,target,DrugBAN,bindingdb,delta_review_lift,4,0.179456,0.75,-0.257066,0.583267
test,target,DrugBAN,bindingdb,delta_retained_accuracy_gain_vs_residual,4,0.012642,0.75,-0.00768,0.028538
test,target,DrugBAN,biosnap,delta_error_detection_auprc,5,-0.022638,0.2,-0.065916,0.001672
test,target,DrugBAN,biosnap,delta_review_lift,5,0.024728,0.4,-0.080908,0.170196
test,target,DrugBAN,biosnap,delta_retained_accuracy_gain_vs_residual,5,0.000531,0.4,-0.004768,0.007608
test,target,DrugBAN,human,delta_error_detection_auprc,3,0.057861,0.666667,-0.000273,0.165252
test,target,DrugBAN,human,delta_review_lift,3,0.213889,0.333333,-0.208333,0.85
test,target,DrugBAN,human,delta_retained_accuracy_gain_vs_residual,3,0.009955,0.333333,-0.005682,0.035548
test,target,PACE,bindingdb,delta_error_detection_auprc,5,0.120989,1.0,0.047416,0.195246
test,target,PACE,bindingdb,delta_review_lift,5,0.301435,0.8,-0.4,0.89011
test,target,PACE,bindingdb,delta_retained_accuracy_gain_vs_residual,5,0.016757,0.8,-0.013158,0.04913
